A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,ranking,a,b,c,d,e,f,g,h,i,j,k
-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.184,-0.20199999999999999,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.0343,4.69,c>g>i>f>h>e>d>a>b>k>j,7.0,8.0,0.0,6.0,5.0,3.0,1.0,4.0,2.0,10.0,9.0
-0.3,-0.37200000000000005,-0.37200000000000005,-0.1,-0.37200000000000005,-0.14800000000000002,0.0895,-0.37200000000000005,-0.37200000000000005,-0.37200000000000005,-0.0462,0.0607,0.255,-0.35600000000000004,0.35100000000000003,-0.37200000000000005,-0.37200000000000005,-0.37200000000000005,-0.122,-0.1,-0.0836,-0.37200000000000005,-0.37200000000000005,4.58,b>f>h>j>d>i>a>e>c>k>g,6.0,0.0,8.0,4.0,7.0,1.0,10.0,2.0,5.0,3.0,9.0
-0.638,-0.599,-0.209,-0.158,0.273,-0.262,-0.17800000000000002,-0.7440000000000001,-0.638,0.162,0.919,1.0,0.38799999999999996,-0.258,-0.17800000000000002,-0.326,-0.7440000000000001,-0.11800000000000001,0.19899999999999998,-0.154,-0.64,-0.47,-0.7440000000000001,4.12,c>g>h>j>k>i>a>b>f>d>e,6.0,7.0,0.0,9.0,10.0,8.0,1.0,2.0,5.0,3.0,4.0
-0.705,-0.177,-0.45799999999999996,0.364,1.04,-0.45799999999999996,-0.792,-1.14,-1.14,0.613,0.498,1.82,0.598,-0.8590000000000001,0.17,-1.14,-1.14,0.0507,-0.516,-0.325,0.828,-0.823,1.07,2.65,j>h>i>c>b>d>k>a>e>g>f,7.0,4.0,3.0,5.0,8.0,10.0,9.0,1.0,2.0,0.0,6.0
-0.8540000000000001,-0.245,2.24,0.441,-0.5329999999999999,-0.457,0.777,-0.8540000000000001,-0.8540000000000001,0.366,0.20199999999999999,-0.8540000000000001,1.92,2.48,-0.785,-0.27899999999999997,-0.8540000000000001,-0.8540000000000001,0.569,0.20199999999999999,-0.8540000000000001,-0.615,-0.209,-0.114,c>j>k>h>e>i>f>d>a>g>b,8.0,10.0,0.0,7.0,4.0,6.0,9.0,3.0,5.0,1.0,2.0
0.8320000000000001,0.907,0.574,-0.8759999999999999,0.32,-0.795,-0.857,1.31,1.53,-0.682,1.28,-0.895,-0.92,-0.9259999999999999,-0.9259999999999999,0.932,1.18,-0.92,-0.9259999999999999,-0.8320000000000001,1.36,-0.882,-0.92,1.12,g>c>d>e>h>j>f>i>k>a>b,9.0,10.0,1.0,2.0,3.0,6.0,0.0,4.0,7.0,5.0,8.0
-0.223,-0.223,-0.177,-0.223,-0.223,-0.214,-0.223,-0.223,-0.223,-0.223,-0.177,-0.127,-0.168,-0.214,-0.223,-0.168,-0.223,-0.18100000000000002,-0.183,-0.223,-0.223,-0.21,-0.223,4.69,b>g>d>j>k>i>e>f>h>c>a,10.0,0.0,9.0,2.0,6.0,7.0,1.0,8.0,5.0,3.0,4.0
-1.12,-1.12,-0.532,0.736,0.579,1.02,-0.855,-1.12,0.6509999999999999,-0.821,0.8740000000000001,0.484,0.43200000000000005,0.632,0.17,-1.12,-1.12,0.7120000000000001,-0.22,2.27,-0.75,-0.48,-1.12,1.83,d>g>i>e>c>a>h>f>b>k>j,5.0,8.0,4.0,0.0,3.0,7.0,1.0,6.0,2.0,10.0,9.0
0.151,-0.773,-0.8,-0.797,0.0839,-0.8,-0.779,1.76,1.9,1.9,1.58,1.55,-0.8,-0.7490000000000001,-0.7979999999999999,-0.795,-0.7909999999999999,0.222,0.222,-0.8,0.0839,0.281,-0.8,-0.254,h>a>d>g>f>e>b>j>i>c>k,1.0,6.0,9.0,2.0,5.0,4.0,3.0,0.0,8.0,7.0,10.0
-0.535,-0.535,-0.249,0.08900000000000001,0.9329999999999999,-0.535,-0.508,-0.535,2.97,-0.535,-0.0845,-0.535,-0.535,-0.535,-0.535,-0.43799999999999994,3.04,0.308,-0.0457,-0.0845,-0.467,-0.46299999999999997,-0.535,0.35700000000000004,j>h>d>a>c>b>k>e>f>i>g,3.0,5.0,4.0,2.0,7.0,8.0,10.0,1.0,9.0,0.0,6.0
-0.289,-0.301,-0.259,-0.249,-0.284,-0.301,-0.301,-0.301,-0.289,-0.301,-0.281,-0.301,-0.18899999999999997,-0.26899999999999996,-0.285,0.33799999999999997,-0.28800000000000003,0.21899999999999997,0.4,-0.301,-0.278,-0.192,-0.301,4.59,i>c>d>e>g>f>h>j>k>a>b,9.0,10.0,1.0,2.0,3.0,5.0,4.0,6.0,0.0,7.0,8.0
1.09,0.473,1.12,-0.33,-0.763,-0.763,-0.35700000000000004,-0.763,-0.381,-0.763,-0.685,-0.5429999999999999,-0.057,-0.23600000000000002,-0.5720000000000001,3.01,-0.763,1.85,1.52,-0.392,-0.449,-0.0784,-0.7440000000000001,-0.42200000000000004,k>b>d>e>f>h>g>i>j>a>c,9.0,1.0,10.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,0.0
-0.65,-0.18600000000000003,0.2,-0.5539999999999999,-0.0892,-0.645,-0.65,-0.034,-0.14400000000000002,3.24,-0.65,-0.65,-0.65,0.217,-0.578,-0.0976,2.83,0.42200000000000004,0.467,-0.41200000000000003,-0.15,-0.196,-0.645,-0.391,b>f>e>g>h>i>a>d>c>j>k,6.0,0.0,8.0,7.0,2.0,1.0,3.0,4.0,5.0,9.0,10.0
-0.753,-0.745,0.682,-0.667,0.987,0.655,0.64,0.987,-0.753,-0.753,-0.69,-0.753,0.503,-0.733,0.29600000000000004,-0.7140000000000001,1.05,-0.6940000000000001,-0.6940000000000001,-0.628,0.862,-0.569,-0.753,3.24,b>d>g>f>i>k>j>c>h>e>a,10.0,0.0,7.0,1.0,9.0,3.0,2.0,8.0,4.0,6.0,5.0
-0.281,-0.281,-0.281,-0.281,-0.281,-0.281,-0.281,-0.273,-0.281,-0.281,-0.281,-0.281,-0.248,-0.228,1.81,-0.281,-0.281,-0.281,-0.281,-0.281,-0.251,-0.281,-0.268,4.25,b>c>h>k>g>j>a>d>e>f>i,6.0,0.0,1.0,7.0,8.0,9.0,4.0,2.0,10.0,5.0,3.0
-0.29600000000000004,-0.225,-0.00236,-0.125,-0.0319,-0.29100000000000004,-0.129,-0.426,-0.426,-0.36200000000000004,-0.125,-0.0768,0.0497,-0.203,-0.248,-0.239,-0.358,-0.203,-0.32899999999999996,0.07200000000000001,-0.18,-0.32899999999999996,-0.17300000000000001,4.65,i>h>b>a>e>f>k>c>j>d>g,3.0,2.0,7.0,9.0,4.0,5.0,10.0,1.0,0.0,8.0,6.0
-0.531,-0.531,-0.531,1.95,-0.531,-0.531,0.256,0.256,-0.531,2.53,-0.531,-0.531,-0.531,0.732,-0.531,-0.3,-0.146,-0.531,-0.0801,-0.531,-0.531,-0.531,-0.531,2.79,f>a>e>h>g>d>b>j>i>c>k,1.0,6.0,9.0,5.0,2.0,0.0,4.0,3.0,8.0,7.0,10.0
-0.5760000000000001,-0.131,0.19699999999999998,-0.5760000000000001,0.7909999999999999,-0.414,-0.541,-0.5760000000000001,-0.5760000000000001,-0.5760000000000001,-0.5760000000000001,-0.5760000000000001,-0.5760000000000001,0.508,-0.5760000000000001,1.35,-0.5760000000000001,1.35,1.51,-0.473,3.33,-0.5760000000000001,-0.5760000000000001,-0.5760000000000001,d>c>i>j>h>e>a>f>b>g>k,6.0,8.0,1.0,0.0,5.0,7.0,9.0,4.0,2.0,3.0,10.0
-0.23199999999999998,-0.27899999999999997,-0.196,-0.121,-0.172,-0.198,-0.0605,-0.27899999999999997,-0.258,-0.0963,-0.183,-0.183,-0.152,-0.23399999999999999,-0.125,-0.252,-0.152,-0.27899999999999997,-0.27899999999999997,-0.212,-0.21899999999999997,-0.245,-0.27899999999999997,4.69,e>c>b>f>i>j>d>h>k>a>g,9.0,2.0,1.0,6.0,0.0,3.0,10.0,7.0,4.0,5.0,8.0
-0.244,-0.244,-0.235,-0.244,-0.244,-0.213,-0.244,0.0254,-0.244,-0.244,-0.23600000000000002,-0.237,-0.244,-0.0486,-0.23,-0.244,-0.172,-0.18,-0.244,-0.237,-0.162,-0.196,-0.11699999999999999,4.68,c>b>e>g>i>k>d>f>j>a>h,9.0,1.0,0.0,6.0,2.0,7.0,3.0,10.0,4.0,8.0,5.0
-0.887,-0.887,-0.887,0.513,1.17,-0.887,2.32,-0.512,-0.887,0.708,-0.887,0.513,0.221,-0.131,-0.887,-0.887,-0.805,0.9570000000000001,1.13,1.96,-0.887,0.392,-0.887,0.431,b>f>i>h>c>k>a>d>j>g>e,6.0,0.0,4.0,7.0,10.0,1.0,9.0,3.0,2.0,8.0,5.0
-0.344,-0.297,0.255,-0.0999,0.327,-0.354,-0.85,0.82,-0.344,-0.705,-0.425,-0.366,-0.511,-0.813,0.085,0.156,1.73,-0.778,0.085,-1.02,-0.214,-0.204,0.0562,3.81,c>g>i>k>j>h>a>b>d>e>f,6.0,7.0,0.0,8.0,9.0,10.0,1.0,5.0,2.0,4.0,3.0
-0.33299999999999996,-0.10099999999999999,-0.39799999999999996,-0.18,-0.285,-0.37799999999999995,-0.28800000000000003,-0.266,-0.373,-0.322,-0.299,-0.36,-0.0843,-0.336,-0.20800000000000002,-0.41100000000000003,-0.271,-0.41100000000000003,-0.0444,-0.319,1.36,0.359,-0.41100000000000003,4.36,k>f>i>d>c>e>j>g>h>b>a,10.0,9.0,4.0,3.0,5.0,1.0,7.0,8.0,2.0,6.0,0.0
-0.9740000000000001,2.25,0.105,1.09,-0.45299999999999996,-0.13,-0.257,-0.9740000000000001,-0.9740000000000001,-0.9740000000000001,1.53,0.561,0.513,-0.6,0.7240000000000001,-0.6779999999999999,-0.9740000000000001,-0.703,1.67,1.3,-0.9740000000000001,-0.9740000000000001,-0.586,0.467,g>d>e>f>c>h>k>j>i>b>a,10.0,9.0,4.0,1.0,2.0,3.0,0.0,5.0,8.0,7.0,6.0
-0.278,0.289,-0.273,-0.289,-0.275,-0.289,-0.282,-0.253,4.6,-0.201,-0.289,-0.289,-0.282,-0.289,-0.282,-0.289,-0.253,-0.289,-0.289,-0.289,0.36200000000000004,-0.289,-0.289,0.31,f>b>a>c>e>g>i>h>k>d>j,2.0,1.0,3.0,9.0,4.0,0.0,5.0,7.0,6.0,10.0,8.0
-0.43700000000000006,-0.32299999999999995,-0.0499,-0.461,0.0737,0.156,0.20800000000000002,0.11599999999999999,-0.461,-0.461,-0.457,-0.446,-0.0654,-0.32299999999999995,0.0287,-0.255,0.38299999999999995,-0.28,-0.33799999999999997,-0.426,0.168,-0.405,-0.461,4.52,c>a>f>b>h>e>i>d>j>g>k,1.0,3.0,0.0,7.0,5.0,2.0,9.0,4.0,6.0,8.0,10.0
-0.8909999999999999,-0.8909999999999999,1.33,1.66,-0.8909999999999999,-0.44799999999999995,0.0864,-0.8909999999999999,-0.8909999999999999,-0.8909999999999999,0.233,-0.14,0.804,-0.7829999999999999,0.804,1.97,-0.8909999999999999,-0.8909999999999999,-0.8909999999999999,-0.11699999999999999,1.33,0.7120000000000001,-0.8909999999999999,1.48,b>e>h>k>j>i>a>d>c>f>g,6.0,0.0,8.0,7.0,1.0,9.0,10.0,2.0,5.0,4.0,3.0
-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,1.03,3.29,0.425,-0.37799999999999995,-0.45899999999999996,0.183,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,0.6709999999999999,-0.45899999999999996,2.6,d>e>h>j>g>f>b>k>i>a>c,9.0,6.0,10.0,0.0,1.0,5.0,4.0,2.0,8.0,3.0,7.0
-0.821,-0.24100000000000002,-0.7829999999999999,1.14,1.26,-0.821,-0.8190000000000001,0.366,-0.821,-0.17600000000000002,1.69,1.79,-0.821,-0.579,-0.37,2.34,-0.37,-0.564,-0.821,-0.5820000000000001,-0.55,-0.821,0.19,1.18,c>e>g>k>i>j>a>f>h>d>b,6.0,10.0,0.0,9.0,1.0,7.0,2.0,8.0,4.0,5.0,3.0
-0.318,-0.0418,-0.248,-0.11699999999999999,-0.159,-0.245,-0.318,-0.318,-0.273,-0.154,0.0203,-0.0806,-0.0887,-0.27899999999999997,-0.318,-0.154,-0.318,-0.19399999999999998,-0.129,-0.14400000000000002,-0.308,-0.168,-0.318,4.67,g>c>b>f>d>a>j>k>i>e>h,5.0,2.0,1.0,4.0,9.0,3.0,0.0,10.0,8.0,6.0,7.0
-0.29,0.0666,-0.21600000000000003,-0.24,-0.198,-0.29,-0.29,-0.29,-0.29,-0.29,-0.239,-0.21899999999999997,-0.29,0.267,-0.271,0.17800000000000002,-0.29,-0.13699999999999998,-0.161,-0.29,-0.29,-0.27399999999999997,-0.29,4.64,i>g>h>b>a>c>k>e>j>f>d,4.0,3.0,5.0,10.0,7.0,9.0,1.0,2.0,0.0,8.0,6.0
-1.21,-1.07,0.866,1.23,1.02,-1.17,-1.18,0.8190000000000001,0.866,0.799,0.7859999999999999,0.7859999999999999,0.556,-1.06,0.494,-1.1,-1.21,-1.11,-1.09,0.7390000000000001,-1.18,0.9259999999999999,1.17,0.326,g>h>a>b>d>e>k>i>j>f>c,2.0,3.0,10.0,4.0,5.0,9.0,0.0,1.0,7.0,8.0,6.0
2.12,2.05,-0.486,-0.596,-0.619,-0.618,-0.626,-0.556,-0.494,-0.514,-0.625,-0.625,-0.551,0.737,-0.657,1.94,-0.601,0.608,0.633,-0.628,-0.614,-0.514,-0.5920000000000001,1.85,e>c>d>g>i>j>f>h>k>a>b,9.0,10.0,1.0,2.0,0.0,6.0,3.0,7.0,4.0,5.0,8.0
-0.624,1.37,-0.624,0.528,1.69,0.975,0.40299999999999997,-0.00698,-0.624,3.28,-0.624,-0.256,0.8109999999999999,-0.594,-0.624,-0.624,-0.624,-0.624,-0.624,-0.624,-0.624,-0.0944,-0.624,-0.624,d>c>f>g>e>i>h>j>k>b>a,10.0,9.0,1.0,0.0,4.0,2.0,3.0,6.0,5.0,7.0,8.0
0.305,0.0049700000000000005,-0.292,-0.242,-0.021,-0.292,-0.292,-0.292,-0.292,-0.292,-0.24,-0.292,-0.292,-0.259,-0.292,0.18600000000000003,-0.292,-0.292,-0.292,-0.131,-0.292,-0.292,-0.146,4.63,g>h>j>f>a>c>e>d>b>i>k,4.0,8.0,5.0,7.0,6.0,3.0,0.0,1.0,9.0,2.0,10.0
0.621,1.13,-0.613,-0.613,-0.535,-0.535,-0.593,-0.5379999999999999,-0.5870000000000001,-0.607,-0.5720000000000001,-0.575,-0.561,0.965,-0.5379999999999999,1.09,-0.384,1.25,1.3,-0.613,-0.613,-0.613,-0.526,3.24,c>f>h>i>g>e>b>d>a>j>k,8.0,6.0,0.0,7.0,5.0,1.0,4.0,2.0,3.0,9.0,10.0
-0.14300000000000002,-0.22,-0.22,-0.22,-0.22,-0.22,-0.16899999999999998,-0.22,-0.207,-0.18899999999999997,-0.17300000000000001,-0.174,-0.22,-0.201,-0.212,-0.22,-0.22,-0.22,-0.22,-0.22,-0.2,-0.22,-0.17300000000000001,4.69,d>a>c>e>g>i>b>h>k>f>j,1.0,6.0,2.0,0.0,3.0,9.0,4.0,7.0,5.0,10.0,8.0
-1.06,0.792,0.838,-1.06,0.9490000000000001,1.13,1.19,1.15,0.9490000000000001,0.772,0.555,0.535,-1.07,-1.07,-1.07,-1.06,1.08,-1.04,-0.966,-1.07,1.1,0.47700000000000004,-1.07,-0.981,h>c>d>f>i>g>e>j>k>b>a,10.0,9.0,1.0,2.0,6.0,3.0,5.0,0.0,4.0,7.0,8.0
-0.0626,-0.306,-0.295,-0.121,-0.306,-0.121,-0.0797,-0.306,-0.23800000000000002,-0.20199999999999999,-0.172,-0.248,0.239,-0.268,-0.207,-0.306,-0.306,-0.204,-0.207,-0.196,-0.14,-0.306,-0.306,4.66,i>e>d>c>g>h>f>j>k>a>b,9.0,10.0,3.0,2.0,1.0,6.0,4.0,5.0,0.0,7.0,8.0
-0.207,-0.19899999999999998,-0.19899999999999998,-0.106,-0.135,-0.237,-0.203,-0.255,-0.215,-0.18100000000000002,-0.191,-0.191,-0.10800000000000001,-0.23600000000000002,-0.255,-0.255,-0.255,-0.255,-0.24100000000000002,-0.152,-0.21600000000000003,-0.13,-0.254,4.69,f>g>h>i>a>e>c>j>k>b>d,4.0,9.0,6.0,10.0,5.0,0.0,1.0,2.0,3.0,7.0,8.0
-1.36,-1.46,0.162,1.21,0.498,0.63,0.736,0.498,0.8759999999999999,0.8759999999999999,0.608,0.542,-0.131,-1.45,-0.0424,-1.45,0.192,-1.46,-1.42,0.8759999999999999,1.31,0.895,0.294,-1.46,e>h>i>g>d>f>c>a>b>j>k,7.0,8.0,6.0,4.0,0.0,5.0,3.0,1.0,2.0,9.0,10.0
0.32,0.8290000000000001,0.267,-0.133,0.5870000000000001,0.133,-0.0537,0.267,0.34700000000000003,0.374,-0.027000000000000003,-0.0537,-3.04,0.747,-3.08,0.214,0.0532,0.774,0.802,-0.214,0.294,-0.027000000000000003,-0.214,0.8290000000000001,a>h>e>i>g>f>c>d>b>k>j,0.0,8.0,6.0,7.0,2.0,5.0,4.0,1.0,3.0,10.0,9.0
-0.24600000000000002,-0.203,-0.0627,-0.16699999999999998,-0.183,-0.23600000000000002,-0.15,-0.248,-0.187,-0.24,-0.133,-0.226,-0.17300000000000001,-0.213,-0.207,-0.248,-0.248,-0.24,-0.21899999999999997,-0.248,-0.187,-0.209,-0.201,4.69,f>c>e>i>g>j>d>h>k>b>a,10.0,9.0,1.0,6.0,2.0,0.0,4.0,7.0,3.0,5.0,8.0
1.29,1.11,-0.615,-0.615,-0.5710000000000001,-0.615,-0.615,-0.615,-0.605,-0.615,-0.615,-0.615,-0.35700000000000004,0.975,-0.507,1.1,-0.551,0.966,1.13,-0.5660000000000001,-0.615,-0.615,-0.446,3.17,e>c>d>f>i>j>g>h>k>b>a,10.0,9.0,1.0,2.0,0.0,3.0,6.0,7.0,4.0,5.0,8.0
0.19,-0.276,-0.34600000000000003,-0.245,3.87,-0.353,-0.259,-0.353,2.44,-0.21600000000000003,-0.29600000000000004,-0.337,-0.353,-0.284,-0.353,-0.32799999999999996,-0.353,-0.34,-0.321,-0.353,-0.14400000000000002,-0.353,-0.324,-0.301,f>i>g>e>c>b>h>d>a>k>j,8.0,5.0,4.0,7.0,3.0,0.0,2.0,6.0,1.0,10.0,9.0
-0.349,-0.787,-0.6,0.17300000000000001,0.0329,-0.7120000000000001,0.912,-0.787,-0.462,-0.787,0.621,0.287,0.825,-0.787,0.35200000000000004,0.386,-0.11599999999999999,-0.415,-0.787,-0.787,-0.787,-0.787,2.6,2.76,i>j>d>a>c>e>b>h>k>g>f,3.0,6.0,4.0,2.0,5.0,10.0,9.0,7.0,0.0,1.0,8.0
-0.5429999999999999,-0.5429999999999999,-0.0271,-0.38,1.62,-0.42,-0.519,0.107,-0.523,-0.462,0.289,-0.0271,-0.519,-0.433,-0.467,-0.519,0.657,-0.5329999999999999,-0.5429999999999999,0.726,0.107,-0.469,-0.5429999999999999,3.95,f>c>a>b>d>e>j>i>k>h>g,2.0,3.0,1.0,4.0,5.0,0.0,10.0,9.0,7.0,6.0,8.0
-0.259,-0.242,-0.14800000000000002,-0.0554,-0.259,-0.259,-0.259,-0.259,-0.259,-0.259,-0.205,-0.225,-0.248,0.415,-0.259,-0.20800000000000002,-0.259,-0.259,-0.0992,-0.259,-0.259,-0.259,-0.259,4.65,f>i>h>d>a>b>g>c>e>j>k,4.0,5.0,7.0,3.0,8.0,0.0,6.0,2.0,1.0,9.0,10.0
-0.332,-0.175,-0.2,-0.245,-0.124,-0.18100000000000002,-0.332,-0.332,-0.225,-0.124,-0.124,-0.22699999999999998,-0.10099999999999999,-0.235,-0.231,-0.00121,-0.0611,-0.266,-0.249,-0.326,-0.18899999999999997,-0.215,-0.18899999999999997,4.68,j>g>i>c>d>a>k>h>f>b>e,5.0,9.0,3.0,4.0,10.0,8.0,1.0,7.0,2.0,0.0,6.0
