A1,A2,A3,A4,A5,A6,A7,ranking,a,b,c,d,e,f,g
-0.802557,1.2787680000000001,-0.031454,-0.8596600000000001,-0.243556,0.530906,0.662524,c>g>e>b>f>a>d,5.0,3.0,0.0,6.0,2.0,4.0,1.0
-1.532928,0.961359,0.904265,-0.040626999999999996,0.867138,0.530906,1.200404,f>a>c>b>e>d>g,1.0,3.0,2.0,5.0,4.0,0.0,6.0
-1.2754590000000001,0.802654,0.15569000000000002,-0.723154,1.196232,0.258087,0.718167,b>e>f>c>a>g>d,4.0,0.0,3.0,6.0,1.0,2.0,5.0
-0.298128,0.723302,-0.933147,0.164132,-0.9840180000000001,-1.283938,-0.8027350000000001,f>d>a>b>e>g>c,2.0,3.0,6.0,1.0,4.0,0.0,5.0
0.616149,0.802654,-0.8225620000000001,0.36889,-0.44924,-0.643405,-0.552343,g>e>f>d>b>a>c,5.0,4.0,6.0,3.0,1.0,2.0,0.0
1.530425,0.723302,-0.805549,-0.245385,-0.20241900000000002,-1.36697,-1.312793,e>g>f>d>c>a>b,5.0,6.0,4.0,3.0,0.0,2.0,1.0
0.721238,0.802654,-0.75451,0.36889,-0.6960609999999999,-0.762022,-0.737818,c>f>a>d>g>b>e,2.0,5.0,0.0,3.0,6.0,1.0,4.0
-0.613396,1.35812,-0.388729,0.36889,-1.0251549999999998,-0.382447,-0.097927,g>c>a>e>d>b>f,2.0,5.0,1.0,4.0,3.0,6.0,0.0
1.220412,0.802654,-1.094771,-0.38189,0.291222,-1.461864,-0.904747,g>b>c>a>e>f>d,3.0,1.0,2.0,6.0,4.0,5.0,0.0
1.262448,0.882006,-0.618405,0.983165,-0.654924,-0.856916,-0.895473,d>g>c>a>f>e>b,3.0,6.0,2.0,0.0,5.0,4.0,1.0
0.65293,0.802654,-1.8348400000000002,-1.678693,-1.971302,-1.556758,-1.535364,e>c>g>f>a>b>d,4.0,5.0,1.0,6.0,0.0,3.0,2.0
0.863108,1.2787680000000001,-1.222369,-1.200923,-0.613787,-0.880639,-0.8583780000000001,b>f>e>a>d>c>g,3.0,0.0,5.0,4.0,2.0,1.0,6.0
0.579367,1.2787680000000001,-1.0437319999999999,-0.723154,-0.819471,-1.09415,-0.9974850000000001,g>c>a>f>b>e>d,2.0,4.0,1.0,6.0,5.0,3.0,0.0
1.230921,0.961359,-0.558859,-0.17713199999999998,0.291222,-1.09415,-1.275698,d>c>f>g>b>e>a,6.0,4.0,1.0,0.0,5.0,2.0,3.0
-0.3822,1.9135849999999999,-0.03996,-0.450143,0.291222,0.139469,0.226656,g>c>a>e>d>b>f,2.0,5.0,1.0,4.0,3.0,6.0,0.0
-0.303383,2.865812,-0.601392,0.027625999999999998,-0.07900900000000001,-0.524787,0.263751,g>a>e>c>f>d>b,1.0,6.0,3.0,5.0,2.0,4.0,0.0
0.022394,1.675529,-0.26113000000000003,-0.245385,-0.243556,0.222502,0.560512,g>c>a>f>d>b>e,2.0,5.0,1.0,4.0,6.0,3.0,0.0
-1.433093,1.7548810000000001,-0.5163270000000001,-0.6549010000000001,0.167812,-0.370585,0.300846,g>d>c>a>f>b>e,3.0,5.0,2.0,1.0,6.0,4.0,0.0
-0.9129010000000001,1.516824,-0.9756799999999999,-0.791407,0.044402,-0.441755,-0.32977199999999995,c>a>g>d>e>b>f,1.0,5.0,0.0,3.0,4.0,6.0,2.0
0.06443,1.516824,0.385366,0.710154,0.538043,0.269948,0.48632200000000003,g>e>f>c>a>d>b,4.0,6.0,3.0,5.0,1.0,2.0,0.0
-0.9391729999999999,1.992938,-0.278144,-0.040626999999999996,0.291222,0.115746,0.21738200000000002,g>d>e>b>f>a>c,5.0,3.0,6.0,1.0,2.0,4.0,0.0
-0.933919,2.151642,-0.371715,-0.245385,0.20894899999999997,0.068299,0.671798,g>a>b>d>c>e>f,1.0,2.0,4.0,3.0,5.0,6.0,0.0
-0.891883,1.7548810000000001,-0.405742,-0.723154,-0.613787,-0.228244,-0.264855,d>e>g>c>f>a>b,5.0,6.0,3.0,0.0,1.0,4.0,2.0
0.48478699999999997,2.151642,-0.720483,-0.791407,-0.120146,-0.394308,-0.413236,g>e>f>c>a>b>d,4.0,5.0,3.0,6.0,1.0,2.0,0.0
-0.492544,1.516824,-0.643925,-1.200923,-0.613787,0.412289,-0.15357,c>d>f>g>b>a>e,5.0,4.0,0.0,1.0,6.0,2.0,3.0
1.283466,0.08848400000000001,-0.073987,0.641901,0.0032649999999999997,-0.41803199999999996,-0.607985,g>d>f>b>c>a>e,5.0,3.0,4.0,1.0,6.0,2.0,0.0
0.579367,0.247189,-0.099506,0.778406,-0.531514,-0.489202,-0.561616,d>c>g>f>b>a>e,5.0,4.0,1.0,0.0,6.0,3.0,2.0
-0.18778499999999998,0.08848400000000001,-0.06548,-0.040626999999999996,-0.32583,-0.13335,0.28229899999999997,a>c>b>d>f>g>e,0.0,2.0,1.0,3.0,6.0,4.0,5.0
0.090702,-0.07022,0.028092000000000002,-0.17713199999999998,0.496906,0.127608,0.059727999999999996,g>c>a>d>b>f>e,2.0,4.0,1.0,3.0,6.0,5.0,0.0
1.257193,0.16783599999999999,-0.465287,0.09587899999999999,-0.20241900000000002,-0.429893,-0.876925,g>c>f>b>d>a>e,5.0,3.0,1.0,4.0,6.0,2.0,0.0
-0.692213,0.08848400000000001,0.461925,0.437143,0.0032649999999999997,0.685109,0.45850100000000005,g>d>c>f>e>a>b,5.0,6.0,2.0,1.0,4.0,3.0,0.0
1.204649,0.16783599999999999,0.18120999999999998,1.187923,-0.284693,-0.14521199999999998,-0.348319,d>c>a>f>b>g>e,2.0,4.0,1.0,0.0,6.0,3.0,5.0
2.287068,0.64395,1.550762,2.075209,1.278506,1.467983,0.616155,g>c>a>f>b>e>d,2.0,4.0,1.0,6.0,5.0,3.0,0.0
1.125832,-0.546334,0.334327,0.846659,-0.20241900000000002,-0.204521,-0.088653,f>a>c>g>b>d>e,1.0,4.0,2.0,5.0,6.0,0.0,3.0
0.915653,0.405893,-0.558859,-0.996165,0.291222,-0.168935,-0.5430689999999999,b>c>d>g>f>a>e,5.0,0.0,1.0,2.0,6.0,4.0,3.0
0.137992,0.08848400000000001,-0.763016,-0.518396,-0.860608,-0.67899,-0.403962,g>e>c>f>d>b>a,6.0,5.0,2.0,4.0,1.0,3.0,0.0
-0.376945,0.16783599999999999,0.615043,0.5053949999999999,0.826001,0.791864,0.133918,f>e>b>a>c>g>d,3.0,2.0,4.0,6.0,1.0,0.0,5.0
-0.261347,0.32654099999999997,0.666082,0.9149120000000001,0.867138,0.673247,0.226656,f>g>c>a>e>b>d,3.0,5.0,2.0,6.0,4.0,0.0,1.0
-0.166767,0.247189,-0.176065,0.5053949999999999,-0.408103,-0.204521,-0.05155800000000001,b>c>a>d>f>g>e,2.0,0.0,1.0,3.0,6.0,4.0,5.0
-0.13524,-0.308277,-0.21009099999999997,0.300637,-0.6960609999999999,-0.489202,-0.311224,f>g>b>d>c>a>e,5.0,2.0,4.0,3.0,6.0,0.0,1.0
-0.397963,0.32654099999999997,0.606536,0.983165,1.113959,0.317395,0.273025,g>d>f>c>a>b>e,4.0,5.0,3.0,1.0,6.0,2.0,0.0
-0.755267,-0.149573,-0.06548,-0.245385,0.661454,0.376704,0.560512,b>a>g>d>e>f>c,1.0,0.0,6.0,3.0,4.0,5.0,2.0
0.116974,-0.149573,-0.45678100000000005,-0.450143,-2.835175,-0.9162239999999999,-0.487426,d>g>f>c>e>a>b,5.0,6.0,3.0,0.0,4.0,2.0,1.0
-0.045913999999999996,-0.149573,0.7256279999999999,0.9149120000000001,0.25008600000000003,0.519045,0.9500120000000001,a>b>c>d>f>g>e,0.0,1.0,2.0,3.0,6.0,4.0,5.0
0.06968400000000001,0.564597,0.8277059999999999,1.1196700000000002,1.648737,1.088408,0.838726,e>g>f>d>a>c>b,4.0,6.0,5.0,3.0,0.0,2.0,1.0
0.19579100000000002,-0.149573,0.5129640000000001,1.460934,0.20894899999999997,1.100269,-0.357593,g>f>d>e>c>a>b,5.0,6.0,4.0,2.0,3.0,1.0,0.0
-0.29287399999999997,-0.387629,-0.354702,-0.245385,-1.559934,-0.358723,-0.023736,a>e>d>b>c>g>f,0.0,3.0,4.0,2.0,1.0,6.0,5.0
-0.093204,-0.149573,-0.278144,-0.450143,-0.32583,-0.5366489999999999,-0.181391,b>e>a>g>f>c>d,2.0,0.0,5.0,6.0,1.0,4.0,3.0
-1.054771,-0.149573,0.14718299999999998,-0.040626999999999996,-0.36696599999999996,0.851173,1.1540350000000001,b>c>a>e>d>f>g,2.0,0.0,1.0,4.0,3.0,5.0,6.0
-0.36643600000000004,0.16783599999999999,-0.022947,-0.040626999999999996,0.908275,-0.13335,0.226656,g>f>e>b>d>a>c,5.0,3.0,6.0,4.0,2.0,1.0,0.0
-0.27710999999999997,-0.228925,-0.541846,0.027625999999999998,-1.107429,-0.868777,-0.274129,b>a>c>e>f>d>g,1.0,0.0,2.0,5.0,3.0,4.0,6.0
-0.902392,0.247189,-0.125026,0.437143,0.0032649999999999997,-0.014733000000000001,-0.014463,b>e>c>a>f>d>g,3.0,0.0,2.0,5.0,1.0,4.0,6.0
0.269354,-0.387629,-0.7119770000000001,-0.245385,-0.6960609999999999,-0.453617,-0.552343,d>b>e>c>g>a>f,5.0,1.0,3.0,0.0,2.0,6.0,4.0
-0.140494,0.247189,-0.056974000000000004,0.710154,-0.49037700000000006,-0.572234,-0.23703400000000002,a>c>b>g>d>f>e,0.0,2.0,1.0,4.0,6.0,5.0,3.0
0.60564,0.485245,0.002572,0.5053949999999999,1.237369,-0.192659,-0.23703400000000002,g>f>e>d>c>a>b,5.0,6.0,4.0,3.0,2.0,1.0,0.0
-0.7973020000000001,-0.387629,0.410886,1.051417,0.126675,-0.643405,-0.014463,c>d>b>a>e>f>g,3.0,2.0,0.0,1.0,4.0,5.0,6.0
0.101211,-0.07022,0.29179499999999997,0.5736479999999999,0.0032649999999999997,0.115746,-0.46887799999999996,d>c>a>f>e>b>g,2.0,5.0,1.0,0.0,4.0,3.0,6.0
-1.039008,0.564597,0.938291,1.187923,1.155095,0.412289,0.616155,g>f>d>a>e>c>b,3.0,6.0,5.0,2.0,4.0,1.0,0.0
-0.744758,-0.07022,0.215236,0.36889,0.620317,-0.192659,0.514143,c>f>e>a>g>d>b,3.0,6.0,0.0,5.0,2.0,1.0,4.0
0.5058050000000001,-0.387629,-0.635418,-0.38189,-0.44924,-0.180797,-0.8583780000000001,e>b>c>d>f>a>g,5.0,1.0,2.0,3.0,0.0,4.0,6.0
0.353425,0.16783599999999999,-0.933147,-0.9279120000000001,-0.44924,-0.809469,-0.598712,b>e>f>d>a>g>c,4.0,0.0,6.0,3.0,1.0,2.0,5.0
0.6214029999999999,0.405893,-0.609899,-0.996165,-0.120146,-0.228244,-0.784187,e>f>d>b>g>a>c,5.0,3.0,6.0,2.0,0.0,1.0,4.0
0.16426500000000002,0.08848400000000001,-0.405742,-0.8596600000000001,-0.57265,0.020852000000000002,-0.24630700000000003,e>f>b>a>g>d>c,3.0,2.0,6.0,5.0,0.0,1.0,4.0
-0.960191,-0.228925,-0.048467,-0.38189,0.373496,-0.25196799999999997,-0.042283999999999995,f>e>b>a>d>c>g,3.0,2.0,5.0,4.0,1.0,0.0,6.0
0.180028,-0.149573,-0.9076270000000001,-0.6549010000000001,-0.20241900000000002,-0.584096,-1.349889,e>f>g>a>b>c>d,3.0,4.0,5.0,6.0,0.0,1.0,2.0
-0.21405700000000003,-0.387629,0.45341899999999996,0.846659,0.743727,0.364842,0.087549,f>b>e>c>a>g>d,4.0,1.0,3.0,6.0,2.0,0.0,5.0
0.48478699999999997,-0.228925,-0.465287,-0.10887899999999999,0.126675,-0.548511,-0.515247,e>a>b>f>d>g>c,1.0,2.0,6.0,4.0,0.0,3.0,5.0
0.101211,0.32654099999999997,-0.244117,0.36889,-1.0251549999999998,-0.358723,-0.22776,d>c>b>a>g>f>e,3.0,2.0,1.0,0.0,6.0,5.0,4.0
-0.439999,-0.387629,-0.26113000000000003,0.09587899999999999,-0.6960609999999999,-0.738298,-0.20921199999999998,b>c>d>a>f>e>g,3.0,0.0,1.0,2.0,5.0,4.0,6.0
-0.545088,0.16783599999999999,0.615043,0.846659,-0.07900900000000001,0.329257,0.671798,a>e>b>f>c>d>g,0.0,2.0,4.0,5.0,1.0,3.0,6.0
-0.828829,0.405893,-0.746003,-0.9279120000000001,-0.07900900000000001,-0.050318,-0.29267600000000005,e>f>b>g>a>c>d,4.0,2.0,5.0,6.0,0.0,1.0,3.0
-0.634414,-0.308277,-0.363209,-0.17713199999999998,-0.613787,-0.287553,-0.4967,e>f>d>g>a>b>c,4.0,5.0,6.0,2.0,0.0,1.0,3.0
-0.954936,-0.07022,0.24075500000000002,-0.10887899999999999,-0.07900900000000001,0.447874,0.792357,a>f>b>d>c>e>g,0.0,2.0,4.0,3.0,5.0,1.0,6.0
-0.34016399999999997,-0.46698199999999995,-0.41424799999999995,0.164132,-0.408103,-0.939948,-0.598712,e>b>f>d>a>c>g,4.0,1.0,5.0,3.0,0.0,2.0,6.0
-1.212405,-0.149573,0.30030100000000004,1.051417,-0.120146,-0.358723,0.560512,b>e>d>c>a>f>g,4.0,0.0,3.0,2.0,1.0,5.0,6.0
-0.39270900000000003,-0.387629,-0.363209,0.300637,-1.518797,-0.299414,-0.376141,c>e>a>b>d>f>g,2.0,3.0,0.0,4.0,1.0,5.0,6.0
-0.177276,0.32654099999999997,1.150955,1.3244280000000002,1.155095,0.459736,1.302416,c>b>a>e>d>f>g,2.0,1.0,0.0,4.0,3.0,5.0,6.0
-0.7027220000000001,-0.387629,-0.073987,0.232384,-0.243556,-0.263829,0.050454,c>a>b>f>e>d>g,1.0,2.0,0.0,5.0,4.0,3.0,6.0
0.080193,-0.387629,-0.193078,-0.17713199999999998,-0.613787,-0.157074,0.04118,b>f>a>e>c>g>d,2.0,0.0,4.0,6.0,3.0,1.0,5.0
-0.508307,0.564597,-0.405742,-0.6549010000000001,-0.20241900000000002,0.222502,-0.144296,a>e>g>b>d>f>c,0.0,3.0,6.0,4.0,1.0,5.0,2.0
1.152104,-1.7366169999999999,-0.6524310000000001,0.5736479999999999,-1.0251549999999998,-1.034842,-1.433353,g>d>e>b>f>a>c,5.0,3.0,6.0,1.0,2.0,4.0,0.0
1.04176,-1.7366169999999999,0.313911,2.006956,0.0032649999999999997,-0.5010640000000001,-0.672902,f>a>g>d>b>e>c,1.0,4.0,6.0,3.0,5.0,0.0,2.0
0.568858,-1.6572650000000002,-0.780029,0.164132,-0.942882,-0.9636709999999999,-0.9882110000000001,e>f>b>a>d>c>g,3.0,2.0,5.0,4.0,0.0,1.0,6.0
-0.030151,-1.6572650000000002,1.0063440000000001,0.710154,0.496906,0.139469,0.606881,b>c>a>e>d>f>g,2.0,0.0,1.0,4.0,3.0,5.0,6.0
-1.228169,-1.577913,0.938291,-0.10887899999999999,1.196232,1.195163,0.736714,b>c>d>a>f>e>g,3.0,0.0,1.0,2.0,5.0,4.0,6.0
1.667041,-1.577913,-1.19685,0.641901,-1.148566,-1.011118,-1.488995,d>a>c>g>b>f>e,1.0,4.0,2.0,0.0,6.0,5.0,3.0
-0.7342489999999999,-1.498561,1.499723,0.027625999999999998,1.072822,1.574738,1.3209629999999999,a>c>b>e>d>f>g,0.0,2.0,1.0,4.0,3.0,5.0,6.0
1.1573579999999999,-1.498561,-0.9076270000000001,-0.31363800000000003,-1.066292,-0.939948,-1.386984,f>e>g>b>a>c>d,4.0,3.0,5.0,6.0,1.0,0.0,2.0
-0.072186,-1.498561,2.137713,1.187923,1.566463,0.886758,0.959285,b>f>e>c>a>g>d,4.0,0.0,3.0,6.0,2.0,1.0,5.0
1.062778,-1.419208,-1.120291,0.5736479999999999,-1.601071,-1.461864,-1.832126,d>c>g>b>f>a>e,5.0,3.0,1.0,0.0,6.0,4.0,2.0
0.285117,-1.419208,-0.75451,-0.791407,-0.037872,-0.809469,-0.403962,d>f>g>c>b>e>a,6.0,4.0,3.0,0.0,5.0,1.0,2.0
-0.240329,-1.419208,0.7256279999999999,0.9149120000000001,0.085538,0.032714,0.699619,g>d>a>c>b>e>f,2.0,4.0,3.0,1.0,5.0,6.0,0.0
0.201046,-1.339856,-0.25262399999999996,1.392681,-0.9840180000000001,-1.034842,-0.83983,e>a>c>b>f>g>d,1.0,3.0,2.0,6.0,0.0,4.0,5.0
-1.412075,-1.339856,0.9127719999999999,-0.31363800000000003,0.20894899999999997,0.566492,1.1540350000000001,b>d>f>e>g>a>c,5.0,0.0,6.0,1.0,3.0,2.0,4.0
