A1,A2,A3,A4,A5,A6,ranking,a,b,c,d,e,f
-0.41857799999999995,3.3717019999999995,-1.4455200000000001,-0.272329268,-1.3090959999999998,1.372534,b>f>e>c>d>a,5.0,0.0,3.0,4.0,2.0,1.0
-0.417713,3.157316,-1.515487,-0.272329268,-1.248688,0.139999,b>f>e>d>c>a,5.0,0.0,4.0,3.0,2.0,1.0
-0.418437,3.800473,-1.430944,-0.272329268,-1.2400579999999999,0.756266,b>f>c>d>a>e,4.0,0.0,2.0,3.0,5.0,1.0
-0.402146,0.584688,-0.8755790000000001,-0.272329268,-0.877607,-0.198735,b>e>f>c>d>a,5.0,0.0,3.0,4.0,1.0,2.0
-0.408095,0.584688,-0.8755790000000001,-0.272329268,-0.877607,-0.509003,b>e>f>c>d>a,5.0,0.0,3.0,4.0,1.0,2.0
-0.402742,0.584688,-0.8755790000000001,-0.272329268,-0.877607,-0.773728,b>e>f>a>c>d,3.0,0.0,4.0,5.0,1.0,2.0
-0.40013899999999997,0.584688,-0.8755790000000001,-0.272329268,-0.877607,-0.453496,b>a>e>f>c>d,1.0,0.0,4.0,5.0,2.0,3.0
-0.40728200000000003,0.584688,-0.8755790000000001,-0.272329268,-0.877607,0.243896,b>e>f>a>c>d,3.0,0.0,4.0,5.0,1.0,2.0
-0.405395,0.584688,-0.8755790000000001,-0.272329268,-0.877607,0.679411,b>e>f>c>d>a,5.0,0.0,3.0,4.0,1.0,2.0
-0.417833,0.26311,-1.4221979999999999,-0.272329268,-1.196046,1.1661620000000001,b>f>e>a>c>d,3.0,0.0,4.0,5.0,2.0,1.0
-0.41593500000000005,2.942931,-1.132125,-0.272329268,-1.3522450000000001,0.0076370000000000006,b>f>d>c>e>a,5.0,0.0,3.0,2.0,4.0,1.0
-0.41501099999999996,2.942931,-1.132125,-0.272329268,-1.3522450000000001,-0.7082579999999999,b>f>d>c>e>a,5.0,0.0,3.0,2.0,4.0,1.0
-0.413371,0.048724,-0.738559,-0.272329268,-1.257318,-0.578742,b>f>e>d>c>a,5.0,0.0,4.0,3.0,2.0,1.0
-0.404344,0.048724,-0.738559,-0.272329268,-1.257318,-0.9829459999999999,b>f>e>d>c>a,5.0,0.0,4.0,3.0,2.0,1.0
-0.405202,0.048724,-0.738559,-0.272329268,-1.257318,-0.5687800000000001,b>f>e>d>c>a,5.0,0.0,4.0,3.0,2.0,1.0
-0.409841,-0.48723999999999995,-0.047633,-0.272329268,-1.222799,0.188389,b>e>f>d>c>a,5.0,0.0,4.0,3.0,1.0,2.0
-0.401645,-0.48723999999999995,-0.047633,-0.272329268,-1.222799,-0.460613,b>e>f>d>c>a,5.0,0.0,4.0,3.0,1.0,2.0
-0.409448,-0.48723999999999995,-0.047633,-0.272329268,-1.222799,-0.31259499999999996,b>f>e>d>c>a,5.0,0.0,4.0,3.0,2.0,1.0
-0.397386,-0.48723999999999995,-0.047633,-0.272329268,-1.222799,-0.05641,b>e>f>d>c>a,5.0,0.0,4.0,3.0,1.0,2.0
-0.410922,-0.48723999999999995,0.246813,-0.272329268,-1.015684,-0.016559,f>b>e>d>c>a,5.0,1.0,4.0,3.0,2.0,0.0
-0.409043,-0.48723999999999995,0.246813,-0.272329268,-1.015684,0.0019440000000000002,b>f>e>d>c>a,5.0,0.0,4.0,3.0,2.0,1.0
-0.408298,-0.48723999999999995,0.246813,-0.272329268,-1.015684,-0.008019,a>f>b>e>d>c,0.0,2.0,5.0,4.0,3.0,1.0
-0.409979,-0.48723999999999995,0.246813,-0.272329268,-1.015684,-0.20585100000000003,f>b>e>d>c>a,5.0,1.0,4.0,3.0,2.0,0.0
-0.413538,-0.48723999999999995,0.246813,-0.272329268,-1.015684,-0.074912,b>f>e>d>c>a,5.0,0.0,4.0,3.0,2.0,1.0
-0.410351,-0.48723999999999995,0.246813,-0.272329268,-1.015684,-0.584435,f>b>e>d>c>a,5.0,1.0,4.0,3.0,2.0,0.0
-0.41531999999999997,0.584688,-0.914935,-0.272329268,-1.110611,0.6295970000000001,b>f>e>c>d>a,5.0,0.0,3.0,4.0,2.0,1.0
-0.414914,0.584688,-0.914935,-0.272329268,-1.110611,0.475886,b>f>e>a>c>d,3.0,0.0,4.0,5.0,2.0,1.0
-0.41584799999999994,0.584688,-0.914935,-0.272329268,-1.110611,0.024716,b>f>e>c>d>a,5.0,0.0,3.0,4.0,2.0,1.0
-0.415973,0.584688,-0.914935,-0.272329268,-1.110611,-0.167423,b>f>e>c>d>a,5.0,0.0,3.0,4.0,2.0,1.0
-0.41422,-0.48723999999999995,-0.9688680000000001,-0.272329268,-0.912126,0.148538,b>f>e>a>c>d,3.0,0.0,4.0,5.0,2.0,1.0
-0.413434,-0.48723999999999995,-0.9688680000000001,-0.272329268,-0.912126,0.49154200000000003,f>b>e>a>c>d,3.0,1.0,4.0,5.0,2.0,0.0
-0.41407,-0.48723999999999995,-0.9688680000000001,-0.272329268,-0.912126,-0.383757,f>b>e>c>a>d,4.0,1.0,3.0,5.0,2.0,0.0
-0.411788,-0.48723999999999995,-0.9688680000000001,-0.272329268,-0.912126,-0.232893,f>e>b>a>c>d,3.0,2.0,4.0,5.0,1.0,0.0
-0.413521,-0.48723999999999995,-1.126295,-0.272329268,-0.5669350000000001,1.0281069999999999,a>f>b>e>d>c,0.0,2.0,5.0,4.0,3.0,1.0
-0.41393800000000003,-0.48723999999999995,-1.126295,-0.272329268,-0.5669350000000001,1.130581,f>b>a>e>d>c,2.0,1.0,5.0,4.0,3.0,0.0
-0.414656,-0.48723999999999995,-1.126295,-0.272329268,-0.5669350000000001,0.188389,f>a>e>b>d>c,1.0,3.0,5.0,4.0,2.0,0.0
-0.41553,-0.48723999999999995,-1.126295,-0.272329268,-0.5669350000000001,0.17131,f>a>e>b>d>c,1.0,3.0,5.0,4.0,2.0,0.0
-0.41521499999999995,0.71332,0.5689529999999999,-0.272329268,-0.782679,0.223971,f>b>e>a>c>d,3.0,1.0,4.0,5.0,2.0,0.0
-0.416759,0.71332,0.5689529999999999,-0.272329268,-0.782679,-0.1048,f>b>e>c>d>a,5.0,1.0,3.0,4.0,2.0,0.0
-0.41511000000000003,0.71332,0.5689529999999999,-0.272329268,-0.782679,-0.050717,f>a>b>e>c>d,1.0,2.0,4.0,5.0,3.0,0.0
-0.405914,-0.48723999999999995,-1.202092,-0.272329268,-0.9466450000000001,0.484425,f>b>e>a>d>c,3.0,1.0,5.0,4.0,2.0,0.0
-0.406727,-0.48723999999999995,-1.202092,-0.272329268,-0.9466450000000001,-0.17311600000000002,f>a>b>e>d>c,1.0,2.0,5.0,4.0,3.0,0.0
-0.40605399999999997,-0.48723999999999995,-1.202092,-0.272329268,-0.9466450000000001,2.539599,f>a>b>e>d>c,1.0,2.0,5.0,4.0,3.0,0.0
-0.410584,-0.48723999999999995,-1.202092,-0.272329268,-0.9466450000000001,2.185209,f>b>e>d>c>a,5.0,1.0,4.0,3.0,2.0,0.0
-0.41212600000000005,-0.48723999999999995,-1.202092,-0.272329268,-0.9466450000000001,1.610216,f>b>e>a>d>c,3.0,1.0,5.0,4.0,2.0,0.0
-0.402819,-0.48723999999999995,-0.375604,-0.272329268,-0.29941100000000004,0.6295970000000001,e>f>a>d>b>c,2.0,4.0,5.0,3.0,0.0,1.0
-0.40681100000000003,-0.48723999999999995,-0.375604,-0.272329268,-0.29941100000000004,0.7064520000000001,e>f>a>d>b>c,2.0,4.0,5.0,3.0,0.0,1.0
-0.39350599999999997,-0.48723999999999995,-0.375604,-0.272329268,-0.29941100000000004,0.17131,e>a>d>b>c>f,1.0,3.0,4.0,2.0,0.0,5.0
-0.3955,-0.48723999999999995,-0.375604,-0.272329268,-0.29941100000000004,-0.210121,e>a>f>d>b>c,1.0,4.0,5.0,3.0,0.0,2.0
-0.40387199999999995,-0.48723999999999995,-0.375604,-0.272329268,-0.29941100000000004,-0.167423,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.404684,-0.48723999999999995,-0.375604,-0.272329268,-0.29941100000000004,-0.61717,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.400198,-0.48723999999999995,-0.375604,-0.272329268,-0.29941100000000004,-0.638519,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.404852,-0.48723999999999995,-0.375604,-0.272329268,-0.29941100000000004,-0.22435300000000002,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.40521799999999997,-0.48723999999999995,-0.375604,-0.272329268,-0.29941100000000004,0.269515,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.389453,-0.48723999999999995,-0.375604,-0.272329268,-0.29941100000000004,-0.079182,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.40755399999999997,-0.48723999999999995,-0.375604,-0.272329268,-0.29941100000000004,-0.127572,e>f>d>b>a>c,4.0,3.0,5.0,2.0,0.0,1.0
-0.408378,-0.48723999999999995,-0.164245,-0.272329268,-0.06640700000000001,0.612518,a>f>d>e>c>b,0.0,5.0,4.0,2.0,3.0,1.0
-0.40576799999999996,-0.48723999999999995,-0.164245,-0.272329268,-0.06640700000000001,-0.528929,a>f>d>e>c>b,0.0,5.0,4.0,2.0,3.0,1.0
-0.394278,-0.48723999999999995,-0.164245,-0.272329268,-0.06640700000000001,-0.274167,a>f>d>e>c>b,0.0,5.0,4.0,2.0,3.0,1.0
-0.403557,-0.48723999999999995,-0.164245,-0.272329268,-0.06640700000000001,-0.0436,a>f>d>e>c>b,0.0,5.0,4.0,2.0,3.0,1.0
-0.40018200000000004,-0.48723999999999995,-0.164245,-0.272329268,-0.06640700000000001,-0.50758,a>d>f>e>c>b,0.0,5.0,4.0,1.0,3.0,2.0
-0.404804,-0.48723999999999995,-0.164245,-0.272329268,-0.06640700000000001,-0.154614,f>d>a>e>c>b,2.0,5.0,4.0,1.0,3.0,0.0
-0.402549,-0.48723999999999995,-0.164245,-0.272329268,-0.06640700000000001,-0.375218,a>f>d>e>c>b,0.0,5.0,4.0,2.0,3.0,1.0
-0.40492100000000003,-0.48723999999999995,-0.164245,-0.272329268,-0.06640700000000001,-0.587282,a>d>f>e>c>b,0.0,5.0,4.0,1.0,3.0,2.0
-0.40327199999999996,-0.48723999999999995,-0.164245,-0.272329268,-0.06640700000000001,-0.78796,f>d>a>e>c>b,2.0,5.0,4.0,1.0,3.0,0.0
-0.41208100000000003,-0.48723999999999995,2.1155209999999998,-0.272329268,0.22700599999999999,-0.590128,f>e>a>b>c>d,2.0,3.0,4.0,5.0,1.0,0.0
-0.411772,-0.48723999999999995,2.1155209999999998,-0.272329268,0.22700599999999999,-0.399413,a>e>f>b>c>d,0.0,3.0,4.0,5.0,1.0,2.0
-0.40929099999999996,-0.48723999999999995,2.1155209999999998,-0.272329268,0.22700599999999999,-0.460613,a>e>f>b>c>d,0.0,3.0,4.0,5.0,1.0,2.0
-0.402619,-0.48723999999999995,2.1155209999999998,-0.272329268,0.22700599999999999,-0.610054,a>e>f>c>b>d,0.0,4.0,3.0,5.0,1.0,2.0
-0.40865100000000004,-0.48723999999999995,2.1155209999999998,-0.272329268,0.22700599999999999,-0.5773189999999999,a>e>f>b>c>d,0.0,3.0,4.0,5.0,1.0,2.0
-0.400452,-0.48723999999999995,2.1155209999999998,-0.272329268,0.22700599999999999,-0.42503100000000005,a>f>e>b>c>d,0.0,3.0,4.0,5.0,2.0,1.0
-0.375069,-0.48723999999999995,2.1155209999999998,-0.272329268,0.22700599999999999,-0.9559040000000001,a>e>f>c>b>d,0.0,4.0,3.0,5.0,1.0,2.0
-0.389973,-0.48723999999999995,1.567444,-0.272329268,0.598087,-0.842044,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.382268,-0.48723999999999995,1.567444,-0.272329268,0.598087,0.208315,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.31764899999999996,-0.48723999999999995,1.567444,-0.272329268,0.598087,-0.921746,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.380567,-0.48723999999999995,1.567444,-0.272329268,0.598087,0.246743,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.281413,-0.48723999999999995,1.567444,-0.272329268,0.598087,0.058874,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.351504,-0.48723999999999995,1.567444,-0.272329268,0.598087,0.12434300000000001,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.381757,-0.48723999999999995,1.567444,-0.272329268,0.598087,-0.6584439999999999,e>a>f>d>b>c,1.0,4.0,5.0,3.0,0.0,2.0
-0.306614,-0.48723999999999995,1.567444,-0.272329268,0.598087,-0.7509560000000001,e>a>d>c>b>f,1.0,4.0,3.0,2.0,0.0,5.0
-0.35525500000000004,-0.48723999999999995,1.567444,-0.272329268,0.598087,0.07168300000000001,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.382592,-0.48723999999999995,1.567444,-0.272329268,0.598087,-0.487654,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.37914000000000003,-0.48723999999999995,1.567444,-0.272329268,0.598087,0.24105,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.39105999999999996,-0.48723999999999995,1.567444,-0.272329268,0.598087,-0.608631,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.356797,-0.48723999999999995,1.567444,-0.272329268,0.598087,-0.190195,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.386282,-0.48723999999999995,1.567444,-0.272329268,0.598087,-0.15746,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.23075900000000002,-0.48723999999999995,1.567444,-0.272329268,0.598087,-1.8013139999999999,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.034002,-0.48723999999999995,1.2307270000000001,3.6647716089999998,2.729645,-1.254786,a>f>d>c>b>e,0.0,4.0,3.0,2.0,5.0,1.0
0.05625499999999999,-0.48723999999999995,1.2307270000000001,-0.272329268,2.729645,-1.162275,a>f>d>c>b>e,0.0,4.0,3.0,2.0,5.0,1.0
-0.096934,-0.48723999999999995,1.2307270000000001,-0.272329268,2.729645,-1.9664110000000001,a>f>d>c>b>e,0.0,4.0,3.0,2.0,5.0,1.0
-0.143484,-0.48723999999999995,1.2307270000000001,-0.272329268,2.729645,-0.220083,a>d>c>b>e>f,0.0,3.0,2.0,1.0,4.0,5.0
-0.169559,-0.48723999999999995,1.2307270000000001,-0.272329268,2.729645,-0.9345549999999999,a>d>c>b>e>f,0.0,3.0,2.0,1.0,4.0,5.0
-0.14473,-0.48723999999999995,1.2307270000000001,-0.272329268,2.729645,-1.933677,a>f>d>c>b>e,0.0,4.0,3.0,2.0,5.0,1.0
-0.149105,-0.48723999999999995,1.2307270000000001,-0.272329268,2.729645,-1.563632,a>f>d>c>b>e,0.0,4.0,3.0,2.0,5.0,1.0
-0.102255,-0.48723999999999995,1.2307270000000001,-0.272329268,2.729645,-0.978676,a>d>f>c>b>e,0.0,4.0,3.0,1.0,5.0,2.0
-0.227508,-0.48723999999999995,1.2307270000000001,-0.272329268,2.729645,-0.231469,a>f>d>c>b>e,0.0,4.0,3.0,2.0,5.0,1.0
-0.246142,-0.48723999999999995,1.2307270000000001,-0.272329268,2.729645,-1.253363,a>d>f>c>b>e,0.0,4.0,3.0,1.0,5.0,2.0
-0.289128,-0.48723999999999995,1.2307270000000001,3.6647716089999998,2.729645,-1.811277,a>d>f>c>b>e,0.0,4.0,3.0,1.0,5.0,2.0
-0.170242,-0.48723999999999995,1.2307270000000001,-0.272329268,2.729645,-0.8192719999999999,a>d>c>b>f>e,0.0,3.0,2.0,1.0,5.0,4.0
-0.25573,-0.48723999999999995,1.2307270000000001,3.6647716089999998,2.729645,-0.221507,a>d>f>c>b>e,0.0,4.0,3.0,1.0,5.0,2.0
-0.009128,-0.48723999999999995,1.2307270000000001,3.6647716089999998,2.729645,-0.188772,a>d>c>b>e>f,0.0,3.0,2.0,1.0,4.0,5.0
-0.135655,-0.48723999999999995,1.2307270000000001,-0.272329268,2.729645,-1.441232,a>d>c>b>e>f,0.0,3.0,2.0,1.0,4.0,5.0
-0.27785,-0.48723999999999995,1.2307270000000001,-0.272329268,0.434121,0.937019,a>f>d>c>b>e,0.0,4.0,3.0,2.0,5.0,1.0
-0.263986,-0.48723999999999995,1.2307270000000001,-0.272329268,0.434121,-0.31117100000000003,a>f>d>c>b>e,0.0,4.0,3.0,2.0,5.0,1.0
-0.254431,-0.48723999999999995,1.2307270000000001,-0.272329268,2.729645,0.320752,a>f>d>c>b>e,0.0,4.0,3.0,2.0,5.0,1.0
-0.272052,-0.48723999999999995,1.2307270000000001,3.6647716089999998,0.434121,-0.049293000000000003,a>d>f>c>b>e,0.0,4.0,3.0,1.0,5.0,2.0
-0.24997399999999997,-0.48723999999999995,1.2307270000000001,-0.272329268,0.434121,1.714114,a>f>d>c>b>e,0.0,4.0,3.0,2.0,5.0,1.0
-0.206911,-0.48723999999999995,1.2307270000000001,3.6647716089999998,0.434121,2.159591,a>f>d>c>b>e,0.0,4.0,3.0,2.0,5.0,1.0
-0.24350300000000002,-0.48723999999999995,1.2307270000000001,3.6647716089999998,0.434121,2.975113,a>f>d>c>b>e,0.0,4.0,3.0,2.0,5.0,1.0
-0.159409,-0.48723999999999995,1.2307270000000001,-0.272329268,0.434121,-0.6129,a>f>d>c>b>e,0.0,4.0,3.0,2.0,5.0,1.0
-0.080163,-0.48723999999999995,1.2307270000000001,-0.272329268,0.434121,-0.261358,a>d>c>b>f>e,0.0,3.0,2.0,1.0,5.0,4.0
-0.186401,-0.48723999999999995,1.2307270000000001,-0.272329268,0.434121,2.340344,a>f>d>c>b>e,0.0,4.0,3.0,2.0,5.0,1.0
-0.210804,-0.48723999999999995,1.2307270000000001,-0.272329268,0.434121,-0.580166,a>d>c>b>f>e,0.0,3.0,2.0,1.0,5.0,4.0
-0.152661,-0.48723999999999995,1.2307270000000001,-0.272329268,0.434121,0.048911,a>d>c>f>b>e,0.0,4.0,2.0,1.0,5.0,3.0
-0.135324,-0.48723999999999995,1.2307270000000001,-0.272329268,0.434121,0.167041,a>d>f>c>b>e,0.0,4.0,3.0,1.0,5.0,2.0
-0.279729,-0.48723999999999995,1.2307270000000001,-0.272329268,0.434121,-0.583012,a>d>c>b>f>e,0.0,3.0,2.0,1.0,5.0,4.0
-0.151092,-0.48723999999999995,1.2307270000000001,-0.272329268,0.434121,-0.575896,a>d>f>c>b>e,0.0,4.0,3.0,1.0,5.0,2.0
-0.403926,-0.48723999999999995,-1.033005,-0.272329268,-0.385709,-1.014257,a>f>c>b>d>e,0.0,3.0,2.0,4.0,5.0,1.0
