A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,ranking,a,b,c,d,e,f
-0.535,-0.535,-0.249,0.08900000000000001,0.9329999999999999,-0.535,-0.508,-0.535,2.97,-0.535,-0.0845,-0.535,-0.535,-0.535,-0.535,-0.43799999999999994,3.04,0.308,-0.0457,-0.0845,-0.467,-0.46299999999999997,-0.535,0.35700000000000004,d>f>c>b>e>a,5.0,3.0,2.0,0.0,4.0,1.0
-0.289,-0.301,-0.259,-0.249,-0.284,-0.301,-0.301,-0.301,-0.289,-0.301,-0.281,-0.301,-0.18899999999999997,-0.26899999999999996,-0.285,0.33799999999999997,-0.28800000000000003,0.21899999999999997,0.4,-0.301,-0.278,-0.192,-0.301,4.59,e>a>b>c>d>f,1.0,2.0,3.0,4.0,0.0,5.0
1.09,0.473,1.12,-0.33,-0.763,-0.763,-0.35700000000000004,-0.763,-0.381,-0.763,-0.685,-0.5429999999999999,-0.057,-0.23600000000000002,-0.5720000000000001,3.01,-0.763,1.85,1.52,-0.392,-0.449,-0.0784,-0.7440000000000001,-0.42200000000000004,a>f>d>c>e>b,0.0,5.0,3.0,2.0,4.0,1.0
-0.65,-0.18600000000000003,0.2,-0.5539999999999999,-0.0892,-0.645,-0.65,-0.034,-0.14400000000000002,3.24,-0.65,-0.65,-0.65,0.217,-0.578,-0.0976,2.83,0.42200000000000004,0.467,-0.41200000000000003,-0.15,-0.196,-0.645,-0.391,a>c>f>b>e>d,0.0,3.0,1.0,5.0,4.0,2.0
-0.753,-0.745,0.682,-0.667,0.987,0.655,0.64,0.987,-0.753,-0.753,-0.69,-0.753,0.503,-0.733,0.29600000000000004,-0.7140000000000001,1.05,-0.6940000000000001,-0.6940000000000001,-0.628,0.862,-0.569,-0.753,3.24,e>a>f>d>c>b,1.0,5.0,4.0,3.0,0.0,2.0
-0.281,-0.281,-0.281,-0.281,-0.281,-0.281,-0.281,-0.273,-0.281,-0.281,-0.281,-0.281,-0.248,-0.228,1.81,-0.281,-0.281,-0.281,-0.281,-0.281,-0.251,-0.281,-0.268,4.25,b>c>f>e>d>a,5.0,0.0,1.0,4.0,3.0,2.0
-0.29600000000000004,-0.225,-0.00236,-0.125,-0.0319,-0.29100000000000004,-0.129,-0.426,-0.426,-0.36200000000000004,-0.125,-0.0768,0.0497,-0.203,-0.248,-0.239,-0.358,-0.203,-0.32899999999999996,0.07200000000000001,-0.18,-0.32899999999999996,-0.17300000000000001,4.65,f>c>e>a>b>d,3.0,4.0,1.0,5.0,2.0,0.0
-0.531,-0.531,-0.531,1.95,-0.531,-0.531,0.256,0.256,-0.531,2.53,-0.531,-0.531,-0.531,0.732,-0.531,-0.3,-0.146,-0.531,-0.0801,-0.531,-0.531,-0.531,-0.531,2.79,b>e>f>c>d>a,5.0,0.0,3.0,4.0,1.0,2.0
-0.5760000000000001,-0.131,0.19699999999999998,-0.5760000000000001,0.7909999999999999,-0.414,-0.541,-0.5760000000000001,-0.5760000000000001,-0.5760000000000001,-0.5760000000000001,-0.5760000000000001,-0.5760000000000001,0.508,-0.5760000000000001,1.35,-0.5760000000000001,1.35,1.51,-0.473,3.33,-0.5760000000000001,-0.5760000000000001,-0.5760000000000001,a>b>d>f>e>c,0.0,1.0,5.0,2.0,4.0,3.0
-0.23199999999999998,-0.27899999999999997,-0.196,-0.121,-0.172,-0.198,-0.0605,-0.27899999999999997,-0.258,-0.0963,-0.183,-0.183,-0.152,-0.23399999999999999,-0.125,-0.252,-0.152,-0.27899999999999997,-0.27899999999999997,-0.212,-0.21899999999999997,-0.245,-0.27899999999999997,4.69,b>c>e>f>a>d,4.0,0.0,1.0,5.0,2.0,3.0
-0.244,-0.244,-0.235,-0.244,-0.244,-0.213,-0.244,0.0254,-0.244,-0.244,-0.23600000000000002,-0.237,-0.244,-0.0486,-0.23,-0.244,-0.172,-0.18,-0.244,-0.237,-0.162,-0.196,-0.11699999999999999,4.68,a>c>e>f>d>b,0.0,5.0,1.0,4.0,2.0,3.0
-0.887,-0.887,-0.887,0.513,1.17,-0.887,2.32,-0.512,-0.887,0.708,-0.887,0.513,0.221,-0.131,-0.887,-0.887,-0.805,0.9570000000000001,1.13,1.96,-0.887,0.392,-0.887,0.431,d>c>f>e>b>a,5.0,4.0,1.0,0.0,3.0,2.0
-0.344,-0.297,0.255,-0.0999,0.327,-0.354,-0.85,0.82,-0.344,-0.705,-0.425,-0.366,-0.511,-0.813,0.085,0.156,1.73,-0.778,0.085,-1.02,-0.214,-0.204,0.0562,3.81,f>d>c>b>e>a,5.0,3.0,2.0,1.0,4.0,0.0
-0.33299999999999996,-0.10099999999999999,-0.39799999999999996,-0.18,-0.285,-0.37799999999999995,-0.28800000000000003,-0.266,-0.373,-0.322,-0.299,-0.36,-0.0843,-0.336,-0.20800000000000002,-0.41100000000000003,-0.271,-0.41100000000000003,-0.0444,-0.319,1.36,0.359,-0.41100000000000003,4.36,f>e>b>c>d>a,5.0,2.0,3.0,4.0,1.0,0.0
-0.9740000000000001,2.25,0.105,1.09,-0.45299999999999996,-0.13,-0.257,-0.9740000000000001,-0.9740000000000001,-0.9740000000000001,1.53,0.561,0.513,-0.6,0.7240000000000001,-0.6779999999999999,-0.9740000000000001,-0.703,1.67,1.3,-0.9740000000000001,-0.9740000000000001,-0.586,0.467,d>f>e>a>c>b,3.0,5.0,4.0,0.0,2.0,1.0
-0.278,0.289,-0.273,-0.289,-0.275,-0.289,-0.282,-0.253,4.6,-0.201,-0.289,-0.289,-0.282,-0.289,-0.282,-0.289,-0.253,-0.289,-0.289,-0.289,0.36200000000000004,-0.289,-0.289,0.31,d>a>e>c>f>b,1.0,5.0,3.0,0.0,2.0,4.0
-0.43700000000000006,-0.32299999999999995,-0.0499,-0.461,0.0737,0.156,0.20800000000000002,0.11599999999999999,-0.461,-0.461,-0.457,-0.446,-0.0654,-0.32299999999999995,0.0287,-0.255,0.38299999999999995,-0.28,-0.33799999999999997,-0.426,0.168,-0.405,-0.461,4.52,a>f>d>b>e>c,0.0,3.0,5.0,2.0,4.0,1.0
-0.8909999999999999,-0.8909999999999999,1.33,1.66,-0.8909999999999999,-0.44799999999999995,0.0864,-0.8909999999999999,-0.8909999999999999,-0.8909999999999999,0.233,-0.14,0.804,-0.7829999999999999,0.804,1.97,-0.8909999999999999,-0.8909999999999999,-0.8909999999999999,-0.11699999999999999,1.33,0.7120000000000001,-0.8909999999999999,1.48,d>c>e>a>f>b,3.0,5.0,1.0,0.0,2.0,4.0
-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,1.03,3.29,0.425,-0.37799999999999995,-0.45899999999999996,0.183,-0.45899999999999996,-0.45899999999999996,-0.45899999999999996,0.6709999999999999,-0.45899999999999996,2.6,a>f>e>d>c>b,0.0,5.0,4.0,3.0,2.0,1.0
-0.821,-0.24100000000000002,-0.7829999999999999,1.14,1.26,-0.821,-0.8190000000000001,0.366,-0.821,-0.17600000000000002,1.69,1.79,-0.821,-0.579,-0.37,2.34,-0.37,-0.564,-0.821,-0.5820000000000001,-0.55,-0.821,0.19,1.18,a>c>f>e>d>b,0.0,5.0,1.0,4.0,3.0,2.0
-0.318,-0.0418,-0.248,-0.11699999999999999,-0.159,-0.245,-0.318,-0.318,-0.273,-0.154,0.0203,-0.0806,-0.0887,-0.27899999999999997,-0.318,-0.154,-0.318,-0.19399999999999998,-0.129,-0.14400000000000002,-0.308,-0.168,-0.318,4.67,a>d>e>c>b>f,0.0,4.0,3.0,1.0,2.0,5.0
-0.29,0.0666,-0.21600000000000003,-0.24,-0.198,-0.29,-0.29,-0.29,-0.29,-0.29,-0.239,-0.21899999999999997,-0.29,0.267,-0.271,0.17800000000000002,-0.29,-0.13699999999999998,-0.161,-0.29,-0.29,-0.27399999999999997,-0.29,4.64,c>f>d>a>e>b,3.0,5.0,0.0,2.0,4.0,1.0
-1.21,-1.07,0.866,1.23,1.02,-1.17,-1.18,0.8190000000000001,0.866,0.799,0.7859999999999999,0.7859999999999999,0.556,-1.06,0.494,-1.1,-1.21,-1.11,-1.09,0.7390000000000001,-1.18,0.9259999999999999,1.17,0.326,f>e>b>a>d>c,3.0,2.0,5.0,4.0,1.0,0.0
2.12,2.05,-0.486,-0.596,-0.619,-0.618,-0.626,-0.556,-0.494,-0.514,-0.625,-0.625,-0.551,0.737,-0.657,1.94,-0.601,0.608,0.633,-0.628,-0.614,-0.514,-0.5920000000000001,1.85,a>e>b>c>d>f,0.0,2.0,3.0,4.0,1.0,5.0
-0.624,1.37,-0.624,0.528,1.69,0.975,0.40299999999999997,-0.00698,-0.624,3.28,-0.624,-0.256,0.8109999999999999,-0.594,-0.624,-0.624,-0.624,-0.624,-0.624,-0.624,-0.624,-0.0944,-0.624,-0.624,a>f>b>c>e>d,0.0,2.0,3.0,5.0,4.0,1.0
0.305,0.0049700000000000005,-0.292,-0.242,-0.021,-0.292,-0.292,-0.292,-0.292,-0.292,-0.24,-0.292,-0.292,-0.259,-0.292,0.18600000000000003,-0.292,-0.292,-0.292,-0.131,-0.292,-0.292,-0.146,4.63,a>e>b>f>d>c,0.0,2.0,5.0,4.0,1.0,3.0
0.621,1.13,-0.613,-0.613,-0.535,-0.535,-0.593,-0.5379999999999999,-0.5870000000000001,-0.607,-0.5720000000000001,-0.575,-0.561,0.965,-0.5379999999999999,1.09,-0.384,1.25,1.3,-0.613,-0.613,-0.613,-0.526,3.24,a>d>f>e>c>b,0.0,5.0,4.0,1.0,3.0,2.0
-0.14300000000000002,-0.22,-0.22,-0.22,-0.22,-0.22,-0.16899999999999998,-0.22,-0.207,-0.18899999999999997,-0.17300000000000001,-0.174,-0.22,-0.201,-0.212,-0.22,-0.22,-0.22,-0.22,-0.22,-0.2,-0.22,-0.17300000000000001,4.69,e>b>a>c>d>f,2.0,1.0,3.0,4.0,0.0,5.0
-1.06,0.792,0.838,-1.06,0.9490000000000001,1.13,1.19,1.15,0.9490000000000001,0.772,0.555,0.535,-1.07,-1.07,-1.07,-1.06,1.08,-1.04,-0.966,-1.07,1.1,0.47700000000000004,-1.07,-0.981,e>c>a>b>d>f,2.0,3.0,1.0,4.0,0.0,5.0
-0.0626,-0.306,-0.295,-0.121,-0.306,-0.121,-0.0797,-0.306,-0.23800000000000002,-0.20199999999999999,-0.172,-0.248,0.239,-0.268,-0.207,-0.306,-0.306,-0.204,-0.207,-0.196,-0.14,-0.306,-0.306,4.66,d>f>e>a>b>c,3.0,4.0,5.0,0.0,2.0,1.0
-0.207,-0.19899999999999998,-0.19899999999999998,-0.106,-0.135,-0.237,-0.203,-0.255,-0.215,-0.18100000000000002,-0.191,-0.191,-0.10800000000000001,-0.23600000000000002,-0.255,-0.255,-0.255,-0.255,-0.24100000000000002,-0.152,-0.21600000000000003,-0.13,-0.254,4.69,e>c>b>d>f>a,5.0,2.0,1.0,3.0,0.0,4.0
-1.36,-1.46,0.162,1.21,0.498,0.63,0.736,0.498,0.8759999999999999,0.8759999999999999,0.608,0.542,-0.131,-1.45,-0.0424,-1.45,0.192,-1.46,-1.42,0.8759999999999999,1.31,0.895,0.294,-1.46,d>b>a>e>f>c,2.0,1.0,5.0,0.0,3.0,4.0
0.32,0.8290000000000001,0.267,-0.133,0.5870000000000001,0.133,-0.0537,0.267,0.34700000000000003,0.374,-0.027000000000000003,-0.0537,-3.04,0.747,-3.08,0.214,0.0532,0.774,0.802,-0.214,0.294,-0.027000000000000003,-0.214,0.8290000000000001,a>f>d>e>c>b,0.0,5.0,4.0,2.0,3.0,1.0
-0.24600000000000002,-0.203,-0.0627,-0.16699999999999998,-0.183,-0.23600000000000002,-0.15,-0.248,-0.187,-0.24,-0.133,-0.226,-0.17300000000000001,-0.213,-0.207,-0.248,-0.248,-0.24,-0.21899999999999997,-0.248,-0.187,-0.209,-0.201,4.69,d>a>c>e>b>f,1.0,4.0,2.0,0.0,3.0,5.0
1.29,1.11,-0.615,-0.615,-0.5710000000000001,-0.615,-0.615,-0.615,-0.605,-0.615,-0.615,-0.615,-0.35700000000000004,0.975,-0.507,1.1,-0.551,0.966,1.13,-0.5660000000000001,-0.615,-0.615,-0.446,3.17,c>b>a>d>e>f,2.0,1.0,0.0,3.0,4.0,5.0
0.19,-0.276,-0.34600000000000003,-0.245,3.87,-0.353,-0.259,-0.353,2.44,-0.21600000000000003,-0.29600000000000004,-0.337,-0.353,-0.284,-0.353,-0.32799999999999996,-0.353,-0.34,-0.321,-0.353,-0.14400000000000002,-0.353,-0.324,-0.301,b>e>f>a>c>d,3.0,0.0,4.0,5.0,1.0,2.0
-0.349,-0.787,-0.6,0.17300000000000001,0.0329,-0.7120000000000001,0.912,-0.787,-0.462,-0.787,0.621,0.287,0.825,-0.787,0.35200000000000004,0.386,-0.11599999999999999,-0.415,-0.787,-0.787,-0.787,-0.787,2.6,2.76,a>d>e>c>f>b,0.0,5.0,3.0,1.0,2.0,4.0
-0.5429999999999999,-0.5429999999999999,-0.0271,-0.38,1.62,-0.42,-0.519,0.107,-0.523,-0.462,0.289,-0.0271,-0.519,-0.433,-0.467,-0.519,0.657,-0.5329999999999999,-0.5429999999999999,0.726,0.107,-0.469,-0.5429999999999999,3.95,e>a>b>f>d>c,1.0,2.0,5.0,4.0,0.0,3.0
-0.259,-0.242,-0.14800000000000002,-0.0554,-0.259,-0.259,-0.259,-0.259,-0.259,-0.259,-0.205,-0.225,-0.248,0.415,-0.259,-0.20800000000000002,-0.259,-0.259,-0.0992,-0.259,-0.259,-0.259,-0.259,4.65,c>b>a>d>e>f,2.0,1.0,0.0,3.0,4.0,5.0
-0.332,-0.175,-0.2,-0.245,-0.124,-0.18100000000000002,-0.332,-0.332,-0.225,-0.124,-0.124,-0.22699999999999998,-0.10099999999999999,-0.235,-0.231,-0.00121,-0.0611,-0.266,-0.249,-0.326,-0.18899999999999997,-0.215,-0.18899999999999997,4.68,c>f>b>d>e>a,5.0,2.0,0.0,3.0,4.0,1.0
-0.231,-0.231,-0.111,-0.0846,-0.151,-0.231,-0.21600000000000003,-0.17,-0.231,-0.231,-0.14800000000000002,-0.231,-0.20600000000000002,-0.231,-0.20800000000000002,-0.231,-0.228,-0.231,-0.231,-0.166,-0.231,-0.231,-0.231,4.69,c>b>a>f>e>d,2.0,1.0,0.0,5.0,4.0,3.0
0.302,-0.603,-0.603,-0.603,3.44,-0.111,-0.603,-0.603,-0.603,1.4,-0.139,0.253,-0.603,-0.603,0.382,0.44,-0.603,0.20800000000000002,-0.603,-0.603,-0.603,-0.603,-0.28800000000000003,1.96,e>b>c>a>d>f,3.0,1.0,2.0,4.0,0.0,5.0
-0.332,-0.498,-0.498,-0.149,-0.359,-0.302,-0.498,-0.446,2.61,-0.306,2.03,2.06,-0.379,-0.455,-0.48100000000000004,-0.498,-0.498,-0.498,-0.48100000000000004,-0.491,-0.498,-0.498,-0.498,1.98,d>e>a>b>c>f,2.0,3.0,4.0,0.0,1.0,5.0
-0.72,-0.34600000000000003,-0.24,-0.72,-0.573,0.452,0.698,0.3,-0.325,-0.72,0.444,0.337,-0.375,-0.13,0.306,-0.6609999999999999,0.58,-0.6759999999999999,-0.72,-0.72,1.56,-0.72,-0.72,3.71,e>a>d>f>c>b,1.0,5.0,4.0,2.0,0.0,3.0
-0.27,-0.27,-0.264,-0.192,-0.133,-0.27,-0.0726,-0.27,-0.225,-0.27,-0.228,-0.24100000000000002,-0.134,-0.251,-0.147,-0.0193,-0.27,-0.27,-0.258,-0.215,0.0437,-0.27,-0.201,4.68,a>c>b>f>d>e,0.0,2.0,1.0,4.0,5.0,3.0
-0.9129999999999999,-0.877,0.887,-0.419,0.857,-1.66,-1.68,0.565,0.868,0.904,0.958,0.929,0.0898,-0.634,0.308,-0.544,0.46399999999999997,-0.62,-0.68,-1.68,0.629,0.475,-0.47200000000000003,2.22,a>d>f>e>b>c,0.0,4.0,5.0,1.0,3.0,2.0
-0.6759999999999999,-0.6,2.12,0.0331,-0.0369,-0.135,-0.6759999999999999,-0.452,2.82,-0.6759999999999999,-0.6,-0.6759999999999999,-0.501,-0.24100000000000002,-0.506,-0.49700000000000005,1.83,-0.6759999999999999,-0.6759999999999999,-0.363,-0.17800000000000002,0.992,-0.6759999999999999,1.05,a>f>e>c>d>b,0.0,5.0,3.0,4.0,2.0,1.0
0.22899999999999998,0.462,-0.39799999999999996,-0.391,-0.375,-0.381,-0.405,-0.43200000000000005,-0.43200000000000005,-0.402,-0.429,-0.429,-0.43200000000000005,0.5770000000000001,-0.43200000000000005,0.54,-0.43200000000000005,0.53,0.452,-0.43200000000000005,-0.43200000000000005,-0.43200000000000005,-0.43200000000000005,4.32,a>c>f>e>b>d,0.0,4.0,1.0,5.0,3.0,2.0
-0.728,-0.728,-0.527,1.91,-0.405,-0.7140000000000001,2.04,-0.728,-0.728,-0.5720000000000001,0.39799999999999996,0.6,0.555,1.18,0.139,-0.728,-0.728,-0.728,-0.622,0.6,-0.728,-0.46799999999999997,-0.728,2.43,f>b>e>a>d>c,3.0,1.0,5.0,4.0,2.0,0.0
-1.9,-1.88,0.41700000000000004,0.648,0.478,0.46299999999999997,0.478,0.494,0.556,0.478,0.617,0.617,0.247,-1.9,0.247,0.21600000000000003,0.509,-1.9,-1.88,0.586,0.7240000000000001,0.386,0.617,0.677,e>a>b>c>d>f,1.0,2.0,3.0,4.0,0.0,5.0
0.975,1.25,-0.008159999999999999,-0.9109999999999999,0.179,-1.12,-1.2,1.5,-0.159,-1.06,-0.636,-0.605,-0.35,1.41,-0.33799999999999997,1.72,-0.943,1.48,1.39,-0.878,-0.319,0.33299999999999996,-1.09,-0.609,c>e>f>b>d>a,5.0,3.0,0.0,4.0,1.0,2.0
