A1,A2,A3,A4,ranking,a,b,c,d
-1.327803,1.0057049999999998,1.856137,-0.756212,b>c>a>d,2.0,0.0,1.0,3.0
-1.327803,1.0057049999999998,1.220487,-0.135571,b>a>c>d,1.0,0.0,2.0,3.0
-1.327803,1.0103870000000001,1.5383120000000001,-0.43076499999999995,b>a>c>d,1.0,0.0,2.0,3.0
-1.327803,1.0103870000000001,1.617768,-0.669579,b>c>a>d,2.0,0.0,1.0,3.0
-1.322812,1.0103870000000001,0.6642939999999999,-0.134196,b>a>c>d,1.0,0.0,2.0,3.0
-1.327803,1.0103870000000001,0.108101,-0.9285610000000001,b>a>c>d,1.0,0.0,2.0,3.0
-1.327803,1.0103870000000001,0.9026629999999999,-0.781881,b>a>c>d,1.0,0.0,2.0,3.0
-1.322812,1.0103870000000001,1.220487,-0.526565,d>b>a>c,2.0,1.0,3.0,0.0
-1.322812,1.0103870000000001,1.856137,0.361309,b>c>a>d,2.0,0.0,1.0,3.0
-1.317821,1.0103870000000001,1.856137,-0.8588879999999999,d>b>c>a,3.0,1.0,2.0,0.0
-1.322812,1.0103870000000001,1.3794,-0.123653,b>a>c>d,1.0,0.0,2.0,3.0
-1.322812,1.0103870000000001,1.617768,-0.371176,c>b>a>d,2.0,1.0,0.0,3.0
-1.322812,1.0103870000000001,0.74375,0.189418,b>c>a>d,2.0,0.0,1.0,3.0
-1.312829,1.0103870000000001,0.028645,-0.456434,a>c>b>d,0.0,2.0,1.0,3.0
-1.317821,1.0103870000000001,1.458856,-0.500896,d>b>c>a,3.0,1.0,2.0,0.0
-1.317821,1.0103870000000001,0.425926,-0.12457,b>a>c>d,1.0,0.0,2.0,3.0
-1.317821,1.0103870000000001,0.505382,-0.408304,b>c>a>d,2.0,0.0,1.0,3.0
-1.317821,1.015069,0.823207,-0.290043,a>c>b>d,0.0,2.0,1.0,3.0
-1.317821,1.015069,0.823207,-0.283168,c>b>a>d,2.0,1.0,0.0,3.0
-1.312829,1.015069,1.141031,0.187584,d>a>c>b,1.0,3.0,2.0,0.0
-1.312829,1.015069,1.856137,-0.49906300000000003,d>a>c>b,1.0,3.0,2.0,0.0
-1.317821,1.015069,1.856137,0.404855,c>a>b>d,1.0,2.0,0.0,3.0
-1.312829,1.015069,0.9821190000000001,-0.259332,d>c>a>b,2.0,3.0,1.0,0.0
-1.317821,1.015069,1.5383120000000001,-0.6026560000000001,d>c>a>b,2.0,3.0,1.0,0.0
-1.3078379999999998,1.015069,1.5383120000000001,-0.43168199999999995,d>a>c>b,1.0,3.0,2.0,0.0
-1.3078379999999998,1.015069,1.3794,-0.319838,d>c>a>b,2.0,3.0,1.0,0.0
-1.3078379999999998,1.0103870000000001,1.697224,-0.764463,d>a>c>b,1.0,3.0,2.0,0.0
-1.312829,1.0103870000000001,0.9026629999999999,-0.722292,d>a>b>c,1.0,2.0,3.0,0.0
-1.312829,1.015069,1.3794,-0.272625,d>c>a>b,2.0,3.0,1.0,0.0
-1.3078379999999998,1.015069,1.856137,-0.377135,d>c>a>b,2.0,3.0,1.0,0.0
-1.3078379999999998,1.0103870000000001,1.299943,0.037695,d>c>a>b,2.0,3.0,1.0,0.0
-1.3078379999999998,1.0103870000000001,-0.050811,0.23296399999999998,a>c>b>d,0.0,2.0,1.0,3.0
-1.312829,1.0103870000000001,0.505382,-0.382177,a>c>b>d,0.0,2.0,1.0,3.0
-1.312829,1.0103870000000001,1.617768,-0.803883,b>d>c>a,3.0,0.0,2.0,1.0
-1.312829,1.0103870000000001,1.220487,-0.46514300000000003,c>b>a>d,2.0,1.0,0.0,3.0
-1.317821,1.0103870000000001,1.299943,-0.23870500000000003,b>a>c>d,1.0,0.0,2.0,3.0
-1.312829,1.0103870000000001,1.299943,-0.28179299999999996,b>a>c>d,1.0,0.0,2.0,3.0
-1.317821,1.0057049999999998,1.3794,-0.181867,c>b>a>d,2.0,1.0,0.0,3.0
-1.317821,1.0057049999999998,1.856137,-0.531149,b>a>c>d,1.0,0.0,2.0,3.0
-1.317821,1.0057049999999998,1.856137,-0.724125,b>d>c>a,3.0,0.0,2.0,1.0
-1.317821,1.0057049999999998,1.617768,-0.796549,d>b>c>a,3.0,1.0,2.0,0.0
-1.322812,1.0057049999999998,1.220487,0.152289,b>a>c>d,1.0,0.0,2.0,3.0
-1.317821,1.0057049999999998,1.141031,-0.428015,b>a>c>d,1.0,0.0,2.0,3.0
-1.317821,1.0057049999999998,1.458856,-0.804341,b>d>c>a,3.0,0.0,2.0,1.0
-1.322812,1.001024,0.9026629999999999,-0.981733,d>b>c>a,3.0,1.0,2.0,0.0
-1.322812,1.0057049999999998,1.697224,-0.394095,b>a>c>d,1.0,0.0,2.0,3.0
-1.322812,1.0057049999999998,1.220487,-0.43901599999999996,b>c>a>d,2.0,0.0,1.0,3.0
-1.322812,1.0057049999999998,1.77668,-0.457809,b>a>c>d,1.0,0.0,2.0,3.0
-1.317821,0.9963420000000001,1.856137,-0.557277,b>c>a>d,2.0,0.0,1.0,3.0
-1.317821,1.001024,1.856137,-0.93727,d>a>b>c,1.0,2.0,3.0,0.0
-1.317821,1.001024,1.856137,-0.8666799999999999,d>b>a>c,2.0,1.0,3.0,0.0
-1.312829,1.001024,1.617768,-0.16674,b>c>a>d,2.0,0.0,1.0,3.0
-1.317821,1.001024,1.3794,-0.6425350000000001,b>c>a>d,2.0,0.0,1.0,3.0
-1.317821,1.001024,1.141031,-0.742002,a>b>c>d,0.0,1.0,2.0,3.0
-1.3078379999999998,1.001024,1.061575,-0.780964,b>c>a>d,2.0,0.0,1.0,3.0
-1.312829,1.001024,0.823207,0.024403,b>a>c>d,1.0,0.0,2.0,3.0
-1.312829,1.001024,0.9821190000000001,-0.49906300000000003,a>b>c>d,0.0,1.0,2.0,3.0
-1.312829,1.0057049999999998,1.856137,-0.153906,d>b>c>a,3.0,1.0,2.0,0.0
-1.312829,1.0057049999999998,0.823207,-0.405096,b>c>a>d,2.0,0.0,1.0,3.0
-1.312829,1.0057049999999998,1.697224,-0.352383,b>c>a>d,2.0,0.0,1.0,3.0
-1.312829,1.001024,1.141031,-0.094317,b>c>a>d,2.0,0.0,1.0,3.0
-1.317821,1.0057049999999998,1.220487,-0.415638,b>c>a>d,2.0,0.0,1.0,3.0
-1.3078379999999998,1.0057049999999998,1.856137,-0.737877,d>b>a>c,2.0,1.0,3.0,0.0
-1.3078379999999998,1.001024,1.856137,-0.213495,c>a>d>b,1.0,3.0,0.0,2.0
-1.3078379999999998,1.001024,1.856137,-0.14061300000000002,d>c>a>b,2.0,3.0,1.0,0.0
-1.3078379999999998,1.0057049999999998,1.856137,-0.065898,d>b>a>c,2.0,1.0,3.0,0.0
-1.3078379999999998,1.0057049999999998,1.856137,-0.20065999999999998,a>c>d>b,0.0,3.0,1.0,2.0
-1.3028469999999999,1.0057049999999998,0.34647,-1.143081,d>b>c>a,3.0,1.0,2.0,0.0
-1.3078379999999998,1.0057049999999998,1.617768,-0.665912,d>c>a>b,2.0,3.0,1.0,0.0
-1.3078379999999998,1.0057049999999998,1.856137,-0.717708,d>b>c>a,3.0,1.0,2.0,0.0
-1.312829,1.0057049999999998,1.299943,-0.39867800000000003,d>c>a>b,2.0,3.0,1.0,0.0
-1.3028469999999999,1.0103870000000001,0.823207,-0.9253520000000001,d>c>b>a,3.0,2.0,1.0,0.0
-1.3028469999999999,1.0103870000000001,0.9821190000000001,-0.5614020000000001,d>b>a>c,2.0,1.0,3.0,0.0
-1.3028469999999999,1.0103870000000001,1.3794,-0.241456,d>a>b>c,1.0,2.0,3.0,0.0
-1.3078379999999998,1.0103870000000001,1.458856,-0.644826,d>c>a>b,2.0,3.0,1.0,0.0
-1.3078379999999998,1.0103870000000001,1.697224,-0.77088,d>a>b>c,1.0,2.0,3.0,0.0
-1.3028469999999999,1.019751,0.6642939999999999,-0.455059,d>c>a>b,2.0,3.0,1.0,0.0
-1.3028469999999999,1.015069,0.425926,-0.587071,d>c>a>b,2.0,3.0,1.0,0.0
-1.3028469999999999,1.015069,-0.448092,-0.14611300000000002,d>b>c>a,3.0,1.0,2.0,0.0
-1.2778909999999999,1.001024,-0.368636,-0.081024,d>b>c>a,3.0,1.0,2.0,0.0
