A1,A2,A3,A4,A5,A6,A7,A8,A9,ranking,a,b,c,d,e,f,g,h,i
0.431551,-2.2484919999999997,-1.2559690000000001,-0.38397800000000004,-0.679725,-0.051276999999999996,0.621636,0.321687,-0.174868,g>e>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,1.0,2.0,0.0,3.0,4.0
0.226215,-1.54094,0.612246,0.392781,-1.6254,-0.29502,-0.324567,0.40113499999999996,-0.06954,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.11241,-1.54094,0.644456,1.083234,-1.310175,-0.29502,-1.17615,-0.313895,-0.280196,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-1.2831860000000002,-2.2878,0.12908699999999998,0.565394,-0.889875,-0.29502,-0.608428,-0.075552,-0.174868,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
0.251431,-2.838119,0.451193,-1.419657,-0.57465,-0.051276999999999996,1.662459,0.321687,-0.280196,i>d>c>b>g>f>h>a>e,7.0,3.0,2.0,1.0,8.0,5.0,4.0,6.0,0.0
1.396991,-2.3664169999999998,0.064666,-0.815511,-0.36449899999999996,-0.051276999999999996,0.8108770000000001,-0.393342,-0.06954,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
1.847289,-1.108547,-0.579546,-0.125058,-0.7848,-0.29502,0.148534,-0.313895,-0.06954,g>e>f>h>c>b>a>i>d,6.0,5.0,4.0,8.0,1.0,2.0,0.0,3.0,7.0
2.0454209999999997,-0.47961099999999995,-0.22523,-0.211365,-0.99495,-0.29502,0.432395,0.798373,-0.280196,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
-0.42941999999999997,0.9748020000000001,0.225719,1.16954,0.055800999999999996,-0.051276999999999996,-1.365391,-0.711133,-0.174868,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.9481639999999999,0.581717,-0.386283,0.13386099999999998,-0.049274,-0.051276999999999996,-0.324567,-0.552238,0.246444,g>e>f>h>c>b>a>i>d,6.0,5.0,4.0,8.0,1.0,2.0,0.0,3.0,7.0
-0.42581800000000003,-0.086526,-0.611757,-0.297672,-0.99495,-0.29502,0.432395,0.003896,-0.06954,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
0.759368,-0.047218,0.161297,-0.815511,-1.310175,-0.29502,1.000117,0.639478,-0.174868,i>d>c>b>a>e>g>f>h,4.0,3.0,2.0,1.0,5.0,7.0,6.0,8.0,0.0
0.377515,0.7782600000000001,0.83772,0.30647399999999997,-0.049274,-0.051276999999999996,-0.419188,0.16279100000000002,-0.06954,i>d>c>b>g>f>h>a>e,7.0,3.0,2.0,1.0,8.0,5.0,4.0,6.0,0.0
-0.06918099999999999,0.856877,0.451193,0.479088,0.371026,-0.051276999999999996,-0.608428,-0.552238,-0.174868,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.051169,0.7782600000000001,0.12908699999999998,-0.297672,0.581176,0.192466,0.8108770000000001,-0.47279,-0.912163,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.418613,0.699643,-0.515125,0.651701,0.371026,-0.051276999999999996,-0.797669,-0.711133,-0.385523,e>g>f>h>a>i>d>c>b,4.0,8.0,7.0,6.0,0.0,2.0,1.0,3.0,5.0
-0.65637,0.621026,-0.515125,-0.815511,0.160876,-0.051276999999999996,-0.135327,0.48058199999999995,2.4583310000000003,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
0.409937,0.385175,0.547825,-0.729205,0.160876,-0.051276999999999996,0.716256,0.639478,-0.06954,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
0.568442,0.581717,0.83772,-0.211365,0.476101,0.192466,-0.040706,0.48058199999999995,0.5624279999999999,d>i>c>b>a>g>f>h>e,4.0,3.0,2.0,0.0,8.0,6.0,5.0,7.0,1.0
-0.800466,0.542409,-0.354072,0.651701,1.001476,0.192466,-0.986909,-0.631686,0.035788,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-1.121078,0.22794099999999998,-0.676178,0.30647399999999997,0.686251,0.192466,-0.22994699999999998,-0.47279,-0.385523,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-1.13909,-0.086526,-0.9338629999999999,-0.211365,0.371026,-0.051276999999999996,0.432395,-0.313895,-0.280196,g>e>a>c>b>f>h>i>d,2.0,4.0,3.0,8.0,1.0,5.0,0.0,6.0,7.0
0.762971,-0.322377,0.29014,-1.5059639999999999,-0.259424,-0.051276999999999996,1.662459,0.957269,-0.174868,d>i>b>c>a>e>g>f>h,4.0,2.0,3.0,0.0,5.0,7.0,6.0,8.0,1.0
1.42581,0.110016,0.902141,-0.642898,0.26595100000000005,-0.051276999999999996,0.621636,0.718925,0.5624279999999999,d>i>b>c>a>e>g>f>h,4.0,2.0,3.0,0.0,5.0,7.0,6.0,8.0,1.0
1.188052,0.621026,1.127615,0.392781,0.791326,0.192466,-0.8922889999999999,0.24223899999999998,1.089068,d>i>c>b>f>h>a>e>g,6.0,3.0,2.0,0.0,7.0,4.0,8.0,5.0,1.0
-1.1535,0.621026,-0.643967,0.9106200000000001,1.211626,0.192466,-1.2707700000000002,-0.711133,0.035788,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-1.495727,-0.24376,-1.127126,-0.038751999999999995,0.26595100000000005,-0.051276999999999996,0.148534,-0.075552,-0.174868,e>i>d>c>b>a>g>f>h,5.0,4.0,3.0,2.0,0.0,7.0,6.0,8.0,1.0
0.543225,-1.02993,0.773299,-0.729205,-0.57465,-0.051276999999999996,0.8108770000000001,0.718925,-0.06954,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
-0.364577,-0.8333870000000001,1.063194,0.13386099999999998,-0.889875,-0.29502,-0.135327,0.48058199999999995,-0.06954,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
-0.15203599999999998,-0.9906209999999999,1.288668,-0.38397800000000004,0.055800999999999996,-0.051276999999999996,0.432395,0.24223899999999998,0.14111600000000002,d>i>c>b>a>g>f>h>e,4.0,3.0,2.0,0.0,8.0,6.0,5.0,7.0,1.0
-0.216879,-1.02993,0.966562,0.13386099999999998,0.581176,0.192466,-0.703048,-0.7905810000000001,0.4571,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.2493,-1.1478549999999998,0.547825,-0.125058,0.896401,0.192466,0.148534,-0.47279,-0.49085100000000004,i>d>c>b>a>e>g>f>h,4.0,3.0,2.0,1.0,5.0,7.0,6.0,8.0,0.0
-0.25650500000000004,-1.305089,-0.708388,-0.125058,0.896401,0.192466,-0.040706,-0.870029,0.035788,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.054772,-1.3837059999999999,-1.191547,-0.38397800000000004,0.371026,-0.051276999999999996,0.621636,-0.631686,-0.701507,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
1.101595,-0.165143,0.9987729999999999,-0.125058,-0.259424,-0.051276999999999996,0.148534,0.321687,-0.06954,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
0.568442,0.26725,0.612246,0.479088,0.581176,0.192466,-0.797669,-0.47279,-0.06954,i>d>c>b>a>e>g>f>h,4.0,3.0,2.0,1.0,5.0,7.0,6.0,8.0,0.0
-0.613142,0.26725,-1.030494,0.738007,0.371026,-0.051276999999999996,-0.986909,-1.18782,0.035788,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.890526,0.110016,-1.3526,-0.901818,-0.049274,-0.051276999999999996,-0.135327,-0.552238,2.142347,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.274517,-0.125835,-1.191547,-0.901818,-0.889875,-0.29502,1.094737,0.56003,-0.385523,g>c>b>a>i>d>e>f>h,3.0,2.0,1.0,5.0,6.0,7.0,0.0,8.0,4.0
1.2312809999999998,0.070707,-0.25744,-1.59227,-1.520325,-0.29502,1.8517,1.036716,0.246444,d>i>b>c>a>e>g>f>h,4.0,2.0,3.0,0.0,5.0,7.0,6.0,8.0,1.0
1.876108,0.385175,0.225719,-0.125058,-1.520325,-0.29502,0.527016,0.957269,-1.965442,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
2.023806,1.014111,0.741088,-0.125058,-1.310175,-0.29502,-0.040706,0.798373,0.5624279999999999,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
0.719742,2.468524,0.805509,0.651701,0.686251,0.192466,-0.986909,-0.552238,-0.06954,i>d>c>b>g>f>h>a>e,7.0,3.0,2.0,1.0,8.0,5.0,4.0,6.0,0.0
0.092926,2.547141,0.12908699999999998,0.738007,0.896401,0.192466,-1.0815299999999999,-1.108372,0.14111600000000002,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.904935,2.075439,-1.610285,0.30647399999999997,-0.679725,-0.051276999999999996,-0.419188,-0.47279,0.035788,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
1.03315,1.918205,1.610774,-0.38397800000000004,-0.679725,-0.051276999999999996,0.527016,0.24223899999999998,-0.174868,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
-0.9481639999999999,1.053419,0.7088770000000001,0.30647399999999997,-0.36449899999999996,-0.051276999999999996,-0.324567,-0.552238,-0.385523,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
1.706796,1.446504,0.83772,-0.297672,-0.57465,-0.051276999999999996,0.432395,0.16279100000000002,-0.06954,i>d>c>b>a>e>g>f>h,4.0,3.0,2.0,1.0,5.0,7.0,6.0,8.0,0.0
-1.881182,0.935494,-0.869441,0.13386099999999998,-0.57465,-0.051276999999999996,-0.135327,0.56003,-0.06954,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
-0.216879,-0.8726959999999999,1.192036,-0.38397800000000004,0.791326,0.192466,0.337775,-0.313895,-0.174868,i>d>c>b>a>g>f>h>e,4.0,3.0,2.0,1.0,8.0,6.0,5.0,7.0,0.0
-0.494263,-1.069238,0.386772,0.13386099999999998,1.526851,0.436209,-0.419188,-0.711133,0.14111600000000002,i>d>c>b>g>f>h>a>e,7.0,3.0,2.0,1.0,8.0,5.0,4.0,6.0,0.0
-0.6671779999999999,-1.187163,-0.128598,0.479088,1.631926,0.436209,-0.703048,-1.585058,-0.596179,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.825683,-1.3837059999999999,-0.966073,-0.038751999999999995,1.3167010000000001,0.192466,0.148534,-1.3467149999999999,-0.49085100000000004,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.685189,-1.698173,-1.32039,-0.47028500000000006,0.476101,-0.051276999999999996,0.337775,0.16279100000000002,0.351772,i>d>c>b>a>e>g>f>h,4.0,3.0,2.0,1.0,5.0,7.0,6.0,8.0,0.0
1.386184,-1.501631,0.064666,-0.988124,-0.99495,-0.29502,1.189358,0.877821,0.035788,d>i>b>c>a>e>g>f>h,4.0,2.0,3.0,0.0,5.0,7.0,6.0,8.0,1.0
1.9445540000000001,-0.8333870000000001,0.676667,-0.38397800000000004,-0.7848,-0.29502,0.621636,0.718925,-0.280196,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
1.422208,0.7782600000000001,0.000245,0.30647399999999997,0.160876,-0.051276999999999996,-0.513808,-0.631686,-0.06954,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
0.662104,1.171344,-0.5473359999999999,0.824314,-0.049274,-0.051276999999999996,-1.0815299999999999,-0.552238,-0.280196,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
0.06410700000000001,1.328578,-0.740599,0.30647399999999997,-0.889875,-0.29502,-0.419188,0.003896,-0.06954,g>e>c>b>a>i>d>f>h,4.0,3.0,2.0,6.0,1.0,7.0,0.0,8.0,5.0
0.424346,1.407195,0.161297,-0.38397800000000004,-1.100025,-0.29502,0.527016,0.877821,-0.06954,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
-1.07785,1.014111,-0.611757,0.13386099999999998,0.055800999999999996,-0.051276999999999996,-0.22994699999999998,0.40113499999999996,-0.280196,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
0.345094,0.070707,0.741088,-0.38397800000000004,0.581176,0.192466,0.432395,0.16279100000000002,-0.06954,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
-0.32495100000000005,0.149324,-0.515125,0.30647399999999997,0.791326,0.192466,-0.513808,-0.711133,0.035788,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
1.328546,0.856877,1.095405,-0.297672,-0.259424,-0.051276999999999996,0.337775,0.24223899999999998,-0.06954,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
1.19886,1.328578,0.902141,0.392781,0.581176,0.192466,-0.608428,-0.7905810000000001,-0.385523,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.015144999999999999,1.8002799999999999,-1.449232,0.479088,0.055800999999999996,-0.051276999999999996,-0.703048,-1.028924,0.035788,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
1.195257,2.389907,1.353089,-0.38397800000000004,-0.7848,-0.29502,0.527016,0.798373,-0.06954,d>i>c>b>a>e>f>h>g,4.0,3.0,2.0,0.0,5.0,6.0,8.0,7.0,1.0
1.281714,2.6257580000000003,1.514142,0.479088,-0.36449899999999996,-0.051276999999999996,-0.324567,0.40113499999999996,-1.544131,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
1.022343,2.8616080000000004,1.578563,0.9106200000000001,0.371026,-0.051276999999999996,-1.0815299999999999,-0.393342,-0.912163,i>d>e>f>h>c>b>a>g,7.0,6.0,5.0,1.0,2.0,3.0,8.0,4.0,0.0
0.265841,3.018842,0.805509,0.9106200000000001,1.001476,0.192466,-1.365391,-1.267267,0.035788,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-1.7550990000000002,2.389907,-0.837231,0.824314,0.791326,0.192466,-1.17615,-0.711133,0.035788,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-1.034621,-0.204452,0.41898199999999997,-0.38397800000000004,-0.679725,-0.29502,0.527016,0.718925,0.035788,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
-0.9301520000000001,-0.322377,0.5800350000000001,-1.074431,-0.679725,-0.051276999999999996,0.527016,0.718925,0.5624279999999999,d>i>b>c>a>e>g>f>h,4.0,2.0,3.0,0.0,5.0,7.0,6.0,8.0,1.0
-0.58072,-0.636845,0.32235,-0.125058,-0.15434900000000001,-0.051276999999999996,0.148534,-0.47279,-0.280196,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
1.461834,-0.165143,-0.28965100000000005,-0.729205,-0.36449899999999996,-0.051276999999999996,0.8108770000000001,-0.075552,-0.06954,i>d>c>b>a>e>g>f>h,4.0,3.0,2.0,1.0,5.0,7.0,6.0,8.0,0.0
1.764434,0.738951,-0.386283,-0.125058,-0.679725,-0.051276999999999996,0.148534,-0.075552,0.14111600000000002,i>d>c>b>a>e>g>f>h,4.0,3.0,2.0,1.0,5.0,7.0,6.0,8.0,0.0
0.737754,2.8616080000000004,0.225719,0.392781,0.055800999999999996,-0.051276999999999996,-0.608428,-0.631686,0.035788,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-1.326415,2.586449,-0.515125,0.824314,-0.469574,-0.051276999999999996,-1.0815299999999999,-0.154999,0.035788,i>d>c>b>a>e>g>f>h,4.0,3.0,2.0,1.0,5.0,7.0,6.0,8.0,0.0
-1.275981,1.525121,-0.031966,-0.38397800000000004,-0.99495,-0.29502,0.432395,0.798373,0.14111600000000002,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
-0.288927,1.053419,0.9343520000000001,-0.988124,-0.57465,-0.051276999999999996,1.094737,0.877821,0.14111600000000002,d>i>b>c>a>e>g>f>h,4.0,2.0,3.0,0.0,5.0,7.0,6.0,8.0,1.0
1.324943,2.075439,1.481932,-0.211365,-0.36449899999999996,-0.051276999999999996,0.243155,0.24223899999999998,0.035788,d>i>c>b>a>f>h>e>g,4.0,3.0,2.0,0.0,7.0,5.0,8.0,6.0,1.0
1.1088,2.507832,1.159826,0.30647399999999997,0.476101,-0.051276999999999996,-0.513808,-0.552238,0.351772,i>d>c>b>a>e>g>f>h,4.0,3.0,2.0,1.0,5.0,7.0,6.0,8.0,0.0
-0.32495100000000005,2.7436830000000003,-0.22523,0.996927,1.001476,0.192466,-1.365391,-1.108372,0.14111600000000002,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.9157420000000001,2.586449,-0.643967,0.824314,0.791326,0.192466,-1.2707700000000002,-0.47279,0.246444,e>i>d>c>b>a>g>f>h,5.0,4.0,3.0,2.0,0.0,7.0,6.0,8.0,1.0
-0.213277,1.2892700000000001,1.063194,-0.38397800000000004,0.791326,0.192466,0.432395,0.48058199999999995,-0.06954,d>i>b>c>a>e>g>f>h,4.0,2.0,3.0,0.0,5.0,7.0,6.0,8.0,1.0
-0.48345600000000005,1.171344,0.547825,0.392781,1.421776,0.192466,-0.608428,-0.949476,-0.06954,e>a>g>f>h>i>d>c>b,1.0,8.0,7.0,6.0,0.0,3.0,2.0,4.0,5.0
1.382581,2.7436830000000003,0.805509,-0.38397800000000004,-0.99495,-0.29502,0.527016,1.116164,-0.06954,d>i>b>c>a>e>g>f>h,4.0,2.0,3.0,0.0,5.0,7.0,6.0,8.0,1.0
1.2889190000000001,3.4905440000000003,1.771827,0.13386099999999998,0.476101,-0.051276999999999996,-0.324567,0.40113499999999996,-0.06954,d>i>c>b>a>f>h>e>g,4.0,3.0,2.0,0.0,7.0,5.0,8.0,6.0,1.0
-1.596594,3.372618,-0.708388,0.9106200000000001,1.421776,0.192466,-1.365391,-0.870029,0.035788,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-1.870375,2.232673,-0.77281,-0.297672,0.476101,0.192466,0.337775,0.56003,-0.174868,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
-0.15924100000000002,1.132036,0.741088,-0.901818,0.371026,-0.051276999999999996,1.000117,0.718925,-0.06954,d>i>b>c>a>e>g>f>h,4.0,2.0,3.0,0.0,5.0,7.0,6.0,8.0,1.0
0.9538969999999999,2.389907,0.966562,-0.125058,-0.57465,-0.051276999999999996,0.243155,0.321687,-0.06954,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
-0.015144999999999999,2.8616080000000004,0.064666,0.479088,0.581176,0.192466,-0.797669,-0.711133,-0.06954,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.721213,2.665066,-0.837231,0.565394,0.26595100000000005,-0.051276999999999996,-0.797669,-0.7905810000000001,-0.06954,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.130422,0.856877,-0.128598,-0.125058,-0.7848,-0.29502,0.243155,0.56003,0.035788,e>d>i>c>b>a>g>f>h,5.0,4.0,3.0,1.0,0.0,7.0,6.0,8.0,2.0
0.6801159999999999,0.935494,0.7088770000000001,-0.729205,-0.57465,-0.051276999999999996,0.9054969999999999,0.639478,-0.174868,d>i>c>b>a>f>h>g>e,4.0,3.0,2.0,0.0,8.0,5.0,7.0,6.0,1.0
0.9791139999999999,3.922937,0.41898199999999997,0.047555,1.106551,0.192466,-0.324567,-1.108372,0.14111600000000002,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.38979400000000003,4.198096,-1.127126,0.565394,0.371026,-0.051276999999999996,-0.797669,-0.552238,0.035788,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
0.089324,3.5298519999999995,1.3853,-0.125058,-0.36449899999999996,-0.051276999999999996,0.243155,0.48058199999999995,-0.174868,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
-1.171512,3.294001,0.9987729999999999,0.996927,1.211626,0.192466,-1.365391,-0.711133,-0.06954,i>d>c>b>a>e>g>f>h,4.0,3.0,2.0,1.0,5.0,7.0,6.0,8.0,0.0
-1.809135,1.8002799999999999,-0.708388,0.047555,1.526851,0.192466,-0.324567,-1.108372,0.14111600000000002,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-1.481317,0.856877,-1.4170209999999999,-0.47028500000000006,0.371026,-0.051276999999999996,0.527016,-0.313895,-0.06954,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
0.662104,0.306558,-0.386283,-1.1607370000000001,-1.310175,-0.29502,1.378598,0.798373,-0.06954,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
1.296124,0.699643,0.12908699999999998,-0.729205,-1.41525,-0.29502,0.8108770000000001,0.718925,0.351772,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
1.57711,1.249961,0.7088770000000001,-0.125058,-1.2051,-0.29502,0.337775,0.798373,-0.06954,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
-0.829285,-0.283069,-2.061233,-0.211365,-0.679725,-0.051276999999999996,0.243155,-0.47279,0.14111600000000002,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.768044,-0.400994,-2.061233,-0.642898,-1.310175,-0.051276999999999996,0.243155,0.957269,0.351772,g>e>a>c>b>f>h>i>d,2.0,4.0,3.0,8.0,1.0,5.0,0.0,6.0,7.0
-0.061975999999999996,-0.676153,-0.031966,-0.38397800000000004,-2.360925,-0.29502,0.621636,1.59285,-0.174868,d>i>c>b>a>e>g>f>h,4.0,3.0,2.0,0.0,5.0,7.0,6.0,8.0,1.0
0.319877,-0.361686,1.2242469999999999,0.047555,-0.57465,0.192466,-0.135327,0.003896,-0.174868,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
0.485587,-0.204452,0.86993,-0.297672,0.581176,0.436209,0.243155,-0.393342,-0.06954,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
