A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,ranking,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
-0.586088,-0.489433,0.380371,-0.517085,-0.527784,-1.488452,-0.84496,-0.802476,-0.976601,-0.295698,-1.284516,-0.647722,-0.370898,-0.6202989999999999,-0.702078,0.9943860000000001,d>c>b>a>g>e>n>i>p>h>f>k>l>o>j>m,3.0,2.0,1.0,0.0,5.0,10.0,4.0,9.0,7.0,14.0,11.0,12.0,15.0,6.0,13.0,8.0
0.508947,-0.9024639999999999,1.208458,-0.8423200000000001,-0.878617,0.8825209999999999,0.335631,0.107001,-0.387714,1.351781,1.1013110000000002,-0.755185,-0.456178,-0.631279,-0.7860020000000001,-0.397859,o>k>p>l>n>g>j>e>a>b>m>d>h>c>i>f,8.0,9.0,13.0,11.0,7.0,15.0,5.0,12.0,14.0,6.0,1.0,3.0,10.0,4.0,0.0,2.0
-0.586088,-0.858323,-0.5007689999999999,-0.935177,-0.805845,-0.325573,-1.406388,-1.160939,-1.007517,-1.2386629999999998,-0.483295,-0.42376,-0.063889,-0.486708,-0.518404,-0.360728,g>j>n>m>o>i>f>h>d>c>l>p>e>b>k>a,15.0,13.0,9.0,8.0,12.0,6.0,0.0,7.0,5.0,1.0,14.0,10.0,3.0,2.0,4.0,11.0
-0.40358299999999997,-0.40115100000000004,-0.37390300000000004,-0.311772,-0.482196,1.128423,1.185737,0.22399899999999998,0.470883,0.8495879999999999,1.484086,-0.112344,-0.380374,-0.18521300000000002,-0.335563,0.076816,j>o>n>m>k>l>g>e>p>f>h>i>a>d>c>b,12.0,15.0,14.0,13.0,7.0,9.0,6.0,10.0,11.0,0.0,4.0,5.0,3.0,2.0,1.0,8.0
-0.586088,-0.650231,-1.854772,-0.57308,-0.7494970000000001,0.358987,1.410706,0.724409,0.31659499999999996,2.139391,1.0395729999999999,-0.533159,-1.0690600000000001,-0.40024,-0.528608,-0.002464,n>d>k>m>c>a>b>l>o>e>j>h>f>i>p>g,5.0,6.0,4.0,1.0,9.0,12.0,15.0,11.0,13.0,10.0,2.0,7.0,3.0,0.0,8.0,14.0
-0.40358299999999997,1.184763,0.170466,1.046093,1.231475,-0.673802,-0.805142,-0.6570050000000001,-0.014359,-0.577504,-1.366833,0.282978,-0.278037,0.020206000000000002,0.49346999999999996,-0.691896,i>f>h>g>p>m>j>n>k>l>o>c>d>e>a>b,14.0,15.0,11.0,12.0,13.0,1.0,3.0,2.0,0.0,6.0,8.0,9.0,5.0,7.0,10.0,4.0
-0.586088,-0.2372,-0.21243800000000002,-0.22311399999999998,-0.182615,0.739739,0.06089,-0.053694000000000006,0.144051,0.23901,0.076462,0.654419,-0.7050069999999999,0.547249,0.672771,-0.250338,j>i>f>h>m>n>o>g>l>p>k>d>e>b>c>a,15.0,13.0,14.0,11.0,12.0,2.0,7.0,3.0,1.0,0.0,10.0,8.0,4.0,5.0,6.0,9.0
-0.40358299999999997,-0.082707,-1.361149,0.056858000000000006,-0.159679,1.25534,1.6914200000000001,0.9386690000000001,1.569157,4.014482,1.562287,1.426345,-0.5642,1.380362,0.856029,0.412333,e>m>c>n>p>o>j>h>a>f>d>k>i>b>l>g,8.0,13.0,2.0,10.0,0.0,9.0,15.0,7.0,12.0,6.0,11.0,14.0,1.0,3.0,5.0,4.0
-0.586088,-0.8898520000000001,-0.17783800000000002,-0.810589,-0.918259,0.208273,0.879141,-0.194654,0.030101999999999997,1.1675229999999999,0.891402,-1.127917,-0.550555,-0.9830979999999999,-1.025487,-0.784222,m>k>o>n>l>g>j>a>e>p>c>h>d>b>f>i,7.0,13.0,10.0,12.0,8.0,14.0,5.0,11.0,15.0,6.0,1.0,4.0,0.0,3.0,2.0,9.0
1.786488,0.380771,-0.47308900000000004,0.341496,0.353686,-0.664283,-0.717544,-0.10303,-0.27965300000000004,-0.8376319999999999,-0.789241,0.803189,1.0902379999999998,0.6282270000000001,0.484099,1.322544,c>b>p>d>e>f>i>h>a>j>g>l>m>o>k>n,8.0,1.0,0.0,3.0,4.0,5.0,10.0,7.0,6.0,9.0,14.0,11.0,12.0,15.0,13.0,2.0
-0.586088,-0.6628430000000001,0.6848489999999999,-0.577746,-0.6702130000000001,0.430378,0.538701,0.169024,0.020679,-0.01028,0.364572,-0.532514,-0.49597600000000003,-0.348084,-0.557971,-0.522967,k>l>n>g>j>m>o>h>a>f>i>b>d>p>e>c,8.0,11.0,15.0,12.0,14.0,9.0,3.0,7.0,10.0,4.0,0.0,1.0,5.0,2.0,6.0,13.0
-0.586088,0.052868,-1.672547,0.010196,-0.039619999999999995,-0.341438,-0.536374,-0.811357,-0.21428699999999998,-0.685891,-0.171862,-0.01198,-0.855101,0.181247,-0.191456,-0.391169,p>a>e>d>h>f>c>i>b>k>o>n>m>j>l>g,1.0,8.0,6.0,3.0,2.0,5.0,15.0,4.0,7.0,13.0,9.0,14.0,12.0,11.0,10.0,0.0
-0.221077,-1.75375,-0.83062,-1.719566,-1.496467,0.644551,0.178352,-0.486443,-1.030189,1.344555,2.091861,-0.39213400000000004,-0.46186400000000005,-0.358607,-0.610033,-0.416592,o>n>l>k>j>e>d>a>p>b>g>m>h>c>i>f,7.0,9.0,13.0,6.0,5.0,15.0,10.0,12.0,14.0,4.0,3.0,2.0,11.0,1.0,0.0,8.0
-0.40358299999999997,-0.12054200000000001,0.387291,-0.092461,-0.197622,1.342596,0.138534,1.203675,0.986159,1.153071,0.147803,-0.010043999999999999,0.23554,-0.118875,-0.052346000000000004,0.492281,j>l>b>n>g>m>d>f>a>k>e>i>h>o>c>p,8.0,2.0,14.0,6.0,10.0,7.0,4.0,12.0,11.0,0.0,9.0,1.0,5.0,3.0,13.0,15.0
-0.586088,0.588863,0.9616469999999999,0.612136,0.546233,-0.6952189999999999,0.5825,0.132374,-0.320286,-0.274021,-0.018203,-0.15558699999999998,-1.265015,-0.334359,-0.044225,-0.595891,k>o>l>f>h>i>n>p>j>g>a>m>e>b>d>c,10.0,13.0,15.0,14.0,12.0,3.0,9.0,4.0,5.0,8.0,0.0,2.0,11.0,6.0,1.0,7.0
-0.586088,-0.40115100000000004,-1.019765,-0.3631,-0.45841099999999996,0.09722,0.26396,-0.294736,-0.27347,0.24984800000000001,0.330273,-0.871361,-1.1143530000000001,-0.949701,-0.7343569999999999,-0.8735370000000001,o>n>k>l>m>j>e>a>f>p>i>h>d>g>b>c,7.0,14.0,15.0,12.0,6.0,8.0,13.0,11.0,10.0,5.0,2.0,3.0,4.0,1.0,0.0,9.0
1.786488,-0.993898,-0.134012,-0.986972,-0.9516709999999999,-0.360475,-0.653836,-0.344072,-0.907701,-0.158409,-0.204789,-1.026262,-0.48271000000000003,-0.7328439999999999,-0.945103,-0.307206,n>o>l>k>b>p>j>g>e>d>a>c>m>h>i>f,10.0,4.0,11.0,9.0,8.0,15.0,7.0,13.0,14.0,6.0,3.0,2.0,12.0,0.0,1.0,5.0
1.2389700000000001,-0.760583,0.668702,-0.897848,-0.765354,-0.706325,-1.818301,-1.865319,-1.702404,-1.314534,-1.056772,1.9685,1.7326830000000002,1.746822,0.743576,0.028980000000000002,c>p>g>b>a>e>i>d>f>h>o>k>n>j>l>m,4.0,3.0,0.0,7.0,5.0,8.0,2.0,9.0,6.0,13.0,11.0,14.0,15.0,12.0,10.0,1.0
-0.586088,-1.236673,-0.34160999999999997,-1.231015,-1.160642,-0.09315599999999999,-0.341267,-0.704932,-0.9545170000000001,-0.754536,0.19856500000000002,-1.261842,-1.2930620000000002,-1.241588,-1.078173,-0.478142,m>j>o>l>k>p>e>c>b>a>n>g>d>i>h>f,9.0,8.0,7.0,12.0,6.0,15.0,11.0,14.0,13.0,1.0,4.0,3.0,0.0,10.0,2.0,5.0
-0.586088,-1.249284,-0.166305,-1.3346040000000001,-1.149882,-1.678035,-1.6391220000000002,-1.7649549999999998,-1.9579810000000002,-0.523311,-0.9429,-1.17955,-0.84752,-1.229235,-1.036316,-1.176272,g>n>p>d>o>k>i>a>f>b>l>h>e>m>c>j,7.0,9.0,14.0,3.0,12.0,8.0,0.0,11.0,6.0,15.0,5.0,10.0,13.0,1.0,4.0,2.0
-0.586088,-2.034359,-0.219358,-2.000938,-1.6932619999999998,1.580565,-0.41493,-0.7317140000000001,-0.8867950000000001,-0.12228,0.8173159999999999,-1.185682,0.29239299999999996,-1.114859,-1.110452,0.424041,j>g>o>p>l>n>e>k>b>d>a>m>c>i>h>f,10.0,8.0,12.0,9.0,6.0,15.0,1.0,14.0,13.0,0.0,7.0,4.0,11.0,5.0,2.0,3.0
-0.586088,0.525805,0.578743,0.6308010000000001,0.382002,-0.9490540000000001,1.520205,0.7666970000000001,0.376956,1.377071,0.094297,1.216905,0.7434310000000001,2.091322,0.720668,-0.083082,a>d>b>k>c>n>e>l>m>h>f>o>g>i>p>j,0.0,2.0,4.0,1.0,6.0,10.0,12.0,9.0,13.0,15.0,3.0,7.0,8.0,5.0,11.0,14.0
-0.40358299999999997,-1.299731,-0.46616899999999994,-1.28141,-1.200284,0.105152,0.019082,-0.815304,-0.7428130000000001,0.163139,0.696584,-0.753894,-0.8505520000000001,-0.8380700000000001,-0.811408,-0.576824,n>o>j>k>p>e>d>g>l>a>m>i>f>b>h>c,9.0,13.0,15.0,6.0,5.0,12.0,7.0,14.0,11.0,2.0,3.0,8.0,10.0,0.0,1.0,4.0
-0.40358299999999997,-1.3344129999999998,-0.11325199999999999,-1.370067,-1.239077,-0.446938,-0.75537,-1.0391489999999999,-1.009578,-0.660601,-0.133447,-1.323803,-1.253455,-1.338121,-1.162097,-1.1528559999999999,n>j>o>k>g>l>m>p>d>a>f>i>e>h>b>c,9.0,14.0,15.0,8.0,12.0,10.0,4.0,13.0,11.0,1.0,3.0,5.0,6.0,0.0,2.0,7.0
-0.586088,0.393383,-1.084351,0.416156,0.302718,0.565227,0.5168010000000001,0.5792189999999999,0.41493900000000006,-0.078925,-0.309057,0.080315,-1.156803,0.015631,0.026371,-0.168048,l>m>j>k>n>b>a>f>d>h>c>i>o>e>p>g,6.0,5.0,10.0,8.0,13.0,7.0,15.0,9.0,11.0,2.0,3.0,0.0,1.0,4.0,12.0,14.0
-0.40358299999999997,-1.3344129999999998,-0.8398459999999999,-1.3439370000000002,-1.230299,1.0332350000000001,-0.389049,-0.475166,-0.39478,0.7195239999999999,0.689725,-1.022713,-0.720168,-1.080547,-0.9588479999999999,-0.088434,j>o>n>m>l>k>e>d>g>a>c>b>p>i>f>h,9.0,11.0,10.0,7.0,6.0,14.0,8.0,15.0,13.0,0.0,5.0,4.0,3.0,2.0,1.0,12.0
-0.586088,-0.725901,-0.064812,-0.817589,-0.725712,-0.968885,-1.430079,-1.462877,-1.5743209999999999,-1.130277,-0.80982,-0.947198,-0.8334959999999999,-0.9890459999999999,-0.84098,-0.709625,g>p>j>m>o>i>f>n>h>l>k>d>c>a>b>e,13.0,14.0,12.0,11.0,15.0,6.0,0.0,8.0,5.0,2.0,10.0,9.0,3.0,7.0,4.0,1.0
1.786488,0.569946,-0.860606,0.500147,0.517918,0.20034000000000002,-0.317377,-0.338434,0.09222899999999999,-0.042796,-0.42978900000000003,0.398509,-0.15295899999999998,0.26451199999999997,0.670689,-0.11318800000000001,i>f>h>j>m>n>p>c>k>d>l>g>o>a>b>e,13.0,14.0,7.0,9.0,15.0,1.0,11.0,2.0,0.0,3.0,8.0,10.0,4.0,5.0,12.0,6.0
0.508947,-0.848864,-0.163998,-0.897381,-0.8839969999999999,0.866656,-0.122271,-0.380722,-0.164231,0.354622,0.663658,-0.585439,-0.23445,-0.697159,-0.628984,-1.049491,p>o>n>k>m>g>e>a>d>j>c>l>i>b>f>h,7.0,13.0,10.0,8.0,6.0,14.0,5.0,15.0,12.0,9.0,3.0,11.0,4.0,2.0,1.0,0.0
-0.586088,-0.993898,-0.034825999999999996,-0.856785,-0.91571,0.16861099999999998,1.157865,0.8061659999999999,-0.008176000000000001,0.07281699999999999,1.3962809999999999,0.321381,-0.010826,0.509734,-0.19812000000000002,0.873292,a>k>l>b>e>o>j>c>m>g>d>n>p>h>i>f,0.0,3.0,7.0,10.0,4.0,15.0,9.0,13.0,14.0,6.0,1.0,2.0,8.0,11.0,5.0,12.0
-0.40358299999999997,-1.488905,0.354998,-1.497455,-1.3311030000000001,0.747671,-0.327331,-0.6133069999999999,-0.532285,-0.086151,0.43316899999999997,-0.57608,-0.181386,-0.609318,-0.704577,0.329373,j>o>g>k>n>m>l>e>a>c>d>b>p>i>f>h,8.0,11.0,9.0,10.0,7.0,14.0,2.0,15.0,13.0,0.0,3.0,6.0,5.0,4.0,1.0,12.0
-0.586088,-0.826794,0.378065,-0.811056,-0.8517170000000001,1.144287,0.104689,-0.417372,0.10253499999999999,0.087268,0.5209739999999999,-0.794878,0.013811000000000002,-0.8275469999999999,-0.729984,-0.031232,j>g>n>o>k>d>m>e>a>c>l>i>b>p>f>h,8.0,12.0,9.0,5.0,7.0,14.0,1.0,15.0,11.0,0.0,4.0,10.0,6.0,2.0,3.0,13.0
0.14393499999999998,-0.06379,0.51185,-0.027134,-0.112392,0.343122,0.803488,0.18171099999999998,-0.216937,-0.006667,0.291858,-0.042961,-0.441017,-0.25338099999999997,-0.017153,-0.326608,k>o>a>l>e>p>j>g>f>i>h>m>n>b>d>c,2.0,13.0,15.0,14.0,4.0,8.0,7.0,10.0,9.0,6.0,0.0,3.0,11.0,12.0,1.0,5.0
-0.221077,-1.135779,-1.501855,-1.136291,-1.090136,-0.164547,-0.291496,-1.105401,-1.063461,-0.964084,0.40024299999999996,-1.04982,-1.2379149999999999,-1.0530959999999998,-0.97759,-0.695576,o>p>k>j>e>a>n>d>m>l>i>h>f>c>b>g,5.0,14.0,13.0,7.0,4.0,12.0,15.0,11.0,10.0,3.0,2.0,9.0,8.0,6.0,0.0,1.0
-0.586088,0.677145,-1.5710540000000002,0.6168020000000001,0.5292439999999999,0.40658099999999997,0.638245,1.11205,0.965548,2.482616,0.6554260000000001,1.9975439999999998,-1.563117,1.652119,2.05137,1.409517,d>c>b>n>e>m>l>f>a>h>j>i>o>p>k>g,8.0,2.0,1.0,0.0,4.0,7.0,15.0,9.0,11.0,10.0,14.0,6.0,5.0,3.0,12.0,13.0
-0.40358299999999997,0.5352640000000001,0.920127,0.668131,0.461286,1.485377,0.7258439999999999,0.5270640000000001,1.769379,-1.065245,1.3029879999999998,-0.274345,3.1009580000000003,0.705545,-0.06650700000000001,0.25042800000000004,e>a>d>c>g>m>p>o>h>f>i>j>k>b>l>n,1.0,13.0,3.0,2.0,0.0,9.0,4.0,8.0,10.0,11.0,12.0,14.0,5.0,15.0,7.0,6.0
-0.586088,-0.738513,-0.569968,-0.675736,-0.746099,0.089288,0.252015,0.192987,0.039524000000000004,-0.266795,0.013352000000000001,-0.410529,-0.586183,-0.252924,-0.48216899999999996,0.820774,m>c>j>l>b>k>a>e>o>n>h>d>i>f>p>g,6.0,4.0,1.0,11.0,7.0,13.0,15.0,10.0,12.0,2.0,5.0,3.0,0.0,9.0,8.0,14.0
-0.221077,1.0618,0.122027,1.055426,1.038928,0.041694,0.176361,0.104182,0.43260600000000005,-0.465504,-0.868814,0.493386,0.349247,0.382548,0.472646,0.018609999999999998,d>a>f>i>h>p>k>m>n>c>e>g>b>j>l>o,1.0,12.0,9.0,0.0,10.0,2.0,11.0,4.0,3.0,13.0,6.0,14.0,7.0,8.0,15.0,5.0
-0.40358299999999997,-0.940299,-0.583808,-0.9473090000000001,-0.9247719999999999,-0.41679499999999997,-0.568228,-0.8800049999999999,-0.8367399999999999,-0.180086,0.158779,-1.014968,1.094028,-0.861403,-0.904703,0.404304,e>o>g>j>a>c>b>k>m>d>l>n>i>h>f>p,4.0,6.0,5.0,9.0,0.0,14.0,2.0,13.0,12.0,3.0,7.0,10.0,8.0,11.0,1.0,15.0
-0.586088,-1.012816,0.8578479999999999,-0.862851,-0.95337,0.176543,0.815433,0.6341939999999999,-0.259925,-0.125893,0.481188,-0.453772,0.269652,0.502414,-0.554848,0.233368,a>k>b>l>e>g>o>j>c>m>h>p>d>n>i>f,0.0,2.0,8.0,12.0,4.0,15.0,5.0,10.0,14.0,7.0,1.0,3.0,9.0,13.0,6.0,11.0
-0.586088,-1.35333,-1.554908,-1.286542,-1.242758,2.936994,0.674081,0.715951,0.270956,-0.013893,1.9450619999999998,-0.6880609999999999,-0.663125,-0.8458479999999999,-0.742062,0.12230899999999999,o>j>e>l>b>m>k>n>a>c>d>p>i>f>h>g,8.0,4.0,9.0,10.0,2.0,13.0,15.0,14.0,12.0,1.0,6.0,3.0,5.0,7.0,0.0,11.0
0.14393499999999998,-0.7984180000000001,-1.29887,-0.753195,-0.811508,1.064964,0.443139,0.178891,0.071324,0.824298,0.677377,-0.57253,-0.6155579999999999,-0.5809529999999999,-0.6062850000000001,0.063101,j>o>m>k>n>l>e>a>c>h>g>d>f>b>i>p,7.0,13.0,8.0,11.0,6.0,12.0,10.0,9.0,14.0,0.0,3.0,5.0,2.0,4.0,1.0,15.0
-0.221077,-0.5115029999999999,0.14048,-0.42376099999999994,-0.528067,1.0094379999999998,0.6482,0.803347,0.23503400000000002,0.603912,1.4497870000000002,-0.16785,-0.382269,-0.302334,-0.24289299999999997,0.6364569999999999,j>l>o>e>b>k>m>a>p>n>g>f>i>c>h>d,7.0,4.0,13.0,15.0,3.0,11.0,10.0,14.0,12.0,0.0,5.0,1.0,6.0,9.0,2.0,8.0
-0.40358299999999997,0.172679,-0.528449,-0.027134,0.036549,-1.487659,-1.501552,-1.175317,-0.9082899999999999,0.723137,-1.7139369999999998,-0.172368,-0.11316199999999998,-0.412592,-0.338478,-0.927394,d>n>p>f>i>h>g>b>c>e>l>a>m>o>k>j,11.0,7.0,8.0,0.0,9.0,3.0,6.0,5.0,4.0,15.0,14.0,10.0,12.0,1.0,13.0,2.0
2.516511,0.39653499999999997,-1.19507,0.30883299999999997,0.30554899999999996,0.208273,-0.649854,-0.149547,-0.0046429999999999996,0.134236,-0.084057,0.35107,0.582346,0.291047,0.420167,0.43675200000000003,p>f>e>j>i>h>c>d>m>o>b>n>a>l>k>g,12.0,10.0,6.0,7.0,2.0,1.0,15.0,5.0,4.0,3.0,14.0,13.0,8.0,11.0,9.0,0.0
-0.586088,2.1590130000000003,-0.48462200000000005,2.399293,2.2423490000000004,3.325678,2.86803,3.8128550000000003,3.368207,2.623519,0.8269200000000001,2.920499,3.498933,2.538302,3.388319,5.530723,b>a>e>d>h>f>j>i>m>l>c>k>p>n>o>g,1.0,0.0,10.0,3.0,2.0,5.0,15.0,4.0,7.0,6.0,11.0,9.0,8.0,13.0,14.0,12.0
2.1515,0.503734,-0.78218,0.40215700000000004,0.478275,-1.634407,-1.241543,-0.896497,-0.8991620000000001,0.061978,-1.68787,0.27620100000000003,0.129413,0.437906,0.22774699999999998,-0.79225,p>f>h>i>b>d>a>c>n>l>e>g>k>o>m>j,6.0,4.0,7.0,5.0,10.0,1.0,11.0,2.0,3.0,15.0,12.0,9.0,14.0,8.0,13.0,0.0
1.421476,0.752814,0.650249,0.728791,0.631181,-0.101088,0.32368600000000003,1.384104,0.82716,0.986878,-0.221252,-0.350827,-0.14158900000000002,-0.683434,-0.145016,-0.58987,l>g>f>i>b>h>k>n>p>a>m>o>e>d>j>c,9.0,4.0,15.0,13.0,12.0,2.0,1.0,5.0,3.0,14.0,6.0,0.0,10.0,7.0,11.0,8.0
-0.586088,-0.391692,-0.175531,-0.40043,-0.45104799999999995,-0.156614,-0.283532,-0.733124,-0.903284,0.8351370000000001,-0.525826,-0.551231,-0.016511,-0.647291,-0.5542229999999999,-0.642054,n>g>j>k>f>h>i>d>a>o>l>e>p>b>m>c,8.0,13.0,15.0,7.0,11.0,4.0,1.0,5.0,6.0,2.0,3.0,10.0,14.0,0.0,9.0,12.0
1.0564639999999998,0.91046,-0.187065,0.84078,0.911507,-0.808652,-0.44081099999999995,-0.056513,-0.013182,1.543264,-0.8770459999999999,0.732192,-0.25340100000000004,0.549079,0.9414110000000001,-0.6229859999999999,n>i>f>d>h>m>c>b>l>k>a>p>g>e>o>j,10.0,7.0,6.0,3.0,13.0,2.0,12.0,4.0,1.0,15.0,9.0,8.0,5.0,0.0,14.0,11.0
-0.586088,-1.4605290000000002,0.038987,-1.5427170000000001,-1.310432,-0.969678,-1.692875,-1.539277,-1.7598200000000002,-1.242276,-0.287106,-1.185359,0.201428,-1.2818479999999999,-1.05006,0.23504099999999997,g>j>d>o>n>e>b>p>a>c>l>i>k>f>h>m,8.0,6.0,9.0,2.0,5.0,13.0,0.0,14.0,11.0,1.0,12.0,10.0,15.0,4.0,3.0,7.0
0.873959,-0.773195,-1.0912709999999999,-0.83672,-0.823967,1.104626,-0.24172399999999997,-0.033958999999999996,-0.016715,0.10172,-0.079941,2.233124,0.337876,1.903288,0.658194,1.071659,d>c>b>n>a>j>m>e>f>l>h>i>p>k>o>g,4.0,2.0,1.0,0.0,7.0,8.0,15.0,10.0,11.0,5.0,13.0,9.0,6.0,3.0,14.0,12.0
-0.40358299999999997,-0.407457,-0.9805520000000001,-0.451758,-0.44198699999999996,-0.441385,-0.576191,-0.8716879999999999,-0.806118,-0.24511799999999997,-0.036039,0.32557600000000003,0.11046199999999999,0.125431,0.07885,-0.00882,d>f>i>e>h>o>b>j>n>c>a>p>g>k>l>m,10.0,6.0,9.0,0.0,3.0,1.0,12.0,4.0,2.0,7.0,13.0,14.0,15.0,8.0,5.0,11.0
-0.586088,-1.766362,-1.3196290000000002,-1.670104,-1.5208190000000001,0.5017689999999999,0.544674,0.135194,-0.372697,2.706615,1.504665,-0.917509,0.288603,-0.9048649999999999,-0.94906,-0.458071,d>n>c>o>e>a>k>b>m>l>j>p>g>i>h>f,5.0,7.0,2.0,0.0,4.0,15.0,12.0,14.0,13.0,10.0,6.0,9.0,8.0,1.0,3.0,11.0
0.691453,0.08755,-0.360063,0.12218499999999999,-0.015269,0.692145,0.47499300000000005,0.411476,0.547439,0.1523,-0.148539,0.668941,0.23933000000000001,0.586137,0.491804,0.749522,p>a>c>b>e>k>j>f>i>h>d>l>m>o>g>n,1.0,3.0,2.0,10.0,4.0,7.0,14.0,9.0,8.0,6.0,5.0,11.0,12.0,15.0,13.0,0.0
-0.221077,0.7843439999999999,-1.2481229999999999,0.719459,0.735949,-0.180411,-0.582164,-0.091753,0.7447159999999999,-0.718407,-0.17460599999999998,1.44248,-0.642089,1.428857,1.074689,0.479904,c>d>p>f>h>i>b>a>e>m>n>o>k>l>j>g,7.0,6.0,0.0,1.0,8.0,3.0,15.0,4.0,5.0,14.0,12.0,13.0,9.0,10.0,11.0,2.0
-0.586088,0.689756,-0.957485,0.74279,0.693475,0.7318060000000001,0.476984,1.331949,1.2305469999999998,0.354622,-0.263783,0.42723,-0.427752,0.243925,0.557611,-0.9163549999999999,i>l>f>h>m>n>p>k>o>j>b>e>c>d>a>g,14.0,10.0,12.0,13.0,11.0,2.0,15.0,3.0,0.0,9.0,7.0,1.0,4.0,5.0,8.0,6.0
