A1,A2,A3,A4,ranking,a,b,c
-0.555556,0.166667,-0.830508,-0.916667,a>b>c,0.0,1.0,2.0
-0.611111,0.25,-0.8983049999999999,-0.833333,a>b>c,0.0,1.0,2.0
-0.8888889999999999,-0.75,-0.8983049999999999,-0.833333,a>b>c,0.0,1.0,2.0
-0.9444440000000001,0.0,-0.8983049999999999,-0.916667,a>b>c,0.0,1.0,2.0
-0.611111,0.25,-0.79661,-0.583333,a>b>c,0.0,1.0,2.0
-0.555556,0.5,-0.694915,-0.75,a>b>c,0.0,1.0,2.0
-0.722222,-0.166667,-0.8644069999999999,-0.833333,a>b>c,0.0,1.0,2.0
-0.555556,0.5,-0.79661,-0.916667,a>b>c,0.0,1.0,2.0
-0.833333,0.0,-0.8644069999999999,-0.916667,a>b>c,0.0,1.0,2.0
-0.44444399999999995,0.416667,-0.830508,-0.916667,a>b>c,0.0,1.0,2.0
-0.611111,0.08333330000000001,-0.8644069999999999,-0.916667,a>b>c,0.0,1.0,2.0
0.5,0.0,0.254237,0.08333330000000001,b>c>a,2.0,0.0,1.0
0.166667,0.0,0.186441,0.166667,b>c>a,2.0,0.0,1.0
0.44444399999999995,-0.08333339999999999,0.322034,0.166667,c>b>a,2.0,1.0,0.0
-0.333333,-0.75,0.016949099999999998,-4.03573e-08,b>a>c,1.0,0.0,2.0
0.22222199999999998,-0.333333,0.22033899999999998,0.166667,b>c>a,2.0,0.0,1.0
-0.22222199999999998,-0.333333,0.186441,-4.03573e-08,b>c>a,2.0,0.0,1.0
0.11111099999999999,0.08333330000000001,0.254237,0.25,b>c>a,2.0,0.0,1.0
-0.666667,-0.666667,-0.22033899999999998,-0.25,b>a>c,1.0,0.0,2.0
0.277778,-0.25,0.22033899999999998,-4.03573e-08,b>c>a,2.0,0.0,1.0
-0.5,-0.416667,-0.016949099999999998,0.08333330000000001,b>a>c,1.0,0.0,2.0
-0.611111,-1.0,-0.152542,-0.25,b>a>c,1.0,0.0,2.0
-0.11111099999999999,-0.166667,0.0847457,0.166667,b>c>a,2.0,0.0,1.0
-0.055555600000000004,-0.833333,0.016949099999999998,-0.25,b>a>c,1.0,0.0,2.0
-1.32455e-07,-0.25,0.254237,0.08333330000000001,b>c>a,2.0,0.0,1.0
-0.277778,-0.25,-0.118644,-4.03573e-08,b>a>c,1.0,0.0,2.0
0.333333,-0.08333339999999999,0.152542,0.08333330000000001,b>c>a,2.0,0.0,1.0
-0.277778,-0.166667,0.186441,0.166667,b>c>a,2.0,0.0,1.0
-0.166667,-0.416667,0.0508474,-0.25,b>a>c,1.0,0.0,2.0
0.0555554,-0.833333,0.186441,0.166667,b>c>a,2.0,0.0,1.0
-0.277778,-0.583333,-0.016949099999999998,-0.166667,b>a>c,1.0,0.0,2.0
-0.11111099999999999,0.0,0.288136,0.416667,c>b>a,2.0,1.0,0.0
-1.32455e-07,-0.333333,0.016949099999999998,-4.03573e-08,b>a>c,1.0,0.0,2.0
0.11111099999999999,-0.583333,0.322034,0.166667,b>c>a,2.0,0.0,1.0
-1.32455e-07,-0.333333,0.254237,-0.08333330000000001,b>c>a,2.0,0.0,1.0
0.166667,-0.25,0.118644,-4.03573e-08,b>c>a,2.0,0.0,1.0
0.277778,-0.166667,0.152542,0.08333330000000001,b>c>a,2.0,0.0,1.0
0.388889,-0.333333,0.288136,0.08333330000000001,b>c>a,2.0,0.0,1.0
0.333333,-0.166667,0.355932,0.333333,c>b>a,2.0,1.0,0.0
-0.055555600000000004,-0.25,0.186441,0.166667,b>c>a,2.0,0.0,1.0
-0.22222199999999998,-0.5,-0.152542,-0.25,b>a>c,1.0,0.0,2.0
-0.333333,-0.666667,-0.050847500000000004,-0.166667,b>a>c,1.0,0.0,2.0
-0.333333,-0.666667,-0.08474580000000001,-0.25,b>a>c,1.0,0.0,2.0
-0.166667,-0.416667,-0.016949099999999998,-0.08333330000000001,b>a>c,1.0,0.0,2.0
-0.055555600000000004,-0.416667,0.38983,0.25,b>c>a,2.0,0.0,1.0
-0.388889,-0.166667,0.186441,0.166667,b>c>a,2.0,0.0,1.0
-0.055555600000000004,0.166667,0.186441,0.25,b>c>a,2.0,0.0,1.0
0.333333,-0.08333339999999999,0.254237,0.166667,b>c>a,2.0,0.0,1.0
0.11111099999999999,-0.75,0.152542,-4.03573e-08,b>c>a,2.0,0.0,1.0
-0.277778,-0.166667,0.0508474,-4.03573e-08,b>a>c,1.0,0.0,2.0
-0.333333,-0.583333,0.016949099999999998,-4.03573e-08,b>a>c,1.0,0.0,2.0
-0.333333,-0.5,0.152542,-0.08333330000000001,b>a>c,1.0,0.0,2.0
-1.32455e-07,-0.166667,0.22033899999999998,0.08333330000000001,b>c>a,2.0,0.0,1.0
-0.166667,-0.5,0.016949099999999998,-0.08333330000000001,b>a>c,1.0,0.0,2.0
-0.611111,-0.75,-0.22033899999999998,-0.25,b>a>c,1.0,0.0,2.0
-0.277778,-0.416667,0.0847457,-4.03573e-08,b>a>c,1.0,0.0,2.0
-0.22222199999999998,-0.166667,0.0847457,-0.08333330000000001,b>a>c,1.0,0.0,2.0
-0.22222199999999998,-0.25,0.0847457,-4.03573e-08,b>a>c,1.0,0.0,2.0
0.0555554,-0.25,0.118644,-4.03573e-08,b>c>a,2.0,0.0,1.0
-0.555556,-0.583333,-0.322034,-0.166667,b>a>c,1.0,0.0,2.0
-0.22222199999999998,-0.333333,0.0508474,-4.03573e-08,b>a>c,1.0,0.0,2.0
0.11111099999999999,0.08333330000000001,0.694915,1.0,c>a>b,1.0,2.0,0.0
-0.166667,-0.416667,0.38983,0.5,c>b>a,2.0,1.0,0.0
0.555555,-0.166667,0.661017,0.666667,c>a>b,1.0,2.0,0.0
0.11111099999999999,-0.25,0.559322,0.416667,c>b>a,2.0,1.0,0.0
0.22222199999999998,-0.166667,0.627119,0.75,c>a>b,1.0,2.0,0.0
0.833333,-0.166667,0.8983049999999999,0.666667,c>a>b,1.0,2.0,0.0
-0.666667,-0.583333,0.186441,0.333333,b>c>a,2.0,0.0,1.0
0.666667,-0.25,0.79661,0.416667,c>a>b,1.0,2.0,0.0
0.333333,-0.583333,0.627119,0.416667,c>b>a,2.0,1.0,0.0
0.611111,0.333333,0.728813,1.0,c>a>b,1.0,2.0,0.0
0.22222199999999998,0.0,0.38983,0.583333,c>b>a,2.0,1.0,0.0
0.166667,-0.416667,0.45762700000000006,0.5,c>b>a,2.0,1.0,0.0
0.388889,-0.166667,0.525424,0.666667,c>a>b,1.0,2.0,0.0
-0.22222199999999998,-0.583333,0.355932,0.583333,c>b>a,2.0,1.0,0.0
-0.166667,-0.333333,0.38983,0.916667,c>a>b,1.0,2.0,0.0
0.166667,0.0,0.45762700000000006,0.833333,c>a>b,1.0,2.0,0.0
0.22222199999999998,-0.166667,0.525424,0.416667,c>b>a,2.0,1.0,0.0
0.8888889999999999,0.5,0.9322030000000001,0.75,c>a>b,1.0,2.0,0.0
0.8888889999999999,-0.5,1.0,0.833333,c>a>b,1.0,2.0,0.0
-0.055555600000000004,-0.833333,0.355932,0.166667,b>c>a,2.0,0.0,1.0
0.44444399999999995,0.0,0.59322,0.833333,c>a>b,1.0,2.0,0.0
-0.277778,-0.333333,0.322034,0.583333,c>b>a,2.0,1.0,0.0
0.8888889999999999,-0.333333,0.9322030000000001,0.583333,c>a>b,1.0,2.0,0.0
0.11111099999999999,-0.416667,0.322034,0.416667,c>b>a,2.0,1.0,0.0
0.333333,0.08333330000000001,0.59322,0.666667,c>a>b,1.0,2.0,0.0
0.611111,0.0,0.694915,0.416667,c>a>b,1.0,2.0,0.0
0.0555554,-0.333333,0.288136,0.416667,c>b>a,2.0,1.0,0.0
-1.32455e-07,-0.166667,0.322034,0.416667,c>b>a,2.0,1.0,0.0
0.166667,-0.333333,0.559322,0.666667,c>a>b,1.0,2.0,0.0
0.611111,-0.166667,0.627119,0.25,c>b>a,2.0,1.0,0.0
0.722222,-0.333333,0.728813,0.5,c>a>b,1.0,2.0,0.0
1.0,0.5,0.830508,0.583333,c>a>b,1.0,2.0,0.0
0.166667,-0.333333,0.559322,0.75,c>a>b,1.0,2.0,0.0
0.11111099999999999,-0.333333,0.38983,0.166667,b>c>a,2.0,0.0,1.0
-1.32455e-07,-0.5,0.559322,0.08333330000000001,c>b>a,2.0,1.0,0.0
0.8888889999999999,-0.166667,0.728813,0.833333,c>a>b,1.0,2.0,0.0
0.11111099999999999,0.166667,0.559322,0.916667,c>a>b,1.0,2.0,0.0
0.166667,-0.08333339999999999,0.525424,0.416667,c>b>a,2.0,1.0,0.0
-0.055555600000000004,-0.166667,0.288136,0.416667,c>b>a,2.0,1.0,0.0
0.44444399999999995,-0.08333339999999999,0.491525,0.666667,c>a>b,1.0,2.0,0.0
0.333333,-0.08333339999999999,0.559322,0.916667,c>a>b,1.0,2.0,0.0
0.44444399999999995,-0.08333339999999999,0.38983,0.833333,c>a>b,1.0,2.0,0.0
-0.166667,-0.416667,0.38983,0.5,c>b>a,2.0,1.0,0.0
0.388889,0.0,0.661017,0.833333,c>a>b,1.0,2.0,0.0
0.333333,0.08333330000000001,0.59322,1.0,c>a>b,1.0,2.0,0.0
0.333333,-0.166667,0.423729,0.833333,c>a>b,1.0,2.0,0.0
0.11111099999999999,-0.583333,0.355932,0.5,c>b>a,2.0,1.0,0.0
0.22222199999999998,-0.166667,0.423729,0.583333,c>b>a,2.0,1.0,0.0
0.0555554,0.166667,0.491525,0.833333,c>a>b,1.0,2.0,0.0
-0.11111099999999999,-0.166667,0.38983,0.416667,c>b>a,2.0,1.0,0.0
