A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,ranking,a,b,c,d
-0.0869565,0.230769,0.08333330000000001,-0.135371,-0.47252700000000003,-0.886792,-0.18954200000000002,-0.371429,-0.333333,0.0285714,-0.305263,-0.326139,0.22012600000000002,-0.684211,-0.454545,-0.902439,0.4,0.2,c>a>b>d,1.0,2.0,0.0,3.0
0.0,0.692308,0.75,-0.152838,-0.604396,-0.735849,0.20261400000000002,-0.657143,0.0,0.371429,0.021052599999999998,0.055155899999999994,0.72327,-0.605263,-0.454545,-0.902439,-0.333333,-0.13333299999999998,a>b>c>d,0.0,1.0,2.0,3.0
-0.304348,-0.769231,-0.694444,-0.956332,-0.8901100000000001,-0.849057,-0.9215690000000001,0.771429,-1.0,-0.685714,-0.926316,-0.947242,-0.798742,-0.44736800000000004,-0.818182,-0.317073,-0.666667,-0.733333,d>c>a>b,2.0,3.0,1.0,0.0
0.130435,-0.384615,0.027777800000000002,-0.187773,-0.516484,-0.849057,-0.150327,-0.428571,-0.333333,-0.4,-0.24210500000000001,-0.278177,-0.47169799999999995,-0.657895,-0.636364,-0.512195,0.466667,0.2,c>a>b>d,1.0,2.0,0.0,3.0
0.347826,0.6153850000000001,0.666667,-0.28384299999999996,-0.692308,-0.698113,0.359477,-0.714286,0.166667,0.571429,0.0,0.203837,0.396226,-0.605263,-0.545455,-0.46341499999999997,-0.4,-0.0666667,a>b>c>d,0.0,1.0,2.0,3.0
0.21739099999999997,0.769231,0.666667,-0.030567700000000003,-0.516484,-0.698113,0.254902,-0.657143,0.166667,0.457143,0.021052599999999998,0.119904,0.433962,-0.605263,-0.454545,-0.7560979999999999,-0.333333,-0.2,a>b>c>d,0.0,1.0,2.0,3.0
-0.5217390000000001,0.07692310000000001,-0.027777800000000002,-0.572052,-0.626374,-0.849057,-0.45098,-0.0285714,-0.666667,-0.228571,-0.526316,-0.592326,-0.0566038,-0.578947,-1.0,-0.8536590000000001,-0.4,-0.266667,d>c>a>b,2.0,3.0,1.0,0.0
-0.5217390000000001,-0.692308,-0.638889,-0.8515280000000001,-0.736264,-0.886792,-0.856209,0.657143,-1.0,-0.8,-0.8842110000000001,-0.9112709999999999,-0.698113,-0.394737,-0.363636,-0.9512200000000001,-0.8,-0.866667,d>c>a>b,2.0,3.0,1.0,0.0
-0.0869565,-0.230769,-0.333333,-0.39738,-0.516484,-0.811321,-0.503268,-0.0285714,-0.666667,-0.314286,-0.5894739999999999,-0.6163069999999999,-0.144654,-0.763158,-0.181818,-0.9512200000000001,0.533333,0.666667,d>c>b>a,3.0,2.0,1.0,0.0
-0.391304,-0.538462,-0.166667,-0.615721,-0.692308,-0.811321,-0.594771,0.14285699999999998,-0.833333,-0.48571400000000003,-0.642105,-0.705036,-0.597484,-0.736842,-0.909091,-0.902439,0.0666667,0.2,d>a>b>c,1.0,2.0,3.0,0.0
0.130435,0.538462,0.805556,0.00436681,-0.582418,-0.660377,0.20261400000000002,-0.657143,0.0,0.342857,-0.042105300000000005,0.0527578,0.44654099999999997,-0.763158,-1.0,-0.707317,0.0,0.333333,a>b>c>d,0.0,1.0,2.0,3.0
-0.478261,-0.07692310000000001,0.11111099999999999,-0.563319,-0.626374,-0.735849,-0.542484,0.08571430000000001,-0.666667,-0.14285699999999998,-0.5894739999999999,-0.664269,-0.18239,-0.684211,-0.909091,-0.804878,-0.2,0.2,d>c>a>b,2.0,3.0,1.0,0.0
-0.565217,-0.769231,-0.611111,-0.8689959999999999,-0.78022,-0.849057,-0.79085,0.5428569999999999,-0.833333,-0.8,-0.863158,-0.8705040000000001,-0.622642,-0.394737,-0.454545,-0.8536590000000001,-0.8,-0.866667,d>c>a>b,2.0,3.0,1.0,0.0
0.478261,0.6153850000000001,0.611111,-0.135371,-0.604396,-0.660377,0.385621,-0.714286,0.333333,0.4,0.042105300000000005,0.227818,0.345912,-0.657895,-0.909091,0.365854,-0.266667,0.2,a>b>c>d,0.0,1.0,2.0,3.0
0.26087,-0.07692310000000001,0.25,-0.22270700000000002,-0.626374,-0.849057,0.045751599999999996,-0.6,-0.166667,-0.2,-0.08421050000000001,-0.0743405,-0.320755,-0.552632,-0.454545,-0.658537,0.266667,-0.2,b>a>c>d,1.0,0.0,2.0,3.0
-0.695652,-0.6153850000000001,-0.361111,-0.781659,-0.824176,-0.811321,-0.555556,0.14285699999999998,-0.666667,-0.657143,-0.6,-0.688249,-0.383648,-0.368421,-0.181818,-0.0243902,-0.733333,-0.733333,d>c>a>b,2.0,3.0,1.0,0.0
-0.304348,-0.230769,0.25,-0.510917,-0.626374,-0.660377,-0.437908,-0.0285714,-0.666667,-0.057142899999999996,-0.5473680000000001,-0.58753,-0.18239,-0.657895,-0.545455,-0.560976,-0.4,0.0,d>c>a>b,2.0,3.0,1.0,0.0
-0.347826,-0.307692,0.027777800000000002,-0.5895199999999999,-0.758242,-0.7735850000000001,-0.633987,0.2,-0.833333,-0.314286,-0.631579,-0.738609,-0.383648,-0.8684209999999999,-0.0909091,-0.46341499999999997,0.466667,0.6,d>a>b>c,1.0,2.0,3.0,0.0
-0.130435,-0.8461540000000001,-0.277778,-0.563319,-0.736264,-0.849057,-0.607843,0.14285699999999998,-0.833333,-0.714286,-0.663158,-0.71223,-0.861635,-0.8684209999999999,-0.545455,-0.365854,0.4,0.4,d>a>b>c,1.0,2.0,3.0,0.0
0.21739099999999997,0.153846,0.8611110000000001,0.030567700000000003,-0.538462,-0.698113,0.254902,-0.657143,0.166667,0.0285714,0.0736842,0.0959233,0.194969,-0.710526,-0.545455,0.8536590000000001,-0.0666667,0.4,a>b>c>d,0.0,1.0,2.0,3.0
-0.391304,-0.6153850000000001,0.25,-0.36244499999999996,-0.692308,-0.7735850000000001,-0.320261,-0.2,-0.5,-0.685714,-0.410526,-0.47721800000000003,-0.735849,-0.8947370000000001,-0.909091,0.21951199999999998,0.466667,0.6,b>a>d>c,1.0,0.0,3.0,2.0
0.173913,0.0,0.388889,-0.406114,-0.5604399999999999,-0.735849,-0.41176499999999994,-0.0285714,-0.5,-0.08571430000000001,-0.578947,-0.570743,-0.0566038,-0.789474,0.545455,-0.658537,0.0666667,0.266667,b>a>d>c,1.0,0.0,3.0,2.0
-0.608696,-0.153846,-0.11111099999999999,-0.8777290000000001,-0.8901100000000001,-0.811321,-0.477124,0.0285714,-0.666667,-0.171429,-0.536842,-0.625899,-0.144654,-0.394737,-0.818182,-0.902439,-0.733333,-0.733333,d>c>a>b,2.0,3.0,1.0,0.0
-0.26087,0.153846,0.277778,0.764192,0.736264,0.7735850000000001,-0.464052,0.0285714,-0.666667,0.08571430000000001,0.494737,-0.6115109999999999,0.144654,0.552632,-1.0,-0.268293,-0.4,-0.13333299999999998,d>a>b>c,1.0,2.0,3.0,0.0
0.434783,0.538462,0.611111,-0.371179,-0.8461540000000001,-0.698113,0.359477,-0.714286,0.166667,0.514286,0.10526300000000001,0.215827,0.371069,-0.605263,-0.909091,-0.560976,-0.266667,0.0666667,a>b>c>d,0.0,1.0,2.0,3.0
-0.652174,-0.07692310000000001,-0.22222199999999998,-0.43231400000000003,-0.428571,-0.849057,-0.490196,0.0285714,-0.666667,-0.2,-0.5473680000000001,-0.6354920000000001,-0.031446499999999995,-0.578947,-0.363636,-1.0,-0.533333,-0.466667,d>c>a>b,2.0,3.0,1.0,0.0
-0.043478300000000004,0.153846,0.777778,-0.039301300000000004,-0.5604399999999999,-0.735849,0.21568600000000002,-0.657143,0.0,-0.057142899999999996,0.021052599999999998,0.06474819999999999,0.169811,-0.605263,-0.545455,-0.560976,-0.333333,-0.2,a>b>c>d,0.0,1.0,2.0,3.0
-0.347826,-0.692308,-0.694444,-0.991266,-0.8901100000000001,-0.886792,-0.9084969999999999,0.771429,-1.0,-0.714286,-0.947368,-0.944844,-0.798742,-0.28947399999999995,-0.272727,-0.21951199999999998,-0.8,-0.866667,d>c>a>b,2.0,3.0,1.0,0.0
-0.0869565,0.230769,0.305556,-0.7117899999999999,-0.8461540000000001,-0.660377,-0.39869299999999996,-0.0285714,-0.5,0.257143,-0.494737,-0.563549,-0.031446499999999995,-0.578947,-0.545455,-0.7560979999999999,-0.533333,-0.13333299999999998,c>d>a>b,2.0,3.0,0.0,1.0
-0.130435,-0.692308,0.0,-0.310044,-0.648352,-0.7735850000000001,-0.320261,-0.2,-0.5,-0.5428569999999999,-0.35789499999999996,-0.470024,-0.622642,-0.789474,-0.636364,-0.658537,0.0666667,0.0666667,b>a>c>d,1.0,0.0,2.0,3.0
1.0,0.6153850000000001,0.833333,0.0131004,-0.604396,-0.622642,0.320261,-0.714286,0.166667,0.4,-0.021052599999999998,0.177458,0.5471699999999999,-0.815789,0.818182,-0.9512200000000001,0.0666667,0.4,b>a>c>d,1.0,0.0,2.0,3.0
-0.130435,0.0,0.166667,-0.641921,-0.758242,-0.660377,-0.385621,-0.0285714,-0.5,0.2,-0.473684,-0.551559,0.00628931,-0.526316,-0.818182,-0.804878,-0.533333,-0.13333299999999998,c>d>a>b,2.0,3.0,0.0,1.0
-0.21739099999999997,-0.230769,-0.166667,-0.746725,-0.824176,-0.7735850000000001,-0.764706,0.428571,-0.833333,-0.2,-0.6947369999999999,-0.8345319999999999,-0.40880500000000003,-0.710526,-0.909091,-0.6097560000000001,-0.0666667,-0.13333299999999998,d>a>b>c,1.0,2.0,3.0,0.0
-0.478261,-0.307692,-0.277778,-0.8427950000000001,-0.8461540000000001,-0.849057,-0.529412,0.14285699999999998,-0.666667,-0.342857,-0.557895,-0.681055,-0.18239,-0.236842,-0.454545,-0.317073,-0.733333,-0.933333,d>c>a>b,2.0,3.0,1.0,0.0
-0.304348,0.07692310000000001,0.138889,-0.624454,-0.626374,-0.660377,-0.42483699999999996,0.0285714,-0.5,0.28571399999999997,-0.578947,-0.597122,-0.00628931,-0.552632,-0.454545,-0.365854,-0.466667,-0.2,d>c>a>b,2.0,3.0,1.0,0.0
-0.21739099999999997,-0.07692310000000001,0.08333330000000001,-0.371179,-0.736264,-0.735849,-0.333333,-0.2,-0.5,-0.14285699999999998,-0.431579,-0.472422,-0.119497,-0.921053,-1.0,-0.512195,0.533333,0.8,b>a>d>c,1.0,0.0,3.0,2.0
-0.782609,-0.6153850000000001,-0.361111,-0.9039299999999999,-0.9120879999999999,-0.849057,-0.607843,0.2,-0.666667,-0.657143,-0.663158,-0.724221,-0.534591,-0.526316,-0.818182,-0.804878,-0.666667,-0.733333,d>c>a>b,2.0,3.0,1.0,0.0
-0.173913,-0.6153850000000001,-0.138889,-0.388646,-0.582418,-0.811321,-0.45098,-0.0285714,-0.666667,-0.571429,-0.463158,-0.589928,-0.735849,-0.710526,-0.636364,0.170732,-0.13333299999999998,-0.0666667,d>b>a>c,2.0,1.0,3.0,0.0
0.0869565,0.692308,0.694444,0.0829694,-0.49450500000000003,-0.735849,0.281046,-0.714286,0.166667,0.428571,0.11578900000000002,0.14388499999999999,0.710692,-0.657895,-0.909091,-0.707317,-0.2,0.0666667,a>b>c>d,0.0,1.0,2.0,3.0
0.21739099999999997,-0.307692,-0.388889,-0.379913,-0.5604399999999999,-0.849057,-0.5163399999999999,-0.0285714,-0.666667,-0.4,-0.5894739999999999,-0.623501,-0.295597,-0.8421049999999999,-0.363636,-0.46341499999999997,0.733333,0.866667,d>c>b>a,3.0,2.0,1.0,0.0
0.21739099999999997,0.769231,0.777778,-0.292576,-0.868132,-0.849057,0.895425,-1.0,0.833333,0.428571,0.526316,0.851319,0.5220130000000001,-0.368421,-0.545455,0.268293,-0.733333,-0.8,a>b>c>d,0.0,1.0,2.0,3.0
-0.0869565,-0.769231,-0.277778,-0.5895199999999999,-0.692308,-0.7735850000000001,-0.72549,0.371429,-0.833333,-0.514286,-0.747368,-0.805755,-0.8742139999999999,-0.921053,-0.181818,-0.8536590000000001,0.666667,0.8,d>a>b>c,1.0,2.0,3.0,0.0
0.043478300000000004,-0.153846,0.555556,-0.20524,-0.648352,-0.735849,-0.045751599999999996,-0.428571,-0.166667,-0.257143,-0.24210500000000001,-0.213429,-0.295597,-0.815789,-0.636364,-0.6097560000000001,0.0,0.2,b>a>c>d,1.0,0.0,2.0,3.0
-0.304348,0.07692310000000001,0.22222199999999998,-0.746725,-0.824176,-0.660377,-0.41176499999999994,0.0285714,-0.5,0.2,-0.5894739999999999,-0.592326,-0.15723299999999998,-0.605263,-0.545455,-0.560976,-0.6,-0.266667,d>c>a>b,2.0,3.0,1.0,0.0
0.478261,0.538462,0.75,0.0218341,-0.582418,-0.660377,0.267974,-0.657143,0.166667,0.28571399999999997,-0.0315789,0.1247,0.295597,-0.815789,-1.0,-0.9512200000000001,0.0,0.333333,a>b>c>d,0.0,1.0,2.0,3.0
-0.478261,-0.538462,-0.22222199999999998,-0.8689959999999999,-0.8901100000000001,-0.886792,-0.79085,0.5428569999999999,-0.833333,-0.514286,-0.810526,-0.863309,-0.584906,-0.578947,-0.272727,-0.6097560000000001,-0.6,-0.6,d>a>b>c,1.0,2.0,3.0,0.0
0.304348,0.307692,0.611111,-0.0567686,-0.648352,-0.735849,0.0588235,-0.5428569999999999,-0.166667,0.228571,-0.11578900000000002,-0.0815348,-0.044025199999999994,-0.8684209999999999,-0.545455,-0.7560979999999999,0.466667,0.533333,b>a>c>d,1.0,0.0,2.0,3.0
-0.8260870000000001,-0.6153850000000001,-0.361111,-0.729258,-0.736264,-0.886792,-0.764706,0.48571400000000003,-0.833333,-0.657143,-0.8421049999999999,-0.8489209999999999,-0.622642,-0.473684,0.181818,0.0243902,-0.533333,-0.6,d>c>a>b,2.0,3.0,1.0,0.0
0.0,-0.461538,-0.166667,-0.8602620000000001,-0.934066,-0.7735850000000001,-0.673203,0.371429,-0.833333,-0.342857,-0.663158,-0.7961630000000001,-0.622642,-0.44736800000000004,-0.0909091,-0.365854,-0.533333,-0.866667,d>a>b>c,1.0,2.0,3.0,0.0
-0.565217,-0.307692,-0.277778,-0.545852,-0.5604399999999999,-0.811321,-0.503268,0.08571430000000001,-0.666667,-0.257143,-0.536842,-0.642686,-0.371069,-0.5,-0.636364,-0.902439,-0.6,-0.533333,d>c>a>b,2.0,3.0,1.0,0.0
-0.130435,-0.07692310000000001,0.277778,-0.152838,-0.516484,-0.811321,-0.0588235,-0.48571400000000003,-0.166667,-0.228571,-0.231579,-0.18705,-0.06918239999999999,-0.657895,-1.0,-0.804878,0.2,0.0666667,a>b>c>d,0.0,1.0,2.0,3.0
-0.304348,-0.384615,-0.027777800000000002,-0.659389,-0.802198,-0.811321,-0.555556,0.14285699999999998,-0.666667,-0.457143,-0.578947,-0.681055,-0.40880500000000003,-0.552632,0.636364,-0.7560979999999999,-0.466667,-0.533333,d>a>b>c,1.0,2.0,3.0,0.0
-0.652174,-0.230769,-0.22222199999999998,-0.8165939999999999,-0.78022,-0.7735850000000001,-0.5163399999999999,0.14285699999999998,-0.666667,-0.2,-0.5894739999999999,-0.666667,-0.20754699999999998,-0.368421,-0.454545,-0.121951,-0.8,-0.8,d>c>a>b,2.0,3.0,1.0,0.0
0.0869565,0.692308,0.694444,0.00436681,-0.516484,-0.660377,0.477124,-0.771429,0.333333,0.714286,0.0631579,0.352518,0.345912,-0.605263,-0.454545,-0.317073,-0.266667,-0.0666667,a>b>c>d,0.0,1.0,2.0,3.0
-0.434783,-0.153846,0.055555600000000004,-0.475983,-0.538462,-0.735849,-0.607843,0.14285699999999998,-0.833333,-0.171429,-0.6,-0.709832,-0.22012600000000002,-0.710526,-0.909091,-0.46341499999999997,-0.0666667,0.333333,d>c>a>b,2.0,3.0,1.0,0.0
0.0869565,0.230769,0.22222199999999998,0.00436681,-0.406593,-0.811321,0.0196078,-0.5428569999999999,-0.166667,0.0285714,-0.178947,-0.103118,0.257862,-0.605263,-0.636364,-0.658537,0.266667,-0.0666667,c>a>b>d,1.0,2.0,0.0,3.0
0.0,0.692308,0.611111,-0.502183,-0.8461540000000001,-0.698113,0.346405,-0.714286,0.166667,0.628571,0.010526299999999999,0.196643,0.40880500000000003,-0.552632,-0.727273,-0.707317,-0.4,-0.2,a>b>c>d,0.0,1.0,2.0,3.0
0.043478300000000004,1.0,0.8888889999999999,0.0742358,-0.49450500000000003,-0.660377,0.464052,-0.771429,0.333333,0.942857,0.0,0.31414899999999996,0.371069,-0.710526,-0.0909091,0.21951199999999998,-0.333333,0.13333299999999998,a>b>c>d,0.0,1.0,2.0,3.0
-0.173913,-0.538462,0.416667,-0.240175,-0.67033,-0.7735850000000001,-0.163399,-0.371429,-0.333333,-0.457143,-0.305263,-0.323741,-0.47169799999999995,-0.789474,-0.727273,0.121951,0.0666667,0.266667,b>a>c>d,1.0,0.0,2.0,3.0
-1.0,-0.692308,-0.638889,-0.938865,-0.8461540000000001,-0.849057,-0.8169930000000001,0.657143,-0.833333,-0.714286,-0.947368,-0.896882,-0.5220130000000001,-0.394737,-0.909091,-0.268293,-1.0,-0.8,c>d>a>b,2.0,3.0,0.0,1.0
-0.304348,-0.307692,0.361111,-0.624454,-0.692308,-0.660377,-0.490196,0.0285714,-0.666667,-0.228571,-0.578947,-0.630695,-0.320755,-0.657895,0.0,0.121951,-0.266667,0.2,d>b>a>c,2.0,1.0,3.0,0.0
0.21739099999999997,0.538462,0.75,-0.135371,-0.648352,-0.735849,0.0849673,-0.5428569999999999,-0.166667,0.257143,-0.157895,-0.0719424,0.27044,-0.763158,-0.545455,-0.7560979999999999,0.0,0.13333299999999998,a>b>c>d,0.0,1.0,2.0,3.0
-0.21739099999999997,-0.538462,0.194444,-0.42358100000000004,-0.714286,-0.7735850000000001,-0.21568600000000002,-0.314286,-0.333333,-0.5428569999999999,-0.29473699999999997,-0.374101,-0.45911899999999994,-0.657895,-1.0,-0.512195,-0.2,-0.13333299999999998,b>a>c>d,1.0,0.0,2.0,3.0
-0.434783,-0.461538,-0.388889,-0.6855899999999999,-0.67033,-0.811321,-0.503268,0.08571430000000001,-0.666667,-0.571429,-0.631579,-0.64988,-0.194969,-0.394737,-0.818182,-0.8536590000000001,-0.733333,-0.733333,d>c>a>b,2.0,3.0,1.0,0.0
0.347826,0.461538,0.5,-0.09170310000000001,-0.582418,-0.886792,0.254902,-0.714286,0.166667,0.228571,0.021052599999999998,0.155875,0.371069,-0.552632,0.0,-0.804878,0.13333299999999998,-0.333333,a>b>c>d,0.0,1.0,2.0,3.0
-0.304348,-0.153846,-0.22222199999999998,-0.9213969999999999,-0.934066,-0.811321,-0.503268,0.08571430000000001,-0.666667,-0.171429,-0.568421,-0.654676,0.00628931,-0.236842,-0.454545,-0.7560979999999999,-0.8,-0.933333,d>c>a>b,2.0,3.0,1.0,0.0
-0.391304,0.0,-0.138889,-0.519651,-0.582418,-0.849057,-0.490196,0.0285714,-0.666667,-0.2,-0.526316,-0.6187050000000001,0.00628931,-0.631579,-0.818182,-1.0,-0.333333,-0.4,d>c>a>b,2.0,3.0,1.0,0.0
0.130435,0.384615,0.44444399999999995,-0.135371,-0.604396,-0.886792,0.267974,-0.714286,0.166667,0.171429,0.0736842,0.16786600000000002,0.320755,-0.5,-0.545455,-0.46341499999999997,0.0,-0.466667,a>b>c>d,0.0,1.0,2.0,3.0
-0.0869565,-0.769231,-0.22222199999999998,-0.799127,-0.8461540000000001,-0.811321,-0.803922,0.48571400000000003,-0.833333,-0.6,-0.736842,-0.8609110000000001,-0.91195,-0.815789,-0.909091,-0.902439,0.266667,0.0,d>a>b>c,1.0,2.0,3.0,0.0
-0.7391300000000001,-0.461538,0.11111099999999999,-0.746725,-0.824176,-0.811321,-0.542484,0.2,-0.666667,-0.514286,-0.557895,-0.695444,-0.5597479999999999,-0.552632,-0.272727,0.46341499999999997,-0.666667,-0.2,d>c>a>b,2.0,3.0,1.0,0.0
-0.304348,-0.461538,0.0,-0.266376,-0.362637,-0.811321,-0.503268,0.0285714,-0.666667,-0.48571400000000003,-0.536842,-0.621103,-0.509434,-0.657895,-0.727273,-0.6097560000000001,0.13333299999999998,0.0666667,d>c>a>b,2.0,3.0,1.0,0.0
0.608696,0.923077,0.833333,-0.33624499999999996,-0.9120879999999999,-0.849057,0.9477120000000001,-1.0,0.833333,0.514286,0.557895,0.9520379999999999,0.861635,-0.368421,-0.181818,-0.365854,-0.666667,-0.933333,a>b>c>d,0.0,1.0,2.0,3.0
-0.304348,-0.384615,0.22222199999999998,-0.676856,-0.758242,-0.735849,-0.5163399999999999,0.08571430000000001,-0.666667,-0.228571,-0.557895,-0.64988,-0.333333,-0.657895,-0.636364,-0.121951,-0.2,0.266667,d>a>b>c,1.0,2.0,3.0,0.0
-0.434783,-0.692308,-0.44444399999999995,-0.9039299999999999,-0.8461540000000001,-0.886792,-0.9084969999999999,0.714286,-1.0,-0.6,-0.8842110000000001,-0.940048,-0.748428,-0.657895,-0.818182,-0.6097560000000001,-0.333333,-0.4,d>a>b>c,1.0,2.0,3.0,0.0
-0.21739099999999997,-0.307692,0.22222199999999998,-0.0829694,-0.384615,-0.849057,-0.228758,-0.314286,-0.5,-0.428571,-0.378947,-0.371703,-0.345912,-0.736842,-0.727273,-0.414634,0.333333,0.333333,c>a>b>d,1.0,2.0,0.0,3.0
-0.695652,-0.692308,-0.527778,-0.8951969999999999,-0.824176,-0.849057,-0.8300649999999999,0.6,-0.833333,-0.8,-0.873684,-0.892086,-0.710692,-0.42105299999999996,-0.272727,-0.7560979999999999,-0.866667,-0.8,d>c>a>b,2.0,3.0,1.0,0.0
0.347826,0.692308,0.8611110000000001,0.030567700000000003,-0.538462,-0.660377,0.385621,-0.714286,0.166667,0.571429,0.0736842,0.244604,0.509434,-0.684211,-0.727273,-0.512195,-0.2,0.2,a>b>c>d,0.0,1.0,2.0,3.0
-0.0869565,-0.6153850000000001,0.22222199999999998,-0.528384,-0.824176,-0.735849,-0.254902,-0.257143,-0.5,-0.657143,-0.305263,-0.41007200000000005,-0.42138400000000004,-0.736842,-0.181818,-0.268293,-0.0666667,-0.0666667,b>a>c>d,1.0,0.0,2.0,3.0
0.347826,0.461538,0.666667,-0.240175,-0.736264,-0.735849,0.11111099999999999,-0.6,0.0,0.14285699999999998,-0.0736842,-0.043165499999999996,0.572327,-0.710526,-0.0909091,-0.512195,0.0,0.13333299999999998,a>b>c>d,0.0,1.0,2.0,3.0
-0.0869565,0.153846,0.305556,-0.49345,-0.626374,-0.698113,-0.41176499999999994,-0.0285714,-0.5,0.228571,-0.48421099999999995,-0.570743,-0.031446499999999995,-0.578947,-0.636364,-0.268293,-0.466667,-0.0666667,c>a>b>d,1.0,2.0,0.0,3.0
-0.5217390000000001,-0.07692310000000001,-0.277778,-0.563319,-0.604396,-0.849057,-0.568627,0.14285699999999998,-0.666667,-0.257143,-0.6,-0.693046,-0.144654,-0.631579,-0.818182,-0.8536590000000001,-0.466667,-0.533333,d>c>a>b,2.0,3.0,1.0,0.0
0.043478300000000004,0.307692,0.8888889999999999,-0.0655022,-0.604396,-0.698113,0.333333,-0.714286,0.166667,0.08571430000000001,0.0736842,0.196643,0.371069,-0.657895,-0.363636,0.414634,-0.2,0.0666667,a>b>c>d,0.0,1.0,2.0,3.0
-0.304348,-0.307692,0.11111099999999999,-0.5895199999999999,-0.67033,-0.849057,-0.581699,0.14285699999999998,-0.666667,-0.4,-0.621053,-0.702638,-0.232704,-0.605263,0.545455,-0.365854,-0.4,-0.466667,d>b>a>c,2.0,1.0,3.0,0.0
-0.434783,-0.230769,-0.22222199999999998,-0.5807859999999999,-0.67033,-0.811321,-0.503268,0.0285714,-0.666667,-0.314286,-0.48421099999999995,-0.6330939999999999,-0.308176,-0.578947,-0.636364,-0.560976,-0.2,-0.266667,d>c>a>b,2.0,3.0,1.0,0.0
