A1,A2,A3,A4,A5,ranking,a,b,c,d,e
-1.578807,0.904825,2.076839,-0.107527,0.070733,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.603529,0.827918,1.710588,-0.24129099999999998,0.044509,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.603529,0.794957,1.6648060000000002,-0.152115,0.061992,d>a>b>c>e,1.0,2.0,3.0,0.0,4.0
-1.671746,0.740023,1.619025,-0.21899699999999997,0.070733,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.625276,0.7510100000000001,1.619025,-0.062939,0.12318299999999999,d>a>b>c>e,1.0,2.0,3.0,0.0,4.0
-1.573045,0.8938379999999999,1.939495,0.09311799999999999,0.23682399999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.5933979999999999,0.9377850000000001,1.847932,0.026236000000000002,0.263049,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.5671899999999999,1.014693,1.80215,0.070824,0.280532,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.5671899999999999,0.9377850000000001,1.8937130000000002,0.026236000000000002,0.332982,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.5671899999999999,0.9267989999999999,1.8937130000000002,-0.018351,0.315499,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.5671899999999999,0.959759,1.7563689999999998,-0.018351,0.34172399999999997,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.625276,0.8938379999999999,1.206992,-0.285879,0.21059899999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.619514,0.849891,1.206992,-0.44193699999999997,0.23682399999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.6499979999999999,0.8389040000000001,1.16121,-0.486525,0.23682399999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.665984,0.8389040000000001,1.115429,-0.46423100000000006,0.21934099999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.665984,0.849891,1.023866,-0.486525,0.20185799999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.6499979999999999,0.794957,0.9323030000000001,-0.486525,0.21059899999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.639868,0.904825,1.115429,-0.39734899999999995,0.21934099999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.583175,0.9267989999999999,1.069647,-0.330467,0.23682399999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.58903,0.948772,1.069647,-0.39734899999999995,0.263049,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.578807,0.948772,1.16121,-0.44193699999999997,0.271791,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.532338,0.948772,1.023866,-0.486525,0.22808299999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.542561,0.959759,0.8407399999999999,-0.5088189999999999,0.21059899999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.532338,0.992719,0.8865219999999999,-0.375055,0.22808299999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.480106,1.113574,0.9780840000000001,-0.285879,0.23682399999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.496091,0.992719,0.8865219999999999,-0.24129099999999998,0.23682399999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.5105899999999999,1.003706,0.703396,-0.39734899999999995,0.21059899999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.5004600000000001,0.9707459999999999,0.7491770000000001,-0.375055,0.131925,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.516445,0.981733,0.703396,-0.308173,0.140666,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.506222,1.003706,0.657614,-0.285879,0.22808299999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.526575,0.9377850000000001,0.611833,-0.352761,0.20185799999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.526575,0.849891,0.52027,-0.486525,0.193116,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.469976,0.9158120000000001,0.611833,-0.5088189999999999,0.14940799999999999,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.45399,0.9707459999999999,0.703396,-0.41964300000000004,0.15815,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.4393989999999999,0.904825,0.611833,-0.5088189999999999,0.114442,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.480106,0.805944,0.38292600000000004,-0.5311130000000001,0.079475,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.5004600000000001,0.8389040000000001,0.337144,-0.642583,0.061992,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.4393989999999999,0.9267989999999999,0.42870699999999995,-0.620289,0.044509,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.387167,0.871865,0.337144,-0.664876,-0.042908,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.299991,0.849891,0.42870699999999995,-0.5311130000000001,-0.016683,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.310214,0.849891,0.42870699999999995,-0.620289,-0.025424000000000002,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.314582,0.794957,0.566051,-0.820934,-0.051649,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.299991,0.794957,0.42870699999999995,-0.9546979999999999,-0.09535700000000001,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.2535209999999999,0.8938379999999999,0.42870699999999995,-0.776346,-0.09535700000000001,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.247759,0.8169310000000001,0.47448900000000005,-0.41964300000000004,-0.077874,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.2535209999999999,0.783971,0.47448900000000005,-0.5311130000000001,-0.086616,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.247759,0.772984,0.38292600000000004,-0.620289,-0.034166,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.231773,0.827918,0.703396,-0.664876,0.000801,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.284098,0.772984,0.7491770000000001,-0.731758,0.009542,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.257889,0.8828520000000001,0.7491770000000001,-0.44193699999999997,0.044509,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.237629,0.9267989999999999,0.657614,-0.44193699999999997,0.027025,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.217275,0.9267989999999999,0.703396,-0.308173,0.070733,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.221643,0.904825,0.8865219999999999,-0.263585,0.096958,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.195434,0.9707459999999999,0.8865219999999999,-0.107527,0.166891,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.180936,0.992719,0.9323030000000001,-0.062939,0.184375,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.284098,0.9707459999999999,0.7491770000000001,-0.062939,0.131925,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.257889,0.992719,0.8865219999999999,-0.040645,0.131925,d>a>b>c>e,1.0,2.0,3.0,0.0,4.0
-1.2681129999999998,0.8828520000000001,1.023866,-0.196703,0.1057,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.207052,0.9267989999999999,1.344336,-0.196703,0.140666,d>a>c>b>e,1.0,3.0,2.0,0.0,4.0
-1.134466,0.948772,1.573243,-0.040645,0.21934099999999998,d>a>c>b>e,1.0,3.0,2.0,0.0,4.0
-1.138835,0.849891,1.619025,-0.152115,0.21934099999999998,d>a>c>b>e,1.0,3.0,2.0,0.0,4.0
-1.138835,0.805944,1.4816799999999999,-0.196703,0.22808299999999998,d>a>c>b>e,1.0,3.0,2.0,0.0,4.0
-1.138835,0.849891,1.344336,-0.375055,0.184375,d>a>b>c>e,1.0,2.0,3.0,0.0,4.0
-1.138835,0.849891,1.390117,-0.285879,0.21059899999999998,d>a>b>c>e,1.0,2.0,3.0,0.0,4.0
-1.124336,0.772984,1.069647,-0.24129099999999998,0.21934099999999998,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.09822,0.794957,1.115429,-0.107527,0.22808299999999998,d>a>b>c>e,1.0,2.0,3.0,0.0,4.0
-1.0879969999999999,0.794957,1.435899,-0.285879,0.23682399999999998,a>d>c>b>e,0.0,3.0,2.0,1.0,4.0
-1.082235,0.772984,1.573243,-0.330467,0.280532,a>d>c>b>e,0.0,3.0,2.0,1.0,4.0
-1.092365,0.772984,1.298555,-0.39734899999999995,0.24556599999999998,a>d>c>b>e,0.0,3.0,2.0,1.0,4.0
-1.0879969999999999,0.772984,1.390117,-0.263585,0.263049,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.09822,0.794957,1.390117,-0.263585,0.24556599999999998,a>d>c>b>e,0.0,3.0,2.0,1.0,4.0
-1.0879969999999999,0.8169310000000001,1.4816799999999999,-0.21899699999999997,0.23682399999999998,a>d>c>b>e,0.0,3.0,2.0,1.0,4.0
-1.102496,0.761997,1.344336,-0.375055,0.21934099999999998,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.0676430000000001,0.794957,1.390117,-0.263585,0.254307,a>d>c>b>e,0.0,3.0,2.0,1.0,4.0
-1.082235,0.827918,1.435899,-0.308173,0.289274,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.082235,0.860878,1.390117,-0.330467,0.315499,a>d>c>b>e,0.0,3.0,2.0,1.0,4.0
-1.1287040000000002,0.8169310000000001,1.298555,-0.39734899999999995,0.289274,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.138835,0.8169310000000001,1.252773,-0.486525,0.271791,a>d>c>b>e,0.0,3.0,2.0,1.0,4.0
-1.124336,0.871865,1.252773,-0.375055,0.298016,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.14469,0.860878,1.115429,-0.46423100000000006,0.263049,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.148965,0.827918,0.9323030000000001,-0.731758,0.20185799999999998,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.118481,0.794957,1.023866,-0.709464,0.23682399999999998,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.0879969999999999,0.794957,0.8407399999999999,-0.68717,0.22808299999999998,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.124336,0.71805,0.8407399999999999,-0.820934,0.23682399999999998,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.0618809999999999,0.7290369999999999,0.8865219999999999,-0.731758,0.280532,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.025542,0.783971,1.252773,-0.731758,0.36794899999999997,a>d>c>b>e,0.0,3.0,2.0,1.0,4.0
-0.9485889999999999,0.794957,1.115429,-0.776346,0.34172399999999997,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.9428270000000001,0.805944,1.115429,-0.7540520000000001,0.315499,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.9428270000000001,0.783971,0.9323030000000001,-0.776346,0.332982,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.9428270000000001,0.7510100000000001,0.9780840000000001,-0.709464,0.298016,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.9529569999999999,0.7510100000000001,1.023866,-0.642583,0.289274,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.025542,0.6850890000000001,1.023866,-0.79864,0.280532,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.0052809999999999,0.630156,0.9323030000000001,-1.066168,0.21059899999999998,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.0618809999999999,0.608182,0.657614,-1.13305,0.15815,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.0618809999999999,0.619169,0.7491770000000001,-1.088462,0.15815,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.0676430000000001,0.575222,0.7491770000000001,-0.8878159999999999,0.14940799999999999,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.102496,0.520288,0.7491770000000001,-0.9546979999999999,0.12318299999999999,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.108351,0.48732700000000007,1.023866,-1.13305,0.14940799999999999,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.082235,0.553248,1.115429,-1.13305,0.131925,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.102496,0.520288,1.16121,-1.1553440000000001,0.21934099999999998,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.114113,0.509301,1.115429,-1.1107559999999999,0.254307,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.148965,0.47634099999999996,0.9323030000000001,-1.13305,0.21059899999999998,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.1853040000000001,0.454367,0.8865219999999999,-1.177638,0.14940799999999999,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.09822,0.49831400000000003,1.023866,-1.1107559999999999,0.096958,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.102496,0.49831400000000003,0.9323030000000001,-1.088462,0.14940799999999999,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.0879969999999999,0.509301,0.8865219999999999,-1.066168,0.12318299999999999,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.0618809999999999,0.509301,0.9780840000000001,-1.02158,0.114442,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.0676430000000001,0.465354,1.390117,-1.043874,0.140666,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.0879969999999999,0.48732700000000007,1.298555,-1.13305,0.079475,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.114113,0.509301,1.16121,-1.1107559999999999,0.009542,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.0676430000000001,0.6850890000000001,1.252773,-0.9546979999999999,0.140666,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.0676430000000001,0.652129,1.252773,-0.9324040000000001,0.21934099999999998,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.0560260000000001,0.663116,1.252773,-0.8432280000000001,0.21934099999999998,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.045896,0.663116,1.252773,-0.8432280000000001,0.24556599999999998,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.031397,0.663116,1.206992,-0.9101100000000001,0.20185799999999998,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-1.015412,0.641142,1.206992,-0.8878159999999999,0.21059899999999998,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.9529569999999999,0.652129,1.252773,-0.8432280000000001,0.22808299999999998,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.9428270000000001,0.652129,1.252773,-0.776346,0.280532,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.963087,0.619169,1.206992,-0.8432280000000001,0.263049,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.984928,0.641142,1.16121,-0.8432280000000001,0.306757,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.989296,0.597195,1.16121,-0.8432280000000001,0.263049,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-1.0052809999999999,0.586208,1.16121,-0.8878159999999999,0.271791,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-1.009557,0.597195,1.115429,-0.8432280000000001,0.289274,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-1.035765,0.597195,1.069647,-0.8655219999999999,0.350465,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.989296,0.564235,0.8407399999999999,-0.79864,0.385432,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.963087,0.542261,0.9323030000000001,-0.776346,0.42039799999999994,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.9747049999999999,0.553248,1.115429,-0.68717,0.42913999999999997,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.9529569999999999,0.553248,1.023866,-0.620289,0.48158999999999996,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.896357,0.531275,1.069647,-0.575701,0.569006,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.8760040000000001,0.575222,1.069647,-0.44193699999999997,0.612714,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.906487,0.586208,1.023866,-0.5088189999999999,0.64768,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.8919889999999999,0.575222,1.115429,-0.664876,0.735096,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.8701479999999999,0.586208,1.298555,-0.5979949999999999,0.778805,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.8760040000000001,0.564235,1.4816799999999999,-0.575701,0.796288,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.809181,0.597195,1.527462,-0.46423100000000006,0.9186700000000001,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.793195,0.630156,1.435899,-0.39734899999999995,0.9536370000000001,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.79905,0.674103,1.4816799999999999,-0.41964300000000004,0.9186700000000001,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.8600180000000001,0.597195,1.344336,-0.575701,0.8487379999999999,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.865873,0.597195,1.344336,-0.486525,0.8662209999999999,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.839664,0.597195,1.298555,-0.46423100000000006,0.8662209999999999,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.8194040000000001,0.641142,1.527462,-0.46423100000000006,0.813771,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.756949,0.652129,1.435899,-0.41964300000000004,0.9536370000000001,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.783065,0.641142,1.298555,-0.553407,1.014828,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.736595,0.6850890000000001,1.298555,-0.352761,1.154694,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.756949,0.827918,1.390117,-0.24129099999999998,1.189661,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.7772100000000001,0.783971,1.344336,-0.41964300000000004,1.189661,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.8034180000000001,0.761997,1.298555,-0.285879,1.128469,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.813549,0.761997,1.252773,-0.263585,1.041053,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.84552,0.707063,1.4816799999999999,-0.285879,0.9886030000000001,a>b>d>e>c,0.0,1.0,4.0,2.0,3.0
-0.8498879999999999,0.783971,1.435899,-0.21899699999999997,1.041053,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.84552,0.8389040000000001,1.6648060000000002,-0.17440899999999998,1.084761,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.84552,0.904825,1.80215,-0.17440899999999998,1.145953,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.8919889999999999,0.904825,1.573243,-0.308173,1.2246270000000001,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.839664,0.8828520000000001,1.619025,-0.308173,1.268335,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.8760040000000001,0.805944,1.4816799999999999,-0.352761,1.2333690000000002,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.8919889999999999,0.761997,1.390117,-0.44193699999999997,1.207144,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.8817659999999999,0.772984,1.344336,-0.39734899999999995,1.198402,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.902119,0.71805,0.9780840000000001,-0.352761,1.180919,a>b>d>e>c,0.0,1.0,4.0,2.0,3.0
-0.916618,0.71805,0.9780840000000001,-0.352761,1.180919,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
