A1,A2,A3,A4,A5,A6,ranking,a,b,c,d,e
0.345623,0.565166,2.255535,0.39461199999999996,0.267585,1.5791309999999998,b>c>a>d>e,2.0,0.0,1.0,3.0,4.0
0.120709,-0.371548,1.89621,1.329379,0.597846,1.7404549999999999,a>c>b>d>e,0.0,2.0,1.0,3.0,4.0
-0.27289,-0.338094,0.9057700000000001,-0.21851399999999999,-0.006594,-0.276086,c>b>d>a>e,3.0,1.0,0.0,2.0,4.0
0.23316599999999998,0.966615,0.015109000000000001,0.158408,0.385981,0.8531770000000001,d>b>a>c>e,2.0,1.0,3.0,0.0,4.0
-0.34786100000000003,-0.438456,-0.300143,-0.27882199999999996,-0.318161,-0.43741,d>e>c>a>b,3.0,4.0,2.0,0.0,1.0
-0.32911799999999997,-0.438456,1.1763350000000001,-0.022515,0.223966,-0.034101,d>c>a>e>b,2.0,4.0,1.0,0.0,3.0
-0.32911799999999997,-0.405002,-0.808218,-0.690923,-0.598572,-0.679395,d>a>c>e>b,1.0,4.0,2.0,0.0,3.0
-0.366604,-0.438456,-1.255691,-0.8969739999999999,-0.735662,-0.679395,d>e>a>c>b,2.0,4.0,3.0,0.0,1.0
0.38310900000000003,-0.070461,0.670709,0.36445900000000003,0.323667,0.369207,a>b>d>e>c,0.0,1.0,4.0,2.0,3.0
0.664251,-0.438456,1.4358819999999999,0.459945,0.454525,5.761437,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.10420399999999999,-0.30464,-0.447668,0.7413810000000001,0.535533,0.127222,b>c>d>a>e,3.0,0.0,1.0,2.0,4.0
-0.34786100000000003,-0.438456,-0.843722,-0.479847,-0.380475,-0.598733,d>a>e>c>b,1.0,4.0,3.0,0.0,2.0
-0.235404,-0.405002,0.007763,-0.017488999999999998,-0.34931799999999996,-0.518071,b>d>a>c>e,2.0,0.0,3.0,1.0,4.0
-0.32911799999999997,-0.405002,-0.10609500000000001,-0.38436,-0.374244,-0.43741,c>d>a>b>e,2.0,3.0,0.0,1.0,4.0
-0.34786100000000003,-0.438456,-0.571932,-0.726102,-0.6795800000000001,-0.679395,d>e>a>c>b,2.0,4.0,3.0,0.0,1.0
-0.197918,-0.170823,-1.1240809999999999,-0.409488,-0.43032600000000004,-0.679395,b>d>e>c>a,4.0,0.0,3.0,1.0,2.0
0.23316599999999998,0.43135,0.550118,0.701176,0.591615,-0.356748,d>c>a>b>e,2.0,3.0,1.0,0.0,4.0
0.101967,-0.438456,0.636429,-0.06272,-0.11875799999999999,1.744488,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.066719,0.029901,-0.577441,-0.449693,-0.42409399999999997,-0.43741,c>b>d>e>a,4.0,1.0,0.0,2.0,3.0
-0.366604,-0.438456,-1.1479540000000001,-0.8617940000000001,-0.486408,-0.43741,d>c>a>e>b,2.0,4.0,1.0,0.0,3.0
-0.366604,-0.438456,-1.299765,-0.86682,-0.8042060000000001,-0.679395,c>e>b>d>a,4.0,2.0,0.0,3.0,1.0
-0.122947,0.26408000000000004,-1.2134530000000001,-0.962307,-0.847826,-0.679395,d>e>a>c>b,2.0,4.0,3.0,0.0,1.0
-0.32911799999999997,-0.438456,-0.652734,-0.620564,-0.417863,-0.598733,d>c>a>e>b,2.0,4.0,1.0,0.0,3.0
-0.122947,-0.338094,-0.401145,-0.665795,-0.561184,-0.43741,a>d>e>c>b,0.0,4.0,3.0,1.0,2.0
0.251909,1.000069,-0.424407,-0.24866799999999997,-0.249617,-0.679395,d>c>a>e>b,2.0,4.0,1.0,0.0,3.0
-0.197918,-0.405002,0.624186,0.8670209999999999,0.167883,1.7404549999999999,a>d>c>e>b,0.0,4.0,2.0,1.0,3.0
0.401852,0.632075,1.771334,-0.128053,-0.181072,0.365174,a>d>c>b>e,0.0,3.0,2.0,1.0,4.0
-0.32911799999999997,-0.405002,-1.305274,-1.002512,-0.785512,-0.679395,e>d>a>c>b,2.0,4.0,3.0,1.0,0.0
-0.32911799999999997,-0.438456,-1.084904,-0.680872,-0.604803,0.127222,a>d>c>e>b,0.0,4.0,2.0,1.0,3.0
0.214423,0.832799,-0.710888,-0.339129,-0.162378,0.526497,e>d>a>b>c,2.0,3.0,4.0,1.0,0.0
-0.366604,-0.438456,-1.3144559999999998,-0.982409,-0.835363,-0.679395,e>d>a>c>b,2.0,4.0,3.0,1.0,0.0
-0.21666100000000002,-0.438456,0.39769499999999997,0.9976879999999999,1.376765,0.6918529999999999,e>c>b>a>d,3.0,2.0,1.0,4.0,0.0
-0.32911799999999997,-0.405002,0.874551,0.344356,-0.043982,-0.598733,c>e>b>d>a,4.0,2.0,0.0,3.0,1.0
-0.160433,-0.30464,0.910667,0.6509189999999999,0.9592639999999999,0.8531770000000001,c>b>a>d>e,2.0,1.0,0.0,3.0,4.0
0.682994,1.635697,-0.230971,-0.324052,-0.330624,-0.034101,b>a>c>d>e,1.0,0.0,2.0,3.0,4.0
-0.32911799999999997,-0.371548,-0.540101,-0.389385,-0.305699,-0.679395,b>d>a>c>e,2.0,0.0,3.0,1.0,4.0
0.064481,0.632075,0.641938,0.118203,-0.243385,-0.276086,e>c>a>d>b,2.0,4.0,1.0,3.0,0.0
-0.366604,-0.438456,-1.171216,-0.243642,-0.579878,-0.679395,c>b>d>e>a,4.0,1.0,0.0,2.0,3.0
-0.047976,-0.13736900000000002,-0.770265,-0.434616,-0.505102,-0.356748,b>c>d>a>e,3.0,0.0,1.0,2.0,4.0
-0.34786100000000003,-0.438456,-0.825357,-0.469796,-0.654654,-0.518071,e>b>d>a>c,3.0,1.0,4.0,2.0,0.0
-0.310375,-0.338094,-0.223625,1.088149,0.142958,-0.43741,c>b>d>a>e,3.0,1.0,0.0,2.0,4.0
-0.235404,-0.438456,0.8886299999999999,1.495225,5.159191000000001,1.5791309999999998,b>c>d>a>e,3.0,0.0,1.0,2.0,4.0
-0.34786100000000003,-0.405002,-0.8871829999999999,-0.605487,-0.6608850000000001,-0.679395,e>c>d>a>b,3.0,4.0,1.0,2.0,0.0
0.38310900000000003,1.368064,-0.895141,-0.917076,-0.72943,-0.679395,e>d>a>c>b,2.0,4.0,3.0,1.0,0.0
-0.366604,-0.438456,-1.2758909999999999,-0.907025,-0.797975,-0.679395,e>d>b>a>c,3.0,2.0,4.0,1.0,0.0
-0.291632,-0.438456,0.37627,0.18856199999999998,0.342361,0.772515,d>b>a>c>e,2.0,1.0,3.0,0.0,4.0
-0.25414699999999996,-0.30464,0.163246,-0.10795,-0.199766,-0.518071,d>e>b>a>c,3.0,2.0,4.0,0.0,1.0
-0.066719,0.029901,-0.10731900000000001,-0.474821,-0.411632,-0.43741,d>a>c>e>b,1.0,4.0,2.0,0.0,3.0
0.195681,-0.003553,1.013506,2.043018,2.267847,0.933838,c>b>d>a>e,3.0,1.0,0.0,2.0,4.0
-0.197918,-0.371548,0.883733,0.349382,0.47321899999999995,-0.276086,c>a>b>d>e,1.0,2.0,0.0,3.0,4.0
0.32688,-0.30464,0.730086,0.892149,-0.20599699999999999,0.9298049999999999,a>b>d>e>c,0.0,1.0,4.0,2.0,3.0
0.757965,1.9367830000000001,0.208544,0.39461199999999996,0.9343389999999999,-0.356748,a>d>c>e>b,0.0,4.0,2.0,1.0,3.0
-0.25414699999999996,-0.338094,-0.7965869999999999,-0.741179,-0.561184,-0.679395,e>c>d>b>a,4.0,3.0,1.0,2.0,0.0
-0.179175,-0.10391500000000001,0.5617479999999999,0.057895,-0.31193000000000004,-0.518071,d>c>a>b>e,2.0,3.0,1.0,0.0,4.0
-0.085461,-0.405002,-1.018181,-0.756256,-0.816669,-0.276086,e>b>d>a>c,3.0,1.0,4.0,2.0,0.0
-0.21666100000000002,-0.338094,1.097982,0.907226,1.451541,-0.276086,b>e>d>c>a,4.0,0.0,3.0,2.0,1.0
0.907907,2.137508,0.28628600000000004,0.032767000000000004,0.0121,0.695886,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.310375,-0.438456,-1.054909,-0.7914359999999999,-0.511333,0.288545,c>a>d>b>e,1.0,3.0,0.0,2.0,4.0
2.107447,3.0742220000000002,-0.183224,-0.168258,-0.06890800000000001,-0.598733,c>d>e>b>a,4.0,3.0,0.0,1.0,2.0
-0.179175,-0.237731,0.577052,1.731429,2.342623,0.20385,c>b>a>d>e,2.0,1.0,0.0,3.0,4.0
-0.32911799999999997,-0.438456,0.485231,-0.15318099999999998,-0.212229,-0.679395,b>d>c>a>e,3.0,0.0,2.0,1.0,4.0
-0.291632,-0.338094,-0.256681,-0.334104,-0.35555,-0.679395,e>d>c>a>b,3.0,4.0,2.0,1.0,0.0
-0.366604,-0.438456,0.285062,-0.31400100000000003,0.442063,-0.679395,c>d>b>a>e,3.0,2.0,0.0,1.0,4.0
0.832936,2.3047779999999998,0.08305599999999999,1.233892,0.261354,-0.276086,c>b>d>a>e,3.0,1.0,0.0,2.0,4.0
-0.366604,-0.438456,-0.700481,0.0981,-0.417863,-0.598733,c>e>b>d>a,4.0,2.0,0.0,3.0,1.0
-0.291632,-0.438456,1.38079,-0.047643,-0.006594,-0.679395,d>e>c>a>b,3.0,4.0,2.0,0.0,1.0
1.151564,1.066977,-0.506433,-0.15318099999999998,0.304973,-0.43741,d>c>a>b>e,2.0,3.0,1.0,0.0,4.0
-0.34786100000000003,-0.438456,0.033473,0.379535,0.20527199999999998,-0.679395,c>d>b>a>e,3.0,2.0,0.0,1.0,4.0
-0.291632,-0.371548,0.070201,1.862095,0.12426400000000001,0.127222,b>c>a>d>e,2.0,0.0,1.0,3.0,4.0
0.120709,0.866253,-0.357684,-0.359232,-0.22469099999999997,-0.679395,b>d>c>a>e,3.0,0.0,2.0,1.0,4.0
-0.14169,-0.371548,0.279552,0.781586,0.6601600000000001,1.7404549999999999,b>a>d>c>e,1.0,0.0,3.0,2.0,4.0
-0.310375,-0.405002,-0.14343499999999998,0.25892,0.5666899999999999,-0.195425,c>b>d>a>e,3.0,1.0,0.0,2.0,4.0
-0.310375,-0.405002,0.829865,0.228767,0.23019699999999998,-0.034101,b>c>a>d>e,2.0,0.0,1.0,3.0,4.0
-0.21666100000000002,-0.237731,0.018169,-0.022515,-0.374244,-0.598733,e>d>b>c>a,4.0,2.0,3.0,1.0,0.0
0.214423,0.464804,-1.187743,-0.655744,-0.548721,-0.679395,c>e>b>d>a,4.0,2.0,0.0,3.0,1.0
-0.235404,-0.371548,1.118182,0.057895,0.024562999999999998,-0.195425,d>e>a>c>b,2.0,4.0,3.0,0.0,1.0
-0.366604,-0.438456,0.9731049999999999,-0.057694,0.037025,-0.518071,a>d>c>b>e,0.0,3.0,2.0,1.0,4.0
-0.197918,-0.13736900000000002,-1.177337,-0.44466700000000003,-0.667117,-0.679395,b>c>d>e>a,4.0,0.0,1.0,2.0,3.0
-0.235404,-0.371548,-0.109155,-0.138104,0.099339,-0.43741,c>a>d>b>e,1.0,3.0,0.0,2.0,4.0
-0.029233,-0.405002,2.049245,4.621165,5.850871,1.337146,c>b>a>d>e,2.0,1.0,0.0,3.0,4.0
0.026994999999999998,0.531712,-0.389515,-0.917076,-0.629729,-0.679395,d>c>a>e>b,2.0,4.0,1.0,0.0,3.0
-0.235404,-0.371548,-0.612945,-0.610513,-0.262079,-0.518071,c>a>d>b>e,1.0,3.0,0.0,2.0,4.0
-0.32911799999999997,-0.405002,-1.3150680000000001,-1.0175889999999999,-0.878983,-0.679395,e>d>a>c>b,2.0,4.0,3.0,1.0,0.0
-0.10420399999999999,-0.170823,1.852748,-0.087848,-0.137452,0.683787,a>d>e>c>b,0.0,4.0,3.0,1.0,2.0
-0.34786100000000003,-0.438456,1.4946469999999998,0.228767,0.111801,-0.43741,a>d>c>e>b,0.0,4.0,2.0,1.0,3.0
0.251909,0.498258,1.957424,1.148456,0.641466,0.611192,b>a>d>c>e,1.0,0.0,3.0,2.0,4.0
-0.27289,-0.371548,0.9394379999999999,-0.082822,0.24266,-0.43741,c>d>a>e>b,2.0,4.0,0.0,1.0,3.0
-0.34786100000000003,-0.405002,-1.131427,-0.952256,-0.829132,-0.679395,e>d>a>c>b,2.0,4.0,3.0,1.0,0.0
1.282764,3.040768,2.168612,1.319328,1.812959,2.627733,a>c>b>d>e,0.0,2.0,1.0,3.0,4.0
-0.27289,-0.405002,0.106929,0.042818,0.018331,-0.195425,c>b>a>d>e,2.0,1.0,0.0,3.0,4.0
-0.366604,-0.438456,-0.821685,-0.585385,-0.6234970000000001,-0.679395,b>d>e>a>c,3.0,0.0,4.0,1.0,2.0
-0.085461,-0.037007,-0.39318800000000004,-0.510001,-0.442788,-0.276086,d>a>c>b>e,1.0,3.0,2.0,0.0,4.0
-0.14169,-0.338094,0.337093,-0.25871900000000003,-0.112527,-0.11476300000000002,e>c>a>d>b,2.0,4.0,1.0,3.0,0.0
-0.366604,-0.438456,-0.397473,-0.841692,-0.754356,-0.679395,d>e>a>c>b,2.0,4.0,3.0,0.0,1.0
-0.291632,-0.338094,0.386677,-0.31400100000000003,-0.14368399999999998,-0.518071,a>d>c>e>b,0.0,4.0,2.0,1.0,3.0
-0.27289,-0.405002,-0.208934,-0.017488999999999998,-0.156146,-0.598733,b>d>a>c>e,2.0,0.0,3.0,1.0,4.0
-0.235404,-0.438456,-0.12201,0.123228,0.024562999999999998,2.147796,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.25414699999999996,-0.30464,-0.22913499999999998,-0.726102,-0.4054,-0.356748,c>d>a>b>e,2.0,3.0,0.0,1.0,4.0
-0.085461,-0.10391500000000001,0.902709,0.6810729999999999,0.111801,0.20788299999999998,b>a>d>c>e,1.0,0.0,3.0,2.0,4.0
-0.029233,-0.070461,1.078393,0.349382,-0.062676,0.44986800000000005,b>a>d>c>e,1.0,0.0,3.0,2.0,4.0
-0.366604,-0.438456,-1.266709,-1.002512,-0.785512,-0.598733,e>d>c>a>b,3.0,4.0,2.0,1.0,0.0
0.47682299999999994,-0.438456,0.776609,0.032767000000000004,-0.11875799999999999,3.9183190000000003,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.235404,-0.30464,0.631532,2.631016,-0.249617,-0.356748,b>e>d>a>c,3.0,0.0,4.0,2.0,1.0
-0.310375,-0.371548,-1.083068,-0.9472299999999999,-0.760587,-0.679395,d>e>a>c>b,2.0,4.0,3.0,0.0,1.0
0.514308,1.702605,-0.576829,1.113277,0.766093,-0.518071,c>b>d>a>e,3.0,1.0,0.0,2.0,4.0
0.026994999999999998,0.23062600000000003,-0.21872800000000003,0.108152,0.018331,-0.679395,d>c>a>e>b,2.0,4.0,1.0,0.0,3.0
0.308138,1.401518,1.0888,-0.273796,-0.08137,-0.679395,d>e>a>c>b,2.0,4.0,3.0,0.0,1.0
-0.366604,-0.438456,-1.187131,-0.746205,-0.667117,-0.598733,d>a>e>c>b,1.0,4.0,3.0,0.0,2.0
-0.34786100000000003,-0.438456,-1.140609,-0.78641,-0.779281,-0.679395,d>a>c>e>b,1.0,4.0,2.0,0.0,3.0
0.626765,1.9367830000000001,1.159808,1.25902,1.4577719999999998,0.933838,a>b>d>c>e,0.0,1.0,3.0,2.0,4.0
-0.34786100000000003,-0.405002,-1.044503,-0.263745,-0.6795800000000001,-0.518071,e>b>c>d>a,4.0,1.0,2.0,3.0,0.0
-0.160433,-0.371548,0.109378,0.273997,-0.019057,-0.195425,b>a>d>e>c,1.0,0.0,4.0,2.0,3.0
-0.085461,0.063355,-1.1553,-0.10795,-0.548721,-0.679395,c>e>b>d>a,4.0,2.0,0.0,3.0,1.0
-0.32911799999999997,-0.405002,-1.080007,-0.610513,-0.530027,-0.598733,d>e>a>c>b,2.0,4.0,3.0,0.0,1.0
-0.32911799999999997,-0.405002,-0.72313,-0.434616,-0.44902,-0.43741,e>b>a>d>c,2.0,1.0,4.0,3.0,0.0
-0.10420399999999999,-0.338094,0.756408,0.751432,0.678854,0.611192,b>c>d>a>e,3.0,0.0,1.0,2.0,4.0
-0.310375,-0.371548,0.214054,-0.243642,-0.249617,-0.276086,d>a>b>c>e,1.0,2.0,3.0,0.0,4.0
-0.047976,-0.371548,0.188344,-0.012463,-0.230923,-0.518071,b>d>a>e>c,2.0,0.0,4.0,1.0,3.0
-0.27289,-0.371548,1.228367,0.771534,0.42336899999999994,-0.518071,b>c>d>a>e,3.0,0.0,1.0,2.0,4.0
-0.366604,-0.438456,-0.20158800000000002,0.228767,-0.106296,-0.518071,b>a>d>c>e,1.0,0.0,3.0,2.0,4.0
0.645508,1.869875,-0.358908,-0.339129,-0.280773,-0.43741,d>b>a>c>e,2.0,1.0,3.0,0.0,4.0
-0.34786100000000003,-0.438456,0.045716,-0.46476999999999996,-0.19353499999999998,-0.679395,c>d>e>a>b,3.0,4.0,0.0,1.0,2.0
0.083224,-0.204277,-0.647837,-0.18836,-0.280773,-0.43741,d>b>c>a>e,3.0,1.0,2.0,0.0,4.0
-0.21666100000000002,-0.237731,-0.449504,-0.449693,-0.16860899999999998,-0.598733,d>c>a>e>b,2.0,4.0,1.0,0.0,3.0
0.008253,-0.371548,0.564809,-0.067745,-0.21846,1.175823,a>b>c>e>d,0.0,1.0,2.0,4.0,3.0
0.58928,1.9367830000000001,-0.295246,-0.24866799999999997,-0.199766,-0.518071,c>d>a>b>e,2.0,3.0,0.0,1.0,4.0
0.401852,1.602243,-0.8265819999999999,-0.5502060000000001,-0.42409399999999997,-0.11476300000000002,a>d>c>e>b,0.0,4.0,2.0,1.0,3.0
-0.10420399999999999,-0.037007,1.039216,0.07297200000000001,-0.050214,-0.598733,c>d>b>a>e,3.0,2.0,0.0,1.0,4.0
-0.34786100000000003,-0.438456,-1.158361,-0.8718459999999999,-0.7231989999999999,-0.518071,e>d>a>b>c,2.0,3.0,4.0,1.0,0.0
0.176938,-0.237731,0.042043000000000004,-0.324052,-0.16860899999999998,0.046560000000000004,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
0.28939499999999996,1.267702,1.0569680000000001,-0.087848,0.030794,-0.679395,d>e>c>a>b,3.0,4.0,2.0,0.0,1.0
-0.32911799999999997,-0.438456,0.7913,0.083023,-0.162378,-0.598733,e>c>b>d>a,4.0,2.0,1.0,3.0,0.0
-0.14169,-0.438456,1.618911,1.8520439999999998,2.149451,3.031041,b>a>d>e>c,1.0,0.0,4.0,2.0,3.0
-0.34786100000000003,-0.438456,0.038982,0.027742000000000003,0.09310700000000001,-0.518071,c>a>d>b>e,1.0,3.0,0.0,2.0,4.0
-0.32911799999999997,-0.438456,-0.45256499999999994,-0.389385,-0.08137,-0.679395,e>d>c>a>b,3.0,4.0,2.0,1.0,0.0
0.120709,-0.204277,0.8414959999999999,0.25892,-0.08137,-0.11476300000000002,c>a>b>d>e,1.0,2.0,0.0,3.0,4.0
-0.029233,-0.438456,1.8178560000000001,2.3646580000000004,2.355086,2.466409,b>c>d>a>e,3.0,0.0,1.0,2.0,4.0
-0.029233,0.029901,-0.551732,-0.570308,-0.467714,-0.43741,b>d>c>a>e,3.0,0.0,2.0,1.0,4.0
-0.366604,-0.438456,-0.539489,-0.595436,-0.604803,-0.679395,e>b>d>a>c,3.0,1.0,4.0,2.0,0.0
-0.366604,-0.438456,-1.3003770000000001,-0.977384,-0.748124,-0.679395,e>d>c>a>b,3.0,4.0,2.0,1.0,0.0
-0.366604,-0.438456,-0.920851,-0.917076,-0.741893,-0.679395,e>d>c>a>b,3.0,4.0,2.0,1.0,0.0
-0.366604,-0.438456,-0.573769,0.173485,-0.255848,-0.679395,c>e>d>a>b,3.0,4.0,0.0,2.0,1.0
0.533051,1.8364209999999999,0.5978640000000001,-0.38436,-0.156146,-0.598733,d>a>c>e>b,1.0,4.0,2.0,0.0,3.0
-0.366604,-0.438456,-1.299153,-1.002512,-0.779281,-0.679395,e>d>a>c>b,2.0,4.0,3.0,1.0,0.0
-0.32911799999999997,-0.405002,0.22568400000000002,-0.339129,-0.34931799999999996,-0.679395,b>d>e>a>c,3.0,0.0,4.0,1.0,2.0
-0.179175,-0.438456,0.426466,1.188661,1.451541,2.8697169999999996,e>b>a>d>c,2.0,1.0,4.0,3.0,0.0
0.32688,0.799345,0.502371,0.279023,0.267585,-0.518071,c>d>a>e>b,2.0,4.0,0.0,1.0,3.0
-0.197918,-0.438456,-0.13915,0.530304,0.6601600000000001,1.018533,a>d>b>c>e,0.0,2.0,3.0,1.0,4.0
-0.366604,-0.438456,0.186507,0.379535,0.10557000000000001,-0.679395,e>c>d>b>a,4.0,3.0,1.0,2.0,0.0
-0.291632,-0.438456,-0.816175,-0.404462,-0.187303,-0.43741,a>e>d>c>b,0.0,4.0,3.0,2.0,1.0
0.251909,0.966615,0.42156899999999997,-0.138104,-0.062676,-0.598733,d>c>a>e>b,2.0,4.0,1.0,0.0,3.0
1.807562,1.301156,-0.5443859999999999,-0.067745,-0.050214,0.6918529999999999,a>c>b>d>e,0.0,2.0,1.0,3.0,4.0
-0.27289,-0.338094,-0.896366,-0.796461,-0.748124,-0.356748,e>d>a>b>c,2.0,3.0,4.0,1.0,0.0
-0.21666100000000002,-0.438456,-0.3081,0.786611,0.9343389999999999,-0.679395,b>c>d>a>e,3.0,0.0,1.0,2.0,4.0
-0.197918,-0.405002,0.29179499999999997,0.907226,0.454525,0.046560000000000004,b>e>a>d>c,2.0,0.0,4.0,3.0,1.0
0.045738,-0.438456,-0.059572,0.21871500000000002,0.099339,1.175823,a>c>d>b>e,0.0,3.0,1.0,2.0,4.0
-0.291632,-0.438456,0.31566900000000003,0.18856199999999998,0.043257,-0.598733,b>c>d>a>e,3.0,0.0,1.0,2.0,4.0
-0.32911799999999997,-0.371548,-0.526022,-0.38436,-0.21846,-0.598733,d>e>a>c>b,2.0,4.0,3.0,0.0,1.0
